date,ARM
2020-08-02,80
2020-08-09,77
2020-08-16,80
2020-08-23,77
2020-08-30,76
2020-09-06,75
2020-09-13,81
2020-09-20,73
2020-09-27,71
2020-10-04,70
2020-10-11,75
2020-10-18,75
2020-10-25,73
2020-11-01,64
2020-11-08,75
2020-11-15,72
2020-11-22,69
2020-11-29,70
2020-12-06,69
2020-12-13,67
2020-12-20,69
2020-12-27,70
2021-01-03,73
2021-01-10,75
2021-01-17,78
2021-01-24,76
2021-01-31,79
2021-02-07,77
2021-02-14,71
2021-02-21,83
2021-02-28,77
2021-03-07,79
2021-03-14,81
2021-03-21,80
2021-03-28,83
2021-04-04,80
2021-04-11,83
2021-04-18,82
2021-04-25,85
2021-05-02,81
2021-05-09,81
2021-05-16,84
2021-05-23,83
2021-05-30,84
2021-06-06,86
2021-06-13,84
2021-06-20,79
2021-06-27,81
2021-07-04,79
2021-07-11,80
2021-07-18,81
2021-07-25,80
2021-08-01,79
2021-08-08,77
2021-08-15,79
2021-08-22,79
2021-08-29,74
2021-09-05,74
2021-09-12,74
2021-09-19,74
2021-09-26,73
2021-10-03,74
2021-10-10,74
2021-10-17,78
2021-10-24,71
2021-10-31,71
2021-11-07,69
2021-11-14,73
2021-11-21,67
2021-11-28,73
2021-12-05,72
2021-12-12,75
2021-12-19,68
2021-12-26,71
2022-01-02,75
2022-01-09,76
2022-01-16,71
2022-01-23,76
2022-01-30,76
2022-02-06,80
2022-02-13,78
2022-02-20,76
2022-02-27,76
2022-03-06,76
2022-03-13,75
2022-03-20,81
2022-03-27,79
2022-04-03,74
2022-04-10,76
2022-04-17,76
2022-04-24,75
2022-05-01,81
2022-05-08,78
2022-05-15,74
2022-05-22,76
2022-05-29,74
2022-06-05,76
2022-06-12,77
2022-06-19,78
2022-06-26,78
2022-07-03,76
2022-07-10,76
2022-07-17,78
2022-07-24,75
2022-07-31,77
2022-08-07,73
2022-08-14,74
2022-08-21,75
2022-08-28,75
2022-09-04,72
2022-09-11,75
2022-09-18,75
2022-09-25,72
2022-10-02,76
2022-10-09,71
2022-10-16,73
2022-10-23,75
2022-10-30,72
2022-11-06,73
2022-11-13,72
2022-11-20,70
2022-11-27,70
2022-12-04,67
2022-12-11,69
2022-12-18,65
2022-12-25,68
2023-01-01,71
2023-01-08,71
2023-01-15,75
2023-01-22,74
2023-01-29,76
2023-02-05,74
2023-02-12,75
2023-02-19,77
2023-02-26,77
2023-03-05,77
2023-03-12,76
2023-03-19,76
2023-03-26,75
2023-04-02,72
2023-04-09,77
2023-04-16,74
2023-04-23,74
2023-04-30,79
2023-05-07,74
2023-05-14,75
2023-05-21,80
2023-05-28,76
2023-06-04,75
2023-06-11,76
2023-06-18,81
2023-06-25,79
2023-07-02,78
2023-07-09,84
2023-07-16,85
2023-07-23,80
2023-07-30,80
2023-08-06,77
2023-08-13,79
2023-08-20,79
2023-08-27,76
2023-09-03,82
2023-09-10,96
2023-09-17,87
2023-09-24,81
2023-10-01,73
2023-10-08,78
2023-10-15,75
2023-10-22,75
2023-10-29,73
2023-11-05,73
2023-11-12,74
2023-11-19,72
2023-11-26,74
2023-12-03,74
2023-12-10,72
2023-12-17,70
2023-12-24,73
2023-12-31,73
2024-01-07,78
2024-01-14,75
2024-01-21,79
2024-01-28,84
2024-02-04,93
2024-02-11,92
2024-02-18,87
2024-02-25,88
2024-03-03,90
2024-03-10,82
2024-03-17,88
2024-03-24,86
2024-03-31,82
2024-04-07,81
2024-04-14,82
2024-04-21,83
2024-04-28,86
2024-05-05,86
2024-05-12,84
2024-05-19,81
2024-05-26,83
2024-06-02,87
2024-06-09,87
2024-06-16,89
2024-06-23,86
2024-06-30,86
2024-07-07,93
2024-07-14,89
2024-07-21,87
2024-07-28,88
2024-08-04,86
2024-08-11,87
2024-08-18,86
2024-08-25,88
2024-09-01,86
2024-09-08,93
2024-09-15,100
2024-09-22,89
2024-09-29,92
2024-10-06,87
2024-10-13,87
2024-10-20,90
2024-10-27,85
2024-11-03,91
2024-11-10,94
2024-11-17,94
2024-11-24,81
2024-12-01,86
2024-12-08,86
2024-12-15,85
2024-12-22,79
2024-12-29,85
2025-01-05,89
2025-01-12,90
2025-01-19,93
2025-01-26,90
2025-02-02,91
2025-02-09,85
2025-02-16,86
2025-02-23,91
2025-03-02,89
2025-03-09,92
2025-03-16,93
2025-03-23,95
2025-03-30,96
2025-04-06,95
2025-04-13,89
2025-04-20,93
2025-04-27,93
2025-05-04,90
2025-05-11,93
2025-05-18,92
2025-05-25,93
2025-06-01,91
2025-06-08,100
2025-06-15,96
2025-06-22,94
2025-06-29,92
2025-07-06,94
2025-07-13,96
2025-07-20,98
2025-07-27,100
