date,ASML vs ASML
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,9
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,6
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,8
2020-12-20,0
2020-12-27,0
2021-01-03,8
2021-01-10,7
2021-01-17,11
2021-01-24,8
2021-01-31,7
2021-02-07,10
2021-02-14,7
2021-02-21,7
2021-02-28,7
2021-03-07,0
2021-03-14,0
2021-03-21,7
2021-03-28,0
2021-04-04,7
2021-04-11,9
2021-04-18,17
2021-04-25,7
2021-05-02,0
2021-05-09,7
2021-05-16,0
2021-05-23,0
2021-05-30,8
2021-06-06,9
2021-06-13,7
2021-06-20,0
2021-06-27,6
2021-07-04,11
2021-07-11,10
2021-07-18,0
2021-07-25,8
2021-08-01,0
2021-08-08,7
2021-08-15,7
2021-08-22,0
2021-08-29,9
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,11
2021-10-03,15
2021-10-10,12
2021-10-17,13
2021-10-24,15
2021-10-31,8
2021-11-07,8
2021-11-14,10
2021-11-21,15
2021-11-28,11
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,14
2022-01-09,14
2022-01-16,10
2022-01-23,13
2022-01-30,9
2022-02-06,12
2022-02-13,6
2022-02-20,12
2022-02-27,12
2022-03-06,8
2022-03-13,9
2022-03-20,9
2022-03-27,11
2022-04-03,9
2022-04-10,11
2022-04-17,10
2022-04-24,8
2022-05-01,8
2022-05-08,11
2022-05-15,8
2022-05-22,8
2022-05-29,0
2022-06-05,10
2022-06-12,9
2022-06-19,9
2022-06-26,9
2022-07-03,15
2022-07-10,9
2022-07-17,11
2022-07-24,12
2022-07-31,13
2022-08-07,7
2022-08-14,10
2022-08-21,8
2022-08-28,11
2022-09-04,12
2022-09-11,8
2022-09-18,10
2022-09-25,11
2022-10-02,9
2022-10-09,13
2022-10-16,15
2022-10-23,13
2022-10-30,11
2022-11-06,11
2022-11-13,13
2022-11-20,11
2022-11-27,11
2022-12-04,13
2022-12-11,13
2022-12-18,12
2022-12-25,8
2023-01-01,6
2023-01-08,13
2023-01-15,10
2023-01-22,19
2023-01-29,12
2023-02-05,20
2023-02-12,13
2023-02-19,0
2023-02-26,10
2023-03-05,16
2023-03-12,10
2023-03-19,6
2023-03-26,16
2023-04-02,11
2023-04-09,10
2023-04-16,11
2023-04-23,13
2023-04-30,10
2023-05-07,11
2023-05-14,13
2023-05-21,13
2023-05-28,10
2023-06-04,10
2023-06-11,10
2023-06-18,8
2023-06-25,11
2023-07-02,9
2023-07-09,8
2023-07-16,13
2023-07-23,12
2023-07-30,9
2023-08-06,13
2023-08-13,10
2023-08-20,13
2023-08-27,11
2023-09-03,12
2023-09-10,16
2023-09-17,8
2023-09-24,11
2023-10-01,11
2023-10-08,17
2023-10-15,14
2023-10-22,16
2023-10-29,12
2023-11-05,7
2023-11-12,10
2023-11-19,10
2023-11-26,14
2023-12-03,12
2023-12-10,14
2023-12-17,11
2023-12-24,7
2023-12-31,13
2024-01-07,15
2024-01-14,9
2024-01-21,24
2024-01-28,15
2024-02-04,26
2024-02-11,27
2024-02-18,16
2024-02-25,20
2024-03-03,32
2024-03-10,17
2024-03-17,24
2024-03-24,17
2024-03-31,17
2024-04-07,16
2024-04-14,30
2024-04-21,20
2024-04-28,18
2024-05-05,14
2024-05-12,14
2024-05-19,19
2024-05-26,21
2024-06-02,18
2024-06-09,18
2024-06-16,21
2024-06-23,18
2024-06-30,20
2024-07-07,21
2024-07-14,38
2024-07-21,19
2024-07-28,19
2024-08-04,20
2024-08-11,23
2024-08-18,14
2024-08-25,18
2024-09-01,16
2024-09-08,26
2024-09-15,24
2024-09-22,18
2024-09-29,14
2024-10-06,19
2024-10-13,94
2024-10-20,41
2024-10-27,27
2024-11-03,28
2024-11-10,35
2024-11-17,27
2024-11-24,32
2024-12-01,32
2024-12-08,29
2024-12-15,23
2024-12-22,22
2024-12-29,24
2025-01-05,37
2025-01-12,20
2025-01-19,20
2025-01-26,65
2025-02-02,25
2025-02-09,23
2025-02-16,17
2025-02-23,22
2025-03-02,25
2025-03-09,21
2025-03-16,21
2025-03-23,20
2025-03-30,30
2025-04-06,37
2025-04-13,37
2025-04-20,22
2025-04-27,19
2025-05-04,21
2025-05-11,15
2025-05-18,14
2025-05-25,18
2025-06-01,27
2025-06-08,49
2025-06-15,38
2025-06-22,40
2025-06-29,27
2025-07-06,41
2025-07-13,97
2025-07-20,88
2025-07-27,100
