date,AVGO
2020-08-02,8
2020-08-09,7
2020-08-16,6
2020-08-23,8
2020-08-30,19
2020-09-06,8
2020-09-13,8
2020-09-20,6
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,5
2020-10-25,5
2020-11-01,5
2020-11-08,5
2020-11-15,5
2020-11-22,4
2020-11-29,6
2020-12-06,10
2020-12-13,7
2020-12-20,6
2020-12-27,6
2021-01-03,6
2021-01-10,6
2021-01-17,6
2021-01-24,6
2021-01-31,6
2021-02-07,6
2021-02-14,6
2021-02-21,6
2021-02-28,9
2021-03-07,7
2021-03-14,8
2021-03-21,5
2021-03-28,6
2021-04-04,6
2021-04-11,5
2021-04-18,6
2021-04-25,4
2021-05-02,4
2021-05-09,5
2021-05-16,5
2021-05-23,5
2021-05-30,6
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,4
2021-07-11,6
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,4
2021-08-15,4
2021-08-22,4
2021-08-29,8
2021-09-05,5
2021-09-12,5
2021-09-19,5
2021-09-26,4
2021-10-03,4
2021-10-10,4
2021-10-17,4
2021-10-24,5
2021-10-31,5
2021-11-07,6
2021-11-14,5
2021-11-21,4
2021-11-28,5
2021-12-05,11
2021-12-12,8
2021-12-19,7
2021-12-26,7
2022-01-02,6
2022-01-09,5
2022-01-16,5
2022-01-23,7
2022-01-30,6
2022-02-06,5
2022-02-13,5
2022-02-20,4
2022-02-27,8
2022-03-06,5
2022-03-13,5
2022-03-20,5
2022-03-27,6
2022-04-03,5
2022-04-10,5
2022-04-17,5
2022-04-24,6
2022-05-01,5
2022-05-08,6
2022-05-15,7
2022-05-22,11
2022-05-29,6
2022-06-05,6
2022-06-12,7
2022-06-19,6
2022-06-26,5
2022-07-03,5
2022-07-10,5
2022-07-17,6
2022-07-24,6
2022-07-31,6
2022-08-07,6
2022-08-14,5
2022-08-21,6
2022-08-28,8
2022-09-04,5
2022-09-11,6
2022-09-18,6
2022-09-25,5
2022-10-02,6
2022-10-09,6
2022-10-16,5
2022-10-23,5
2022-10-30,5
2022-11-06,6
2022-11-13,6
2022-11-20,4
2022-11-27,5
2022-12-04,8
2022-12-11,8
2022-12-18,5
2022-12-25,5
2023-01-01,5
2023-01-08,8
2023-01-15,5
2023-01-22,7
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,5
2023-02-26,9
2023-03-05,8
2023-03-12,7
2023-03-19,7
2023-03-26,6
2023-04-02,5
2023-04-09,5
2023-04-16,6
2023-04-23,5
2023-04-30,6
2023-05-07,5
2023-05-14,8
2023-05-21,17
2023-05-28,24
2023-06-04,12
2023-06-11,16
2023-06-18,11
2023-06-25,10
2023-07-02,8
2023-07-09,12
2023-07-16,12
2023-07-23,10
2023-07-30,10
2023-08-06,9
2023-08-13,9
2023-08-20,11
2023-08-27,19
2023-09-03,10
2023-09-10,9
2023-09-17,10
2023-09-24,9
2023-10-01,8
2023-10-08,11
2023-10-15,10
2023-10-22,9
2023-10-29,10
2023-11-05,11
2023-11-12,13
2023-11-19,15
2023-11-26,13
2023-12-03,19
2023-12-10,36
2023-12-17,21
2023-12-24,11
2023-12-31,11
2024-01-07,13
2024-01-14,13
2024-01-21,17
2024-01-28,15
2024-02-04,18
2024-02-11,16
2024-02-18,17
2024-02-25,21
2024-03-03,47
2024-03-10,23
2024-03-17,25
2024-03-24,17
2024-03-31,17
2024-04-07,15
2024-04-14,14
2024-04-21,16
2024-04-28,14
2024-05-05,14
2024-05-12,18
2024-05-19,19
2024-05-26,15
2024-06-02,20
2024-06-09,71
2024-06-16,71
2024-06-23,46
2024-06-30,44
2024-07-07,60
2024-07-14,67
2024-07-21,43
2024-07-28,41
2024-08-04,35
2024-08-11,34
2024-08-18,35
2024-08-25,33
2024-09-01,54
2024-09-08,39
2024-09-15,36
2024-09-22,34
2024-09-29,29
2024-10-06,32
2024-10-13,31
2024-10-20,29
2024-10-27,27
2024-11-03,29
2024-11-10,30
2024-11-17,27
2024-11-24,22
2024-12-01,30
2024-12-08,97
2024-12-15,100
2024-12-22,48
2024-12-29,39
2025-01-05,37
2025-01-12,34
2025-01-19,33
2025-01-26,85
2025-02-02,55
2025-02-09,37
2025-02-16,31
2025-02-23,39
2025-03-02,81
2025-03-09,46
2025-03-16,35
2025-03-23,36
2025-03-30,41
2025-04-06,51
2025-04-13,32
2025-04-20,32
2025-04-27,36
2025-05-04,33
2025-05-11,42
2025-05-18,32
2025-05-25,35
2025-06-01,85
2025-06-08,45
2025-06-15,34
2025-06-22,45
2025-06-29,35
2025-07-06,37
2025-07-13,41
2025-07-20,42
2025-07-27,49
