date,AbbVie
2020-08-02,65
2020-08-09,61
2020-08-16,60
2020-08-23,59
2020-08-30,63
2020-09-06,57
2020-09-13,67
2020-09-20,60
2020-09-27,59
2020-10-04,58
2020-10-11,56
2020-10-18,58
2020-10-25,61
2020-11-01,63
2020-11-08,71
2020-11-15,80
2020-11-22,60
2020-11-29,65
2020-12-06,66
2020-12-13,64
2020-12-20,43
2020-12-27,46
2021-01-03,62
2021-01-10,68
2021-01-17,64
2021-01-24,74
2021-01-31,77
2021-02-07,70
2021-02-14,70
2021-02-21,71
2021-02-28,72
2021-03-07,64
2021-03-14,79
2021-03-21,63
2021-03-28,61
2021-04-04,61
2021-04-11,64
2021-04-18,61
2021-04-25,64
2021-05-02,69
2021-05-09,66
2021-05-16,70
2021-05-23,61
2021-05-30,54
2021-06-06,57
2021-06-13,53
2021-06-20,54
2021-06-27,54
2021-07-04,55
2021-07-11,57
2021-07-18,59
2021-07-25,58
2021-08-01,53
2021-08-08,52
2021-08-15,54
2021-08-22,57
2021-08-29,97
2021-09-05,64
2021-09-12,62
2021-09-19,58
2021-09-26,56
2021-10-03,58
2021-10-10,57
2021-10-17,59
2021-10-24,70
2021-10-31,61
2021-11-07,57
2021-11-14,62
2021-11-21,47
2021-11-28,59
2021-12-05,67
2021-12-12,71
2021-12-19,53
2021-12-26,52
2022-01-02,65
2022-01-09,66
2022-01-16,62
2022-01-23,65
2022-01-30,72
2022-02-06,86
2022-02-13,66
2022-02-20,62
2022-02-27,66
2022-03-06,66
2022-03-13,74
2022-03-20,68
2022-03-27,65
2022-04-03,68
2022-04-10,67
2022-04-17,65
2022-04-24,71
2022-05-01,63
2022-05-08,63
2022-05-15,60
2022-05-22,56
2022-05-29,52
2022-06-05,57
2022-06-12,59
2022-06-19,59
2022-06-26,55
2022-07-03,57
2022-07-10,57
2022-07-17,56
2022-07-24,63
2022-07-31,58
2022-08-07,54
2022-08-14,53
2022-08-21,50
2022-08-28,52
2022-09-04,45
2022-09-11,55
2022-09-18,54
2022-09-25,55
2022-10-02,52
2022-10-09,56
2022-10-16,54
2022-10-23,64
2022-10-30,56
2022-11-06,57
2022-11-13,56
2022-11-20,45
2022-11-27,56
2022-12-04,52
2022-12-11,53
2022-12-18,43
2022-12-25,36
2023-01-01,52
2023-01-08,63
2023-01-15,58
2023-01-22,67
2023-01-29,71
2023-02-05,70
2023-02-12,61
2023-02-19,56
2023-02-26,57
2023-03-05,57
2023-03-12,57
2023-03-19,57
2023-03-26,59
2023-04-02,54
2023-04-09,58
2023-04-16,58
2023-04-23,66
2023-04-30,55
2023-05-07,54
2023-05-14,56
2023-05-21,54
2023-05-28,55
2023-06-04,55
2023-06-11,62
2023-06-18,51
2023-06-25,60
2023-07-02,50
2023-07-09,60
2023-07-16,59
2023-07-23,68
2023-07-30,54
2023-08-06,53
2023-08-13,52
2023-08-20,50
2023-08-27,52
2023-09-03,50
2023-09-10,56
2023-09-17,53
2023-09-24,56
2023-10-01,52
2023-10-08,52
2023-10-15,55
2023-10-22,56
2023-10-29,55
2023-11-05,57
2023-11-12,55
2023-11-19,41
2023-11-26,68
2023-12-03,71
2023-12-10,61
2023-12-17,52
2023-12-24,36
2023-12-31,53
2024-01-07,67
2024-01-14,59
2024-01-21,66
2024-01-28,81
2024-02-04,77
2024-02-11,70
2024-02-18,74
2024-02-25,68
2024-03-03,68
2024-03-10,63
2024-03-17,68
2024-03-24,66
2024-03-31,66
2024-04-07,66
2024-04-14,63
2024-04-21,68
2024-04-28,63
2024-05-05,55
2024-05-12,59
2024-05-19,56
2024-05-26,54
2024-06-02,60
2024-06-09,60
2024-06-16,62
2024-06-23,62
2024-06-30,51
2024-07-07,62
2024-07-14,61
2024-07-21,68
2024-07-28,65
2024-08-04,62
2024-08-11,61
2024-08-18,61
2024-08-25,64
2024-09-01,57
2024-09-08,64
2024-09-15,64
2024-09-22,65
2024-09-29,61
2024-10-06,61
2024-10-13,62
2024-10-20,64
2024-10-27,75
2024-11-03,63
2024-11-10,100
2024-11-17,72
2024-11-24,56
2024-12-01,65
2024-12-08,67
2024-12-15,62
2024-12-22,39
2024-12-29,44
2025-01-05,68
2025-01-12,70
2025-01-19,66
2025-01-26,83
2025-02-02,76
2025-02-09,78
2025-02-16,73
2025-02-23,72
2025-03-02,78
2025-03-09,73
2025-03-16,80
2025-03-23,69
2025-03-30,82
2025-04-06,81
2025-04-13,67
2025-04-20,72
2025-04-27,70
2025-05-04,68
2025-05-11,84
2025-05-18,66
2025-05-25,62
2025-06-01,69
2025-06-08,67
2025-06-15,68
2025-06-22,70
2025-06-29,67
2025-07-06,75
2025-07-13,72
2025-07-20,76
2025-07-27,88
