date,American Express
2020-08-02,89
2020-08-09,80
2020-08-16,79
2020-08-23,81
2020-08-30,87
2020-09-06,84
2020-09-13,86
2020-09-20,80
2020-09-27,88
2020-10-04,80
2020-10-11,86
2020-10-18,79
2020-10-25,76
2020-11-01,81
2020-11-08,87
2020-11-15,85
2020-11-22,85
2020-11-29,100
2020-12-06,89
2020-12-13,92
2020-12-20,88
2020-12-27,94
2021-01-03,90
2021-01-10,87
2021-01-17,91
2021-01-24,84
2021-01-31,84
2021-02-07,80
2021-02-14,76
2021-02-21,74
2021-02-28,81
2021-03-07,79
2021-03-14,78
2021-03-21,84
2021-03-28,81
2021-04-04,72
2021-04-11,76
2021-04-18,75
2021-04-25,78
2021-05-02,81
2021-05-09,83
2021-05-16,80
2021-05-23,81
2021-05-30,83
2021-06-06,88
2021-06-13,81
2021-06-20,84
2021-06-27,85
2021-07-04,82
2021-07-11,87
2021-07-18,81
2021-07-25,71
2021-08-01,69
2021-08-08,69
2021-08-15,70
2021-08-22,67
2021-08-29,69
2021-09-05,64
2021-09-12,70
2021-09-19,63
2021-09-26,69
2021-10-03,70
2021-10-10,68
2021-10-17,68
2021-10-24,69
2021-10-31,71
2021-11-07,70
2021-11-14,75
2021-11-21,67
2021-11-28,76
2021-12-05,72
2021-12-12,77
2021-12-19,70
2021-12-26,73
2022-01-02,83
2022-01-09,74
2022-01-16,79
2022-01-23,82
2022-01-30,81
2022-02-06,78
2022-02-13,78
2022-02-20,74
2022-02-27,78
2022-03-06,79
2022-03-13,75
2022-03-20,77
2022-03-27,82
2022-04-03,82
2022-04-10,75
2022-04-17,78
2022-04-24,79
2022-05-01,79
2022-05-08,76
2022-05-15,73
2022-05-22,76
2022-05-29,75
2022-06-05,80
2022-06-12,82
2022-06-19,83
2022-06-26,82
2022-07-03,85
2022-07-10,89
2022-07-17,85
2022-07-24,81
2022-07-31,88
2022-08-07,84
2022-08-14,80
2022-08-21,85
2022-08-28,84
2022-09-04,76
2022-09-11,79
2022-09-18,77
2022-09-25,78
2022-10-02,82
2022-10-09,83
2022-10-16,78
2022-10-23,74
2022-10-30,81
2022-11-06,79
2022-11-13,85
2022-11-20,76
2022-11-27,80
2022-12-04,78
2022-12-11,81
2022-12-18,76
2022-12-25,78
2023-01-01,88
2023-01-08,86
2023-01-15,92
2023-01-22,89
2023-01-29,88
2023-02-05,84
2023-02-12,83
2023-02-19,80
2023-02-26,84
2023-03-05,80
2023-03-12,81
2023-03-19,86
2023-03-26,75
2023-04-02,80
2023-04-09,80
2023-04-16,83
2023-04-23,77
2023-04-30,81
2023-05-07,74
2023-05-14,77
2023-05-21,74
2023-05-28,77
2023-06-04,81
2023-06-11,77
2023-06-18,76
2023-06-25,80
2023-07-02,84
2023-07-09,82
2023-07-16,73
2023-07-23,78
2023-07-30,82
2023-08-06,74
2023-08-13,74
2023-08-20,71
2023-08-27,71
2023-09-03,73
2023-09-10,72
2023-09-17,69
2023-09-24,72
2023-10-01,71
2023-10-08,69
2023-10-15,70
2023-10-22,69
2023-10-29,73
2023-11-05,72
2023-11-12,69
2023-11-19,67
2023-11-26,74
2023-12-03,73
2023-12-10,74
2023-12-17,72
2023-12-24,67
2023-12-31,78
2024-01-07,73
2024-01-14,83
2024-01-21,87
2024-01-28,81
2024-02-04,78
2024-02-11,75
2024-02-18,77
2024-02-25,82
2024-03-03,80
2024-03-10,75
2024-03-17,78
2024-03-24,74
2024-03-31,77
2024-04-07,75
2024-04-14,70
2024-04-21,72
2024-04-28,79
2024-05-05,72
2024-05-12,72
2024-05-19,72
2024-05-26,74
2024-06-02,74
2024-06-09,74
2024-06-16,75
2024-06-23,70
2024-06-30,75
2024-07-07,76
2024-07-14,75
2024-07-21,72
2024-07-28,75
2024-08-04,75
2024-08-11,81
2024-08-18,73
2024-08-25,73
2024-09-01,72
2024-09-08,73
2024-09-15,74
2024-09-22,71
2024-09-29,75
2024-10-06,71
2024-10-13,71
2024-10-20,67
2024-10-27,70
2024-11-03,71
2024-11-10,73
2024-11-17,76
2024-11-24,67
2024-12-01,84
2024-12-08,78
2024-12-15,79
2024-12-22,74
2024-12-29,82
2025-01-05,81
2025-01-12,89
2025-01-19,81
2025-01-26,77
2025-02-02,75
2025-02-09,73
2025-02-16,75
2025-02-23,77
2025-03-02,78
2025-03-09,71
2025-03-16,73
2025-03-23,70
2025-03-30,77
2025-04-06,73
2025-04-13,66
2025-04-20,71
2025-04-27,71
2025-05-04,72
2025-05-11,71
2025-05-18,74
2025-05-25,69
2025-06-01,85
2025-06-08,80
2025-06-15,84
2025-06-22,83
2025-06-29,82
2025-07-06,82
2025-07-13,88
2025-07-20,79
2025-07-27,92
