date,Amgen stock price
2020-01-01,56
2020-02-01,58
2020-03-01,100
2020-04-01,91
2020-05-01,67
2020-06-01,63
2020-07-01,75
2020-08-01,78
2020-09-01,61
2020-10-01,61
2020-11-01,59
2020-12-01,56
2021-01-01,57
2021-02-01,56
2021-03-01,51
2021-04-01,53
2021-05-01,54
2021-06-01,57
2021-07-01,44
2021-08-01,50
2021-09-01,44
2021-10-01,46
2021-11-01,47
2021-12-01,58
2022-01-01,43
2022-02-01,45
2022-03-01,41
2022-04-01,40
2022-05-01,32
2022-06-01,35
2022-07-01,29
2022-08-01,31
2022-09-01,30
2022-10-01,49
2022-11-01,39
2022-12-01,37
2023-01-01,38
2023-02-01,36
2023-03-01,36
2023-04-01,32
2023-05-01,30
2023-06-01,34
2023-07-01,34
2023-08-01,43
2023-09-01,34
2023-10-01,35
2023-11-01,39
2023-12-01,42
2024-01-01,55
2024-02-01,43
2024-03-01,45
2024-04-01,33
2024-05-01,58
2024-06-01,42
2024-07-01,55
2024-08-01,49
2024-09-01,45
2024-10-01,41
2024-11-01,57
2024-12-01,53
2025-01-01,51
2025-02-01,60
2025-03-01,59
2025-04-01,62
2025-05-01,52
2025-06-01,53
2025-07-01,56
2025-08-01,85
