date,Apple Watch
2020-08-02,50
2020-08-09,45
2020-08-16,48
2020-08-23,44
2020-08-30,46
2020-09-06,47
2020-09-13,92
2020-09-20,76
2020-09-27,64
2020-10-04,58
2020-10-11,57
2020-10-18,54
2020-10-25,49
2020-11-01,48
2020-11-08,55
2020-11-15,59
2020-11-22,83
2020-11-29,70
2020-12-06,64
2020-12-13,62
2020-12-20,92
2020-12-27,82
2021-01-03,65
2021-01-10,56
2021-01-17,53
2021-01-24,54
2021-01-31,51
2021-02-07,49
2021-02-14,47
2021-02-21,46
2021-02-28,48
2021-03-07,47
2021-03-14,46
2021-03-21,48
2021-03-28,47
2021-04-04,45
2021-04-11,43
2021-04-18,46
2021-04-25,53
2021-05-02,53
2021-05-09,52
2021-05-16,48
2021-05-23,49
2021-05-30,51
2021-06-06,51
2021-06-13,50
2021-06-20,54
2021-06-27,49
2021-07-04,50
2021-07-11,48
2021-07-18,53
2021-07-25,51
2021-08-01,52
2021-08-08,52
2021-08-15,51
2021-08-22,51
2021-08-29,47
2021-09-05,52
2021-09-12,70
2021-09-19,59
2021-09-26,56
2021-10-03,63
2021-10-10,65
2021-10-17,59
2021-10-24,55
2021-10-31,60
2021-11-07,61
2021-11-14,62
2021-11-21,87
2021-11-28,75
2021-12-05,69
2021-12-12,70
2021-12-19,92
2021-12-26,99
2022-01-02,82
2022-01-09,70
2022-01-16,59
2022-01-23,60
2022-01-30,59
2022-02-06,57
2022-02-13,55
2022-02-20,52
2022-02-27,51
2022-03-06,50
2022-03-13,50
2022-03-20,49
2022-03-27,48
2022-04-03,48
2022-04-10,50
2022-04-17,48
2022-04-24,50
2022-05-01,53
2022-05-08,49
2022-05-15,49
2022-05-22,50
2022-05-29,50
2022-06-05,54
2022-06-12,52
2022-06-19,55
2022-06-26,51
2022-07-03,54
2022-07-10,60
2022-07-17,52
2022-07-24,54
2022-07-31,53
2022-08-07,56
2022-08-14,52
2022-08-21,50
2022-08-28,53
2022-09-04,86
2022-09-11,77
2022-09-18,75
2022-09-25,71
2022-10-02,67
2022-10-09,64
2022-10-16,62
2022-10-23,60
2022-10-30,59
2022-11-06,61
2022-11-13,66
2022-11-20,84
2022-11-27,68
2022-12-04,64
2022-12-11,69
2022-12-18,69
2022-12-25,100
2023-01-01,72
2023-01-08,64
2023-01-15,61
2023-01-22,58
2023-01-29,56
2023-02-05,53
2023-02-12,54
2023-02-19,54
2023-02-26,53
2023-03-05,52
2023-03-12,49
2023-03-19,48
2023-03-26,50
2023-04-02,50
2023-04-09,50
2023-04-16,50
2023-04-23,50
2023-04-30,52
2023-05-07,53
2023-05-14,50
2023-05-21,51
2023-05-28,52
2023-06-04,57
2023-06-11,55
2023-06-18,55
2023-06-25,51
2023-07-02,56
2023-07-09,61
2023-07-16,55
2023-07-23,53
2023-07-30,53
2023-08-06,53
2023-08-13,53
2023-08-20,51
2023-08-27,50
2023-09-03,51
2023-09-10,72
2023-09-17,68
2023-09-24,68
2023-10-01,59
2023-10-08,57
2023-10-15,56
2023-10-22,53
2023-10-29,54
2023-11-05,57
2023-11-12,60
2023-11-19,77
2023-11-26,65
2023-12-03,60
2023-12-10,65
2023-12-17,74
2023-12-24,98
2023-12-31,68
2024-01-07,58
2024-01-14,53
2024-01-21,53
2024-01-28,57
2024-02-04,54
2024-02-11,55
2024-02-18,53
2024-02-25,52
2024-03-03,52
2024-03-10,49
2024-03-17,49
2024-03-24,50
2024-03-31,51
2024-04-07,51
2024-04-14,50
2024-04-21,52
2024-04-28,54
2024-05-05,50
2024-05-12,56
2024-05-19,50
2024-05-26,53
2024-06-02,52
2024-06-09,55
2024-06-16,53
2024-06-23,50
2024-06-30,50
2024-07-07,54
2024-07-14,61
2024-07-21,54
2024-07-28,52
2024-08-04,51
2024-08-11,54
2024-08-18,52
2024-08-25,52
2024-09-01,50
2024-09-08,83
2024-09-15,70
2024-09-22,70
2024-09-29,62
2024-10-06,59
2024-10-13,54
2024-10-20,55
2024-10-27,53
2024-11-03,53
2024-11-10,58
2024-11-17,65
2024-11-24,80
2024-12-01,68
2024-12-08,66
2024-12-15,68
2024-12-22,94
2024-12-29,71
2025-01-05,64
2025-01-12,62
2025-01-19,55
2025-01-26,53
2025-02-02,53
2025-02-09,53
2025-02-16,51
2025-02-23,49
2025-03-02,49
2025-03-09,51
2025-03-16,50
2025-03-23,48
2025-03-30,51
2025-04-06,51
2025-04-13,50
2025-04-20,49
2025-04-27,53
2025-05-04,51
2025-05-11,52
2025-05-18,50
2025-05-25,50
2025-06-01,52
2025-06-08,53
2025-06-15,51
2025-06-22,52
2025-06-29,51
2025-07-06,58
2025-07-13,53
2025-07-20,56
2025-07-27,58
