date,Atlassian stock price
2020-08-02,47
2020-08-09,51
2020-08-16,47
2020-08-23,43
2020-08-30,43
2020-09-06,23
2020-09-13,36
2020-09-20,28
2020-09-27,23
2020-10-04,23
2020-10-11,22
2020-10-18,25
2020-10-25,56
2020-11-01,32
2020-11-08,45
2020-11-15,28
2020-11-22,22
2020-11-29,30
2020-12-06,22
2020-12-13,40
2020-12-20,26
2020-12-27,0
2021-01-03,27
2021-01-10,31
2021-01-17,26
2021-01-24,31
2021-01-31,29
2021-02-07,42
2021-02-14,24
2021-02-21,23
2021-02-28,0
2021-03-07,19
2021-03-14,25
2021-03-21,0
2021-03-28,0
2021-04-04,37
2021-04-11,35
2021-04-18,29
2021-04-25,20
2021-05-02,24
2021-05-09,25
2021-05-16,24
2021-05-23,0
2021-05-30,20
2021-06-06,0
2021-06-13,33
2021-06-20,38
2021-06-27,34
2021-07-04,0
2021-07-11,19
2021-07-18,39
2021-07-25,32
2021-08-01,51
2021-08-08,31
2021-08-15,39
2021-08-22,27
2021-08-29,38
2021-09-05,21
2021-09-12,33
2021-09-19,41
2021-09-26,36
2021-10-03,40
2021-10-10,28
2021-10-17,62
2021-10-24,54
2021-10-31,53
2021-11-07,34
2021-11-14,39
2021-11-21,41
2021-11-28,50
2021-12-05,49
2021-12-12,29
2021-12-19,38
2021-12-26,22
2022-01-02,53
2022-01-09,33
2022-01-16,42
2022-01-23,55
2022-01-30,49
2022-02-06,43
2022-02-13,45
2022-02-20,52
2022-02-27,48
2022-03-06,25
2022-03-13,50
2022-03-20,54
2022-03-27,37
2022-04-03,41
2022-04-10,43
2022-04-17,42
2022-04-24,41
2022-05-01,50
2022-05-08,70
2022-05-15,57
2022-05-22,40
2022-05-29,37
2022-06-05,39
2022-06-12,46
2022-06-19,35
2022-06-26,20
2022-07-03,35
2022-07-10,25
2022-07-17,27
2022-07-24,18
2022-07-31,43
2022-08-07,37
2022-08-14,29
2022-08-21,48
2022-08-28,28
2022-09-04,26
2022-09-11,35
2022-09-18,31
2022-09-25,32
2022-10-02,30
2022-10-09,30
2022-10-16,30
2022-10-23,31
2022-10-30,96
2022-11-06,100
2022-11-13,44
2022-11-20,33
2022-11-27,41
2022-12-04,27
2022-12-11,22
2022-12-18,36
2022-12-25,23
2023-01-01,24
2023-01-08,34
2023-01-15,26
2023-01-22,29
2023-01-29,52
2023-02-05,37
2023-02-12,41
2023-02-19,28
2023-02-26,27
2023-03-05,32
2023-03-12,37
2023-03-19,38
2023-03-26,35
2023-04-02,20
2023-04-09,28
2023-04-16,34
2023-04-23,38
2023-04-30,43
2023-05-07,31
2023-05-14,35
2023-05-21,43
2023-05-28,31
2023-06-04,29
2023-06-11,42
2023-06-18,23
2023-06-25,33
2023-07-02,40
2023-07-09,39
2023-07-16,66
2023-07-23,47
2023-07-30,69
2023-08-06,37
2023-08-13,56
2023-08-20,33
2023-08-27,41
2023-09-03,34
2023-09-10,34
2023-09-17,29
2023-09-24,19
2023-10-01,28
2023-10-08,36
2023-10-15,27
2023-10-22,31
2023-10-29,41
2023-11-05,26
2023-11-12,31
2023-11-19,27
2023-11-26,31
2023-12-03,27
2023-12-10,35
2023-12-17,30
2023-12-24,34
2023-12-31,21
2024-01-07,42
2024-01-14,33
2024-01-21,43
2024-01-28,76
2024-02-04,54
2024-02-11,38
2024-02-18,59
2024-02-25,34
2024-03-03,49
2024-03-10,37
2024-03-17,39
2024-03-24,29
2024-03-31,20
2024-04-07,35
2024-04-14,27
2024-04-21,33
2024-04-28,37
2024-05-05,32
2024-05-12,30
2024-05-19,49
2024-05-26,43
2024-06-02,48
2024-06-09,55
2024-06-16,31
2024-06-23,41
2024-06-30,36
2024-07-07,40
2024-07-14,34
2024-07-21,32
2024-07-28,52
2024-08-04,74
2024-08-11,48
2024-08-18,49
2024-08-25,50
2024-09-01,40
2024-09-08,30
2024-09-15,37
2024-09-22,32
2024-09-29,34
2024-10-06,49
2024-10-13,37
2024-10-20,38
2024-10-27,63
2024-11-03,81
2024-11-10,64
2024-11-17,63
2024-11-24,48
2024-12-01,77
2024-12-08,68
2024-12-15,38
2024-12-22,35
2024-12-29,0
2025-01-05,28
2025-01-12,26
2025-01-19,24
2025-01-26,96
2025-02-02,71
2025-02-09,69
2025-02-16,58
2025-02-23,49
2025-03-02,54
2025-03-09,47
2025-03-16,46
2025-03-23,31
2025-03-30,44
2025-04-06,64
2025-04-13,36
2025-04-20,22
2025-04-27,52
2025-05-04,55
2025-05-11,39
2025-05-18,21
2025-05-25,36
2025-06-01,28
2025-06-08,43
2025-06-15,22
2025-06-22,34
2025-06-29,51
2025-07-06,39
2025-07-13,70
2025-07-20,49
2025-07-27,87
