date,BLK
2020-08-02,91
2020-08-09,85
2020-08-16,89
2020-08-23,87
2020-08-30,86
2020-09-06,85
2020-09-13,86
2020-09-20,83
2020-09-27,82
2020-10-04,84
2020-10-11,84
2020-10-18,80
2020-10-25,82
2020-11-01,78
2020-11-08,85
2020-11-15,88
2020-11-22,87
2020-11-29,82
2020-12-06,81
2020-12-13,88
2020-12-20,83
2020-12-27,85
2021-01-03,86
2021-01-10,91
2021-01-17,89
2021-01-24,84
2021-01-31,83
2021-02-07,87
2021-02-14,81
2021-02-21,86
2021-02-28,86
2021-03-07,81
2021-03-14,85
2021-03-21,85
2021-03-28,86
2021-04-04,83
2021-04-11,88
2021-04-18,83
2021-04-25,86
2021-05-02,91
2021-05-09,86
2021-05-16,88
2021-05-23,90
2021-05-30,92
2021-06-06,89
2021-06-13,87
2021-06-20,85
2021-06-27,85
2021-07-04,82
2021-07-11,92
2021-07-18,91
2021-07-25,85
2021-08-01,84
2021-08-08,86
2021-08-15,85
2021-08-22,86
2021-08-29,84
2021-09-05,81
2021-09-12,92
2021-09-19,93
2021-09-26,82
2021-10-03,83
2021-10-10,89
2021-10-17,80
2021-10-24,81
2021-10-31,77
2021-11-07,82
2021-11-14,83
2021-11-21,83
2021-11-28,85
2021-12-05,86
2021-12-12,88
2021-12-19,88
2021-12-26,90
2022-01-02,83
2022-01-09,83
2022-01-16,77
2022-01-23,84
2022-01-30,84
2022-02-06,83
2022-02-13,84
2022-02-20,87
2022-02-27,88
2022-03-06,84
2022-03-13,83
2022-03-20,81
2022-03-27,80
2022-04-03,84
2022-04-10,84
2022-04-17,82
2022-04-24,82
2022-05-01,82
2022-05-08,84
2022-05-15,82
2022-05-22,84
2022-05-29,85
2022-06-05,86
2022-06-12,81
2022-06-19,90
2022-06-26,86
2022-07-03,85
2022-07-10,85
2022-07-17,87
2022-07-24,83
2022-07-31,89
2022-08-07,85
2022-08-14,86
2022-08-21,89
2022-08-28,83
2022-09-04,83
2022-09-11,79
2022-09-18,82
2022-09-25,83
2022-10-02,82
2022-10-09,78
2022-10-16,83
2022-10-23,80
2022-10-30,82
2022-11-06,78
2022-11-13,80
2022-11-20,80
2022-11-27,80
2022-12-04,81
2022-12-11,84
2022-12-18,80
2022-12-25,86
2023-01-01,82
2023-01-08,86
2023-01-15,85
2023-01-22,83
2023-01-29,85
2023-02-05,90
2023-02-12,85
2023-02-19,84
2023-02-26,86
2023-03-05,83
2023-03-12,81
2023-03-19,80
2023-03-26,85
2023-04-02,80
2023-04-09,82
2023-04-16,74
2023-04-23,77
2023-04-30,84
2023-05-07,82
2023-05-14,81
2023-05-21,81
2023-05-28,86
2023-06-04,100
2023-06-11,85
2023-06-18,84
2023-06-25,81
2023-07-02,89
2023-07-09,88
2023-07-16,85
2023-07-23,87
2023-07-30,97
2023-08-06,93
2023-08-13,92
2023-08-20,84
2023-08-27,82
2023-09-03,87
2023-09-10,82
2023-09-17,80
2023-09-24,78
2023-10-01,80
2023-10-08,76
2023-10-15,79
2023-10-22,79
2023-10-29,78
2023-11-05,78
2023-11-12,82
2023-11-19,89
2023-11-26,85
2023-12-03,83
2023-12-10,84
2023-12-17,92
2023-12-24,85
2023-12-31,88
2024-01-07,87
2024-01-14,84
2024-01-21,89
2024-01-28,84
2024-02-04,84
2024-02-11,80
2024-02-18,86
2024-02-25,85
2024-03-03,84
2024-03-10,80
2024-03-17,90
2024-03-24,84
2024-03-31,82
2024-04-07,80
2024-04-14,86
2024-04-21,83
2024-04-28,89
2024-05-05,81
2024-05-12,88
2024-05-19,80
2024-05-26,83
2024-06-02,88
2024-06-09,85
2024-06-16,81
2024-06-23,87
2024-06-30,97
2024-07-07,89
2024-07-14,93
2024-07-21,86
2024-07-28,81
2024-08-04,85
2024-08-11,88
2024-08-18,87
2024-08-25,85
2024-09-01,84
2024-09-08,83
2024-09-15,87
2024-09-22,87
2024-09-29,87
2024-10-06,86
2024-10-13,85
2024-10-20,88
2024-10-27,87
2024-11-03,91
2024-11-10,89
2024-11-17,88
2024-11-24,93
2024-12-01,92
2024-12-08,95
2024-12-15,94
2024-12-22,95
2024-12-29,91
2025-01-05,92
2025-01-12,95
2025-01-19,91
2025-01-26,87
2025-02-02,94
2025-02-09,91
2025-02-16,88
2025-02-23,87
2025-03-02,91
2025-03-09,83
2025-03-16,90
2025-03-23,84
2025-03-30,88
2025-04-06,92
2025-04-13,91
2025-04-20,93
2025-04-27,89
2025-05-04,87
2025-05-11,98
2025-05-18,84
2025-05-25,88
2025-06-01,90
2025-06-08,86
2025-06-15,93
2025-06-22,96
2025-06-29,94
2025-07-06,93
2025-07-13,99
2025-07-20,98
2025-07-27,93
