date,Bank of America layoffs
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,15
2020-08-30,12
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,14
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,16
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,16
2021-02-07,0
2021-02-14,0
2021-02-21,23
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,14
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,15
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,12
2021-08-01,0
2021-08-08,13
2021-08-15,19
2021-08-22,14
2021-08-29,0
2021-09-05,15
2021-09-12,16
2021-09-19,0
2021-09-26,0
2021-10-03,16
2021-10-10,15
2021-10-17,15
2021-10-24,23
2021-10-31,20
2021-11-07,16
2021-11-14,14
2021-11-21,0
2021-11-28,22
2021-12-05,16
2021-12-12,21
2021-12-19,19
2021-12-26,23
2022-01-02,16
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,19
2022-02-13,0
2022-02-20,15
2022-02-27,21
2022-03-06,0
2022-03-13,0
2022-03-20,11
2022-03-27,0
2022-04-03,15
2022-04-10,13
2022-04-17,14
2022-04-24,14
2022-05-01,16
2022-05-08,20
2022-05-15,0
2022-05-22,21
2022-05-29,0
2022-06-05,23
2022-06-12,17
2022-06-19,22
2022-06-26,11
2022-07-03,12
2022-07-10,15
2022-07-17,16
2022-07-24,11
2022-07-31,18
2022-08-07,14
2022-08-14,15
2022-08-21,10
2022-08-28,0
2022-09-04,11
2022-09-11,18
2022-09-18,13
2022-09-25,20
2022-10-02,0
2022-10-09,15
2022-10-16,21
2022-10-23,0
2022-10-30,14
2022-11-06,21
2022-11-13,20
2022-11-20,10
2022-11-27,18
2022-12-04,22
2022-12-11,12
2022-12-18,12
2022-12-25,0
2023-01-01,11
2023-01-08,25
2023-01-15,53
2023-01-22,33
2023-01-29,28
2023-02-05,18
2023-02-12,28
2023-02-19,22
2023-02-26,22
2023-03-05,27
2023-03-12,24
2023-03-19,28
2023-03-26,28
2023-04-02,21
2023-04-09,13
2023-04-16,48
2023-04-23,38
2023-04-30,22
2023-05-07,20
2023-05-14,16
2023-05-21,17
2023-05-28,16
2023-06-04,12
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,15
2023-07-09,0
2023-07-16,15
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,12
2023-08-20,0
2023-08-27,0
2023-09-03,12
2023-09-10,17
2023-09-17,14
2023-09-24,0
2023-10-01,11
2023-10-08,17
2023-10-15,25
2023-10-22,19
2023-10-29,11
2023-11-05,14
2023-11-12,20
2023-11-19,0
2023-11-26,13
2023-12-03,16
2023-12-10,13
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,16
2024-01-14,30
2024-01-21,100
2024-01-28,28
2024-02-04,0
2024-02-11,15
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,17
2024-05-05,13
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,21
2024-11-17,23
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,21
2025-03-02,26
2025-03-09,36
2025-03-16,15
2025-03-23,24
2025-03-30,15
2025-04-06,0
2025-04-13,0
2025-04-20,21
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,21
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,17
2025-07-20,0
2025-07-27,22
