date,Berkshire Hathaway
2020-08-02,36
2020-08-09,37
2020-08-16,33
2020-08-23,28
2020-08-30,36
2020-09-06,27
2020-09-13,25
2020-09-20,23
2020-09-27,19
2020-10-04,20
2020-10-11,20
2020-10-18,18
2020-10-25,18
2020-11-01,19
2020-11-08,26
2020-11-15,26
2020-11-22,23
2020-11-29,20
2020-12-06,20
2020-12-13,19
2020-12-20,19
2020-12-27,20
2021-01-03,25
2021-01-10,24
2021-01-17,22
2021-01-24,28
2021-01-31,25
2021-02-07,25
2021-02-14,29
2021-02-21,32
2021-02-28,35
2021-03-07,31
2021-03-14,27
2021-03-21,22
2021-03-28,21
2021-04-04,23
2021-04-11,25
2021-04-18,24
2021-04-25,33
2021-05-02,54
2021-05-09,31
2021-05-16,25
2021-05-23,22
2021-05-30,21
2021-06-06,22
2021-06-13,21
2021-06-20,21
2021-06-27,21
2021-07-04,21
2021-07-11,22
2021-07-18,21
2021-07-25,19
2021-08-01,20
2021-08-08,23
2021-08-15,20
2021-08-22,20
2021-08-29,19
2021-09-05,19
2021-09-12,20
2021-09-19,18
2021-09-26,18
2021-10-03,19
2021-10-10,17
2021-10-17,18
2021-10-24,28
2021-10-31,20
2021-11-07,21
2021-11-14,20
2021-11-21,17
2021-11-28,17
2021-12-05,17
2021-12-12,20
2021-12-19,18
2021-12-26,18
2022-01-02,23
2022-01-09,22
2022-01-16,19
2022-01-23,27
2022-01-30,25
2022-02-06,23
2022-02-13,29
2022-02-20,28
2022-02-27,29
2022-03-06,27
2022-03-13,34
2022-03-20,33
2022-03-27,29
2022-04-03,28
2022-04-10,26
2022-04-17,27
2022-04-24,45
2022-05-01,51
2022-05-08,27
2022-05-15,27
2022-05-22,22
2022-05-29,19
2022-06-05,21
2022-06-12,24
2022-06-19,24
2022-06-26,20
2022-07-03,19
2022-07-10,20
2022-07-17,20
2022-07-24,20
2022-07-31,22
2022-08-07,34
2022-08-14,23
2022-08-21,20
2022-08-28,19
2022-09-04,16
2022-09-11,18
2022-09-18,17
2022-09-25,17
2022-10-02,17
2022-10-09,18
2022-10-16,16
2022-10-23,17
2022-10-30,20
2022-11-06,22
2022-11-13,21
2022-11-20,15
2022-11-27,16
2022-12-04,15
2022-12-11,17
2022-12-18,14
2022-12-25,17
2023-01-01,18
2023-01-08,19
2023-01-15,16
2023-01-22,21
2023-01-29,20
2023-02-05,18
2023-02-12,22
2023-02-19,20
2023-02-26,28
2023-03-05,19
2023-03-12,19
2023-03-19,20
2023-03-26,18
2023-04-02,16
2023-04-09,19
2023-04-16,19
2023-04-23,19
2023-04-30,32
2023-05-07,38
2023-05-14,22
2023-05-21,19
2023-05-28,16
2023-06-04,16
2023-06-11,18
2023-06-18,16
2023-06-25,17
2023-07-02,16
2023-07-09,19
2023-07-16,17
2023-07-23,18
2023-07-30,19
2023-08-06,25
2023-08-13,20
2023-08-20,17
2023-08-27,18
2023-09-03,17
2023-09-10,18
2023-09-17,17
2023-09-24,18
2023-10-01,17
2023-10-08,15
2023-10-15,16
2023-10-22,16
2023-10-29,18
2023-11-05,21
2023-11-12,18
2023-11-19,17
2023-11-26,35
2023-12-03,18
2023-12-10,16
2023-12-17,16
2023-12-24,15
2023-12-31,18
2024-01-07,15
2024-01-14,17
2024-01-21,18
2024-01-28,20
2024-02-04,21
2024-02-11,25
2024-02-18,30
2024-02-25,42
2024-03-03,25
2024-03-10,21
2024-03-17,21
2024-03-24,20
2024-03-31,20
2024-04-07,19
2024-04-14,19
2024-04-21,19
2024-04-28,34
2024-05-05,38
2024-05-12,23
2024-05-19,19
2024-05-26,18
2024-06-02,100
2024-06-09,23
2024-06-16,20
2024-06-23,20
2024-06-30,18
2024-07-07,19
2024-07-14,22
2024-07-21,20
2024-07-28,22
2024-08-04,39
2024-08-11,24
2024-08-18,21
2024-08-25,35
2024-09-01,25
2024-09-08,24
2024-09-15,21
2024-09-22,19
2024-09-29,18
2024-10-06,19
2024-10-13,21
2024-10-20,17
2024-10-27,20
2024-11-03,43
2024-11-10,27
2024-11-17,21
2024-11-24,21
2024-12-01,21
2024-12-08,19
2024-12-15,19
2024-12-22,18
2024-12-29,20
2025-01-05,19
2025-01-12,21
2025-01-19,22
2025-01-26,21
2025-02-02,21
2025-02-09,20
2025-02-16,27
2025-02-23,41
2025-03-02,30
2025-03-09,33
2025-03-16,34
2025-03-23,28
2025-03-30,42
2025-04-06,54
2025-04-13,27
2025-04-20,29
2025-04-27,50
2025-05-04,82
2025-05-11,35
2025-05-18,26
2025-05-25,22
2025-06-01,25
2025-06-08,24
2025-06-15,22
2025-06-22,22
2025-06-29,22
2025-07-06,23
2025-07-13,25
2025-07-20,31
2025-07-27,38
