date,Bristol-Myers Squibb
2020-08-02,94
2020-08-09,80
2020-08-16,79
2020-08-23,66
2020-08-30,80
2020-09-06,74
2020-09-13,80
2020-09-20,65
2020-09-27,80
2020-10-04,80
2020-10-11,73
2020-10-18,65
2020-10-25,62
2020-11-01,52
2020-11-08,70
2020-11-15,91
2020-11-22,76
2020-11-29,91
2020-12-06,72
2020-12-13,89
2020-12-20,49
2020-12-27,62
2021-01-03,87
2021-01-10,76
2021-01-17,71
2021-01-24,74
2021-01-31,71
2021-02-07,69
2021-02-14,76
2021-02-21,65
2021-02-28,66
2021-03-07,55
2021-03-14,59
2021-03-21,57
2021-03-28,56
2021-04-04,61
2021-04-11,59
2021-04-18,64
2021-04-25,78
2021-05-02,48
2021-05-09,68
2021-05-16,59
2021-05-23,48
2021-05-30,56
2021-06-06,44
2021-06-13,46
2021-06-20,39
2021-06-27,45
2021-07-04,51
2021-07-11,43
2021-07-18,39
2021-07-25,41
2021-08-01,57
2021-08-08,41
2021-08-15,51
2021-08-22,47
2021-08-29,62
2021-09-05,55
2021-09-12,57
2021-09-19,55
2021-09-26,54
2021-10-03,58
2021-10-10,59
2021-10-17,59
2021-10-24,50
2021-10-31,69
2021-11-07,46
2021-11-14,62
2021-11-21,48
2021-11-28,50
2021-12-05,59
2021-12-12,54
2021-12-19,59
2021-12-26,39
2022-01-02,50
2022-01-09,66
2022-01-16,49
2022-01-23,56
2022-01-30,65
2022-02-06,55
2022-02-13,79
2022-02-20,59
2022-02-27,54
2022-03-06,61
2022-03-13,75
2022-03-20,67
2022-03-27,65
2022-04-03,54
2022-04-10,60
2022-04-17,69
2022-04-24,52
2022-05-01,70
2022-05-08,60
2022-05-15,85
2022-05-22,48
2022-05-29,48
2022-06-05,56
2022-06-12,44
2022-06-19,61
2022-06-26,42
2022-07-03,54
2022-07-10,38
2022-07-17,46
2022-07-24,51
2022-07-31,46
2022-08-07,44
2022-08-14,44
2022-08-21,45
2022-08-28,46
2022-09-04,40
2022-09-11,59
2022-09-18,39
2022-09-25,56
2022-10-02,46
2022-10-09,43
2022-10-16,43
2022-10-23,45
2022-10-30,48
2022-11-06,54
2022-11-13,36
2022-11-20,32
2022-11-27,41
2022-12-04,44
2022-12-11,39
2022-12-18,42
2022-12-25,27
2023-01-01,38
2023-01-08,42
2023-01-15,41
2023-01-22,48
2023-01-29,51
2023-02-05,40
2023-02-12,43
2023-02-19,54
2023-02-26,45
2023-03-05,41
2023-03-12,31
2023-03-19,42
2023-03-26,40
2023-04-02,30
2023-04-09,43
2023-04-16,43
2023-04-23,46
2023-04-30,37
2023-05-07,33
2023-05-14,36
2023-05-21,35
2023-05-28,36
2023-06-04,41
2023-06-11,45
2023-06-18,42
2023-06-25,49
2023-07-02,33
2023-07-09,48
2023-07-16,39
2023-07-23,42
2023-07-30,47
2023-08-06,34
2023-08-13,37
2023-08-20,43
2023-08-27,49
2023-09-03,29
2023-09-10,38
2023-09-17,39
2023-09-24,35
2023-10-01,35
2023-10-08,42
2023-10-15,43
2023-10-22,46
2023-10-29,42
2023-11-05,46
2023-11-12,56
2023-11-19,38
2023-11-26,53
2023-12-03,46
2023-12-10,49
2023-12-17,45
2023-12-24,35
2023-12-31,48
2024-01-07,38
2024-01-14,51
2024-01-21,50
2024-01-28,71
2024-02-04,69
2024-02-11,55
2024-02-18,54
2024-02-25,52
2024-03-03,57
2024-03-10,58
2024-03-17,54
2024-03-24,49
2024-03-31,57
2024-04-07,50
2024-04-14,51
2024-04-21,67
2024-04-28,60
2024-05-05,39
2024-05-12,51
2024-05-19,58
2024-05-26,41
2024-06-02,34
2024-06-09,42
2024-06-16,55
2024-06-23,46
2024-06-30,35
2024-07-07,36
2024-07-14,47
2024-07-21,60
2024-07-28,52
2024-08-04,39
2024-08-11,54
2024-08-18,56
2024-08-25,39
2024-09-01,35
2024-09-08,54
2024-09-15,53
2024-09-22,71
2024-09-29,51
2024-10-06,49
2024-10-13,43
2024-10-20,46
2024-10-27,53
2024-11-03,49
2024-11-10,68
2024-11-17,37
2024-11-24,37
2024-12-01,33
2024-12-08,32
2024-12-15,48
2024-12-22,20
2024-12-29,28
2025-01-05,48
2025-01-12,42
2025-01-19,36
2025-01-26,48
2025-02-02,50
2025-02-09,46
2025-02-16,48
2025-02-23,39
2025-03-02,47
2025-03-09,47
2025-03-16,40
2025-03-23,52
2025-03-30,43
2025-04-06,41
2025-04-13,43
2025-04-20,46
2025-04-27,56
2025-05-04,44
2025-05-11,48
2025-05-18,42
2025-05-25,43
2025-06-01,52
2025-06-08,62
2025-06-15,50
2025-06-22,58
2025-06-29,40
2025-07-06,48
2025-07-13,46
2025-07-20,69
2025-07-27,100
