date,Broadcom news
2020-08-02,4
2020-08-09,7
2020-08-16,6
2020-08-23,6
2020-08-30,12
2020-09-06,4
2020-09-13,4
2020-09-20,6
2020-09-27,0
2020-10-04,4
2020-10-11,0
2020-10-18,0
2020-10-25,7
2020-11-01,5
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,4
2020-12-06,4
2020-12-13,5
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,4
2021-01-17,5
2021-01-24,0
2021-01-31,4
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,4
2021-03-07,6
2021-03-14,0
2021-03-21,5
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,7
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,5
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,5
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,7
2021-12-12,4
2021-12-19,4
2021-12-26,0
2022-01-02,5
2022-01-09,4
2022-01-16,0
2022-01-23,4
2022-01-30,0
2022-02-06,0
2022-02-13,3
2022-02-20,3
2022-02-27,3
2022-03-06,0
2022-03-13,4
2022-03-20,4
2022-03-27,4
2022-04-03,3
2022-04-10,0
2022-04-17,0
2022-04-24,3
2022-05-01,0
2022-05-08,0
2022-05-15,5
2022-05-22,41
2022-05-29,12
2022-06-05,9
2022-06-12,6
2022-06-19,4
2022-06-26,5
2022-07-03,10
2022-07-10,8
2022-07-17,7
2022-07-24,7
2022-07-31,6
2022-08-07,5
2022-08-14,8
2022-08-21,9
2022-08-28,7
2022-09-04,4
2022-09-11,8
2022-09-18,7
2022-09-25,4
2022-10-02,6
2022-10-09,6
2022-10-16,4
2022-10-23,3
2022-10-30,7
2022-11-06,5
2022-11-13,6
2022-11-20,6
2022-11-27,0
2022-12-04,5
2022-12-11,5
2022-12-18,6
2022-12-25,0
2023-01-01,6
2023-01-08,6
2023-01-15,5
2023-01-22,6
2023-01-29,7
2023-02-05,9
2023-02-12,6
2023-02-19,4
2023-02-26,7
2023-03-05,10
2023-03-12,6
2023-03-19,4
2023-03-26,6
2023-04-02,6
2023-04-09,4
2023-04-16,8
2023-04-23,8
2023-04-30,9
2023-05-07,10
2023-05-14,11
2023-05-21,18
2023-05-28,20
2023-06-04,8
2023-06-11,14
2023-06-18,13
2023-06-25,12
2023-07-02,7
2023-07-09,13
2023-07-16,9
2023-07-23,9
2023-07-30,12
2023-08-06,17
2023-08-13,11
2023-08-20,17
2023-08-27,15
2023-09-03,15
2023-09-10,12
2023-09-17,15
2023-09-24,15
2023-10-01,11
2023-10-08,17
2023-10-15,29
2023-10-22,46
2023-10-29,51
2023-11-05,42
2023-11-12,61
2023-11-19,66
2023-11-26,28
2023-12-03,22
2023-12-10,23
2023-12-17,14
2023-12-24,11
2023-12-31,8
2024-01-07,13
2024-01-14,13
2024-01-21,15
2024-01-28,13
2024-02-04,17
2024-02-11,14
2024-02-18,12
2024-02-25,17
2024-03-03,24
2024-03-10,11
2024-03-17,17
2024-03-24,10
2024-03-31,8
2024-04-07,7
2024-04-14,13
2024-04-21,10
2024-04-28,12
2024-05-05,7
2024-05-12,9
2024-05-19,6
2024-05-26,11
2024-06-02,10
2024-06-09,36
2024-06-16,35
2024-06-23,19
2024-06-30,25
2024-07-07,24
2024-07-14,32
2024-07-21,24
2024-07-28,18
2024-08-04,19
2024-08-11,19
2024-08-18,19
2024-08-25,22
2024-09-01,31
2024-09-08,20
2024-09-15,14
2024-09-22,19
2024-09-29,13
2024-10-06,18
2024-10-13,20
2024-10-20,16
2024-10-27,15
2024-11-03,15
2024-11-10,15
2024-11-17,18
2024-11-24,15
2024-12-01,16
2024-12-08,53
2024-12-15,53
2024-12-22,27
2024-12-29,24
2025-01-05,19
2025-01-12,23
2025-01-19,20
2025-01-26,45
2025-02-02,23
2025-02-09,18
2025-02-16,26
2025-02-23,22
2025-03-02,32
2025-03-09,21
2025-03-16,20
2025-03-23,20
2025-03-30,23
2025-04-06,30
2025-04-13,22
2025-04-20,18
2025-04-27,18
2025-05-04,18
2025-05-11,17
2025-05-18,13
2025-05-25,18
2025-06-01,37
2025-06-08,25
2025-06-15,24
2025-06-22,26
2025-06-29,23
2025-07-06,27
2025-07-13,42
2025-07-20,52
2025-07-27,100
