date,Charles Schwab news
2020-08-02,33
2020-08-09,24
2020-08-16,29
2020-08-23,30
2020-08-30,35
2020-09-06,19
2020-09-13,20
2020-09-20,15
2020-09-27,24
2020-10-04,27
2020-10-11,24
2020-10-18,21
2020-10-25,23
2020-11-01,41
2020-11-08,32
2020-11-15,28
2020-11-22,23
2020-11-29,28
2020-12-06,26
2020-12-13,27
2020-12-20,22
2020-12-27,23
2021-01-03,38
2021-01-10,43
2021-01-17,27
2021-01-24,39
2021-01-31,37
2021-02-07,49
2021-02-14,34
2021-02-21,33
2021-02-28,27
2021-03-07,28
2021-03-14,17
2021-03-21,26
2021-03-28,28
2021-04-04,26
2021-04-11,33
2021-04-18,25
2021-04-25,20
2021-05-02,20
2021-05-09,29
2021-05-16,25
2021-05-23,49
2021-05-30,34
2021-06-06,23
2021-06-13,25
2021-06-20,26
2021-06-27,28
2021-07-04,17
2021-07-11,31
2021-07-18,25
2021-07-25,25
2021-08-01,25
2021-08-08,31
2021-08-15,24
2021-08-22,29
2021-08-29,30
2021-09-05,19
2021-09-12,28
2021-09-19,23
2021-09-26,20
2021-10-03,23
2021-10-10,28
2021-10-17,25
2021-10-24,24
2021-10-31,23
2021-11-07,27
2021-11-14,28
2021-11-21,17
2021-11-28,34
2021-12-05,22
2021-12-12,22
2021-12-19,22
2021-12-26,25
2022-01-02,25
2022-01-09,25
2022-01-16,21
2022-01-23,22
2022-01-30,27
2022-02-06,13
2022-02-13,15
2022-02-20,30
2022-02-27,33
2022-03-06,29
2022-03-13,28
2022-03-20,27
2022-03-27,24
2022-04-03,23
2022-04-10,20
2022-04-17,18
2022-04-24,22
2022-05-01,21
2022-05-08,19
2022-05-15,20
2022-05-22,38
2022-05-29,32
2022-06-05,21
2022-06-12,19
2022-06-19,21
2022-06-26,21
2022-07-03,16
2022-07-10,16
2022-07-17,22
2022-07-24,20
2022-07-31,25
2022-08-07,36
2022-08-14,25
2022-08-21,19
2022-08-28,17
2022-09-04,14
2022-09-11,17
2022-09-18,21
2022-09-25,19
2022-10-02,20
2022-10-09,19
2022-10-16,17
2022-10-23,29
2022-10-30,22
2022-11-06,25
2022-11-13,27
2022-11-20,19
2022-11-27,19
2022-12-04,16
2022-12-11,19
2022-12-18,18
2022-12-25,17
2023-01-01,22
2023-01-08,25
2023-01-15,22
2023-01-22,23
2023-01-29,30
2023-02-05,28
2023-02-12,26
2023-02-19,22
2023-02-26,20
2023-03-05,39
2023-03-12,100
2023-03-19,46
2023-03-26,55
2023-04-02,39
2023-04-09,29
2023-04-16,34
2023-04-23,34
2023-04-30,29
2023-05-07,28
2023-05-14,33
2023-05-21,45
2023-05-28,44
2023-06-04,25
2023-06-11,35
2023-06-18,32
2023-06-25,36
2023-07-02,33
2023-07-09,33
2023-07-16,35
2023-07-23,33
2023-07-30,28
2023-08-06,31
2023-08-13,31
2023-08-20,42
2023-08-27,33
2023-09-03,26
2023-09-10,35
2023-09-17,36
2023-09-24,29
2023-10-01,28
2023-10-08,35
2023-10-15,32
2023-10-22,25
2023-10-29,39
2023-11-05,43
2023-11-12,44
2023-11-19,25
2023-11-26,39
2023-12-03,32
2023-12-10,45
2023-12-17,41
2023-12-24,39
2023-12-31,35
2024-01-07,37
2024-01-14,40
2024-01-21,44
2024-01-28,39
2024-02-04,35
2024-02-11,45
2024-02-18,42
2024-02-25,45
2024-03-03,48
2024-03-10,42
2024-03-17,48
2024-03-24,47
2024-03-31,45
2024-04-07,38
2024-04-14,41
2024-04-21,40
2024-04-28,42
2024-05-05,39
2024-05-12,47
2024-05-19,66
2024-05-26,47
2024-06-02,48
2024-06-09,50
2024-06-16,42
2024-06-23,40
2024-06-30,38
2024-07-07,49
2024-07-14,62
2024-07-21,45
2024-07-28,42
2024-08-04,61
2024-08-11,49
2024-08-18,55
2024-08-25,39
2024-09-01,28
2024-09-08,41
2024-09-15,51
2024-09-22,48
2024-09-29,40
2024-10-06,40
2024-10-13,42
2024-10-20,40
2024-10-27,45
2024-11-03,57
2024-11-10,53
2024-11-17,52
2024-11-24,36
2024-12-01,51
2024-12-08,48
2024-12-15,47
2024-12-22,36
2024-12-29,45
2025-01-05,48
2025-01-12,46
2025-01-19,45
2025-01-26,61
2025-02-02,55
2025-02-09,62
2025-02-16,42
2025-02-23,47
2025-03-02,50
2025-03-09,44
2025-03-16,45
2025-03-23,43
2025-03-30,60
2025-04-06,75
2025-04-13,43
2025-04-20,49
2025-04-27,55
2025-05-04,43
2025-05-11,60
2025-05-18,65
2025-05-25,51
2025-06-01,37
2025-06-08,59
2025-06-15,53
2025-06-22,68
2025-06-29,51
2025-07-06,62
2025-07-13,62
2025-07-20,73
2025-07-27,96
