date,China
2020-01-01,62
2020-02-01,63
2020-03-01,100
2020-04-01,71
2020-05-01,58
2020-06-01,60
2020-07-01,53
2020-08-01,45
2020-09-01,46
2020-10-01,43
2020-11-01,36
2020-12-01,42
2021-01-01,39
2021-02-01,37
2021-03-01,38
2021-04-01,41
2021-05-01,49
2021-06-01,42
2021-07-01,45
2021-08-01,44
2021-09-01,41
2021-10-01,46
2021-11-01,43
2021-12-01,39
2022-01-01,39
2022-02-01,48
2022-03-01,47
2022-04-01,40
2022-05-01,39
2022-06-01,37
2022-07-01,37
2022-08-01,46
2022-09-01,38
2022-10-01,36
2022-11-01,37
2022-12-01,42
2023-01-01,37
2023-02-01,41
2023-03-01,39
2023-04-01,39
2023-05-01,36
2023-06-01,38
2023-07-01,37
2023-08-01,39
2023-09-01,43
2023-10-01,39
2023-11-01,38
2023-12-01,37
2024-01-01,39
2024-02-01,39
2024-03-01,39
2024-04-01,42
2024-05-01,40
2024-06-01,38
2024-07-01,39
2024-08-01,39
2024-09-01,43
2024-10-01,45
2024-11-01,42
2024-12-01,42
2025-01-01,52
2025-02-01,41
2025-03-01,44
2025-04-01,56
2025-05-01,48
2025-06-01,44
2025-07-01,45
2025-08-01,60
