date,Cisco
2020-08-02,96
2020-08-09,97
2020-08-16,97
2020-08-23,95
2020-08-30,100
2020-09-06,98
2020-09-13,99
2020-09-20,99
2020-09-27,94
2020-10-04,97
2020-10-11,90
2020-10-18,88
2020-10-25,83
2020-11-01,78
2020-11-08,88
2020-11-15,87
2020-11-22,78
2020-11-29,86
2020-12-06,84
2020-12-13,82
2020-12-20,60
2020-12-27,49
2021-01-03,74
2021-01-10,80
2021-01-17,82
2021-01-24,82
2021-01-31,90
2021-02-07,84
2021-02-14,81
2021-02-21,80
2021-02-28,86
2021-03-07,84
2021-03-14,85
2021-03-21,85
2021-03-28,81
2021-04-04,79
2021-04-11,80
2021-04-18,88
2021-04-25,78
2021-05-02,76
2021-05-09,79
2021-05-16,81
2021-05-23,81
2021-05-30,77
2021-06-06,85
2021-06-13,86
2021-06-20,81
2021-06-27,78
2021-07-04,76
2021-07-11,79
2021-07-18,73
2021-07-25,79
2021-08-01,73
2021-08-08,70
2021-08-15,73
2021-08-22,78
2021-08-29,78
2021-09-05,77
2021-09-12,78
2021-09-19,82
2021-09-26,80
2021-10-03,85
2021-10-10,81
2021-10-17,79
2021-10-24,82
2021-10-31,73
2021-11-07,78
2021-11-14,81
2021-11-21,72
2021-11-28,82
2021-12-05,78
2021-12-12,81
2021-12-19,64
2021-12-26,50
2022-01-02,74
2022-01-09,84
2022-01-16,81
2022-01-23,86
2022-01-30,88
2022-02-06,91
2022-02-13,96
2022-02-20,86
2022-02-27,88
2022-03-06,93
2022-03-13,86
2022-03-20,85
2022-03-27,84
2022-04-03,85
2022-04-10,76
2022-04-17,82
2022-04-24,83
2022-05-01,74
2022-05-08,83
2022-05-15,85
2022-05-22,78
2022-05-29,80
2022-06-05,79
2022-06-12,80
2022-06-19,81
2022-06-26,77
2022-07-03,76
2022-07-10,76
2022-07-17,74
2022-07-24,71
2022-07-31,74
2022-08-07,77
2022-08-14,78
2022-08-21,76
2022-08-28,75
2022-09-04,73
2022-09-11,77
2022-09-18,76
2022-09-25,85
2022-10-02,77
2022-10-09,81
2022-10-16,82
2022-10-23,81
2022-10-30,75
2022-11-06,79
2022-11-13,85
2022-11-20,71
2022-11-27,79
2022-12-04,73
2022-12-11,76
2022-12-18,65
2022-12-25,53
2023-01-01,61
2023-01-08,74
2023-01-15,74
2023-01-22,74
2023-01-29,82
2023-02-05,82
2023-02-12,77
2023-02-19,76
2023-02-26,83
2023-03-05,80
2023-03-12,75
2023-03-19,75
2023-03-26,77
2023-04-02,72
2023-04-09,74
2023-04-16,75
2023-04-23,73
2023-04-30,72
2023-05-07,77
2023-05-14,77
2023-05-21,76
2023-05-28,78
2023-06-04,81
2023-06-11,78
2023-06-18,76
2023-06-25,74
2023-07-02,72
2023-07-09,78
2023-07-16,75
2023-07-23,80
2023-07-30,75
2023-08-06,74
2023-08-13,77
2023-08-20,82
2023-08-27,75
2023-09-03,73
2023-09-10,76
2023-09-17,85
2023-09-24,80
2023-10-01,79
2023-10-08,79
2023-10-15,84
2023-10-22,86
2023-10-29,75
2023-11-05,78
2023-11-12,81
2023-11-19,69
2023-11-26,79
2023-12-03,78
2023-12-10,75
2023-12-17,67
2023-12-24,48
2023-12-31,55
2024-01-07,71
2024-01-14,76
2024-01-21,84
2024-01-28,89
2024-02-04,93
2024-02-11,94
2024-02-18,92
2024-02-25,92
2024-03-03,81
2024-03-10,88
2024-03-17,88
2024-03-24,82
2024-03-31,79
2024-04-07,82
2024-04-14,85
2024-04-21,90
2024-04-28,81
2024-05-05,80
2024-05-12,83
2024-05-19,83
2024-05-26,84
2024-06-02,87
2024-06-09,85
2024-06-16,77
2024-06-23,83
2024-06-30,75
2024-07-07,76
2024-07-14,80
2024-07-21,83
2024-07-28,73
2024-08-04,78
2024-08-11,85
2024-08-18,90
2024-08-25,78
2024-09-01,80
2024-09-08,84
2024-09-15,86
2024-09-22,82
2024-09-29,82
2024-10-06,81
2024-10-13,84
2024-10-20,90
2024-10-27,81
2024-11-03,78
2024-11-10,85
2024-11-17,86
2024-11-24,79
2024-12-01,82
2024-12-08,79
2024-12-15,83
2024-12-22,51
2024-12-29,49
2025-01-05,74
2025-01-12,79
2025-01-19,87
2025-01-26,80
2025-02-02,90
2025-02-09,94
2025-02-16,84
2025-02-23,84
2025-03-02,84
2025-03-09,84
2025-03-16,86
2025-03-23,86
2025-03-30,84
2025-04-06,85
2025-04-13,73
2025-04-20,82
2025-04-27,76
2025-05-04,79
2025-05-11,84
2025-05-18,83
2025-05-25,78
2025-06-01,84
2025-06-08,88
2025-06-15,89
2025-06-22,83
2025-06-29,78
2025-07-06,81
2025-07-13,80
2025-07-20,87
2025-07-27,91
