date,Coca-Cola
2020-08-02,32
2020-08-09,33
2020-08-16,32
2020-08-23,32
2020-08-30,34
2020-09-06,32
2020-09-13,33
2020-09-20,31
2020-09-27,33
2020-10-04,32
2020-10-11,33
2020-10-18,36
2020-10-25,35
2020-11-01,29
2020-11-08,39
2020-11-15,43
2020-11-22,41
2020-11-29,49
2020-12-06,56
2020-12-13,54
2020-12-20,53
2020-12-27,52
2021-01-03,44
2021-01-10,44
2021-01-17,40
2021-01-24,42
2021-01-31,41
2021-02-07,40
2021-02-14,39
2021-02-21,65
2021-02-28,48
2021-03-07,39
2021-03-14,43
2021-03-21,39
2021-03-28,42
2021-04-04,44
2021-04-11,44
2021-04-18,41
2021-04-25,41
2021-05-02,38
2021-05-09,42
2021-05-16,44
2021-05-23,41
2021-05-30,47
2021-06-06,42
2021-06-13,100
2021-06-20,49
2021-06-27,39
2021-07-04,38
2021-07-11,37
2021-07-18,41
2021-07-25,37
2021-08-01,38
2021-08-08,39
2021-08-15,41
2021-08-22,39
2021-08-29,40
2021-09-05,36
2021-09-12,37
2021-09-19,39
2021-09-26,36
2021-10-03,37
2021-10-10,35
2021-10-17,37
2021-10-24,37
2021-10-31,39
2021-11-07,39
2021-11-14,39
2021-11-21,44
2021-11-28,45
2021-12-05,46
2021-12-12,50
2021-12-19,39
2021-12-26,40
2022-01-02,45
2022-01-09,48
2022-01-16,43
2022-01-23,50
2022-01-30,48
2022-02-06,50
2022-02-13,57
2022-02-20,63
2022-02-27,67
2022-03-06,65
2022-03-13,58
2022-03-20,59
2022-03-27,59
2022-04-03,55
2022-04-10,58
2022-04-17,66
2022-04-24,76
2022-05-01,74
2022-05-08,73
2022-05-15,72
2022-05-22,74
2022-05-29,88
2022-06-05,69
2022-06-12,73
2022-06-19,66
2022-06-26,65
2022-07-03,65
2022-07-10,62
2022-07-17,61
2022-07-24,59
2022-07-31,58
2022-08-07,58
2022-08-14,64
2022-08-21,62
2022-08-28,65
2022-09-04,60
2022-09-11,61
2022-09-18,63
2022-09-25,60
2022-10-02,61
2022-10-09,64
2022-10-16,62
2022-10-23,64
2022-10-30,59
2022-11-06,57
2022-11-13,50
2022-11-20,54
2022-11-27,53
2022-12-04,53
2022-12-11,50
2022-12-18,49
2022-12-25,42
2023-01-01,41
2023-01-08,39
2023-01-15,38
2023-01-22,43
2023-01-29,40
2023-02-05,41
2023-02-12,42
2023-02-19,46
2023-02-26,45
2023-03-05,46
2023-03-12,47
2023-03-19,44
2023-03-26,45
2023-04-02,44
2023-04-09,46
2023-04-16,46
2023-04-23,46
2023-04-30,45
2023-05-07,48
2023-05-14,45
2023-05-21,48
2023-05-28,59
2023-06-04,48
2023-06-11,51
2023-06-18,48
2023-06-25,48
2023-07-02,46
2023-07-09,43
2023-07-16,42
2023-07-23,41
2023-07-30,37
2023-08-06,40
2023-08-13,38
2023-08-20,38
2023-08-27,45
2023-09-03,43
2023-09-10,43
2023-09-17,46
2023-09-24,47
2023-10-01,45
2023-10-08,51
2023-10-15,50
2023-10-22,50
2023-10-29,50
2023-11-05,68
2023-11-12,65
2023-11-19,58
2023-11-26,57
2023-12-03,65
2023-12-10,62
2023-12-17,59
2023-12-24,48
2023-12-31,47
2024-01-07,41
2024-01-14,48
2024-01-21,51
2024-01-28,52
2024-02-04,49
2024-02-11,49
2024-02-18,54
2024-02-25,52
2024-03-03,57
2024-03-10,54
2024-03-17,55
2024-03-24,49
2024-03-31,50
2024-04-07,53
2024-04-14,53
2024-04-21,53
2024-04-28,53
2024-05-05,49
2024-05-12,51
2024-05-19,53
2024-05-26,66
2024-06-02,50
2024-06-09,60
2024-06-16,54
2024-06-23,48
2024-06-30,48
2024-07-07,49
2024-07-14,46
2024-07-21,47
2024-07-28,47
2024-08-04,50
2024-08-11,52
2024-08-18,55
2024-08-25,51
2024-09-01,53
2024-09-08,58
2024-09-15,55
2024-09-22,58
2024-09-29,59
2024-10-06,56
2024-10-13,58
2024-10-20,53
2024-10-27,54
2024-11-03,55
2024-11-10,57
2024-11-17,60
2024-11-24,66
2024-12-01,68
2024-12-08,63
2024-12-15,62
2024-12-22,60
2024-12-29,44
2025-01-05,45
2025-01-12,51
2025-01-19,49
2025-01-26,61
2025-02-02,87
2025-02-09,69
2025-02-16,61
2025-02-23,58
2025-03-02,52
2025-03-09,54
2025-03-16,54
2025-03-23,55
2025-03-30,60
2025-04-06,57
2025-04-13,57
2025-04-20,58
2025-04-27,59
2025-05-04,56
2025-05-11,61
2025-05-18,65
2025-05-25,75
2025-06-01,62
2025-06-08,65
2025-06-15,68
2025-06-22,64
2025-06-29,63
2025-07-06,64
2025-07-13,78
2025-07-20,85
2025-07-27,88
