date,Cybertruck
2020-08-02,6
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,4
2020-09-20,6
2020-09-27,4
2020-10-04,4
2020-10-11,4
2020-10-18,7
2020-10-25,5
2020-11-01,4
2020-11-08,4
2020-11-15,4
2020-11-22,4
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,5
2021-01-03,5
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,5
2021-02-21,5
2021-02-28,5
2021-03-07,5
2021-03-14,4
2021-03-21,4
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,5
2021-05-02,5
2021-05-09,8
2021-05-16,8
2021-05-23,8
2021-05-30,7
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,4
2021-07-04,5
2021-07-11,5
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,6
2021-08-15,5
2021-08-22,5
2021-08-29,5
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,4
2021-10-10,4
2021-10-17,4
2021-10-24,4
2021-10-31,4
2021-11-07,4
2021-11-14,4
2021-11-21,4
2021-11-28,6
2021-12-05,4
2021-12-12,5
2021-12-19,5
2021-12-26,5
2022-01-02,6
2022-01-09,5
2022-01-16,4
2022-01-23,7
2022-01-30,4
2022-02-06,4
2022-02-13,4
2022-02-20,3
2022-02-27,4
2022-03-06,4
2022-03-13,4
2022-03-20,4
2022-03-27,7
2022-04-03,9
2022-04-10,7
2022-04-17,5
2022-04-24,5
2022-05-01,5
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,5
2022-06-12,4
2022-06-19,4
2022-06-26,3
2022-07-03,3
2022-07-10,3
2022-07-17,4
2022-07-24,3
2022-07-31,4
2022-08-07,4
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,3
2022-12-25,3
2023-01-01,4
2023-01-08,3
2023-01-15,3
2023-01-22,3
2023-01-29,4
2023-02-05,4
2023-02-12,3
2023-02-19,3
2023-02-26,5
2023-03-05,4
2023-03-12,4
2023-03-19,3
2023-03-26,4
2023-04-02,7
2023-04-09,3
2023-04-16,3
2023-04-23,3
2023-04-30,4
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,3
2023-06-04,4
2023-06-11,3
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,5
2023-07-16,13
2023-07-23,9
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,7
2023-08-27,6
2023-09-03,6
2023-09-10,5
2023-09-17,5
2023-09-24,4
2023-10-01,5
2023-10-08,5
2023-10-15,9
2023-10-22,9
2023-10-29,9
2023-11-05,9
2023-11-12,11
2023-11-19,10
2023-11-26,57
2023-12-03,46
2023-12-10,22
2023-12-17,17
2023-12-24,16
2023-12-31,14
2024-01-07,11
2024-01-14,10
2024-01-21,10
2024-01-28,11
2024-02-04,13
2024-02-11,15
2024-02-18,15
2024-02-25,15
2024-03-03,16
2024-03-10,16
2024-03-17,18
2024-03-24,20
2024-03-31,23
2024-04-07,23
2024-04-14,26
2024-04-21,25
2024-04-28,25
2024-05-05,28
2024-05-12,28
2024-05-19,30
2024-05-26,30
2024-06-02,28
2024-06-09,30
2024-06-16,29
2024-06-23,29
2024-06-30,29
2024-07-07,27
2024-07-14,28
2024-07-21,33
2024-07-28,31
2024-08-04,32
2024-08-11,30
2024-08-18,29
2024-08-25,28
2024-09-01,24
2024-09-08,24
2024-09-15,24
2024-09-22,20
2024-09-29,20
2024-10-06,23
2024-10-13,21
2024-10-20,20
2024-10-27,21
2024-11-03,23
2024-11-10,22
2024-11-17,22
2024-11-24,26
2024-12-01,24
2024-12-08,22
2024-12-15,24
2024-12-22,25
2024-12-29,100
2025-01-05,28
2025-01-12,22
2025-01-19,18
2025-01-26,18
2025-02-02,15
2025-02-09,17
2025-02-16,17
2025-02-23,16
2025-03-02,16
2025-03-09,20
2025-03-16,25
2025-03-23,19
2025-03-30,17
2025-04-06,15
2025-04-13,14
2025-04-20,14
2025-04-27,13
2025-05-04,11
2025-05-11,12
2025-05-18,11
2025-05-25,14
2025-06-01,12
2025-06-08,11
2025-06-15,10
2025-06-22,10
2025-06-29,11
2025-07-06,10
2025-07-13,10
2025-07-20,12
2025-07-27,11
