date,Cybertruck price
2020-08-02,8
2020-08-09,7
2020-08-16,6
2020-08-23,6
2020-08-30,6
2020-09-06,6
2020-09-13,5
2020-09-20,8
2020-09-27,6
2020-10-04,7
2020-10-11,7
2020-10-18,10
2020-10-25,7
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,6
2020-11-29,5
2020-12-06,5
2020-12-13,5
2020-12-20,6
2020-12-27,6
2021-01-03,7
2021-01-10,10
2021-01-17,9
2021-01-24,8
2021-01-31,7
2021-02-07,7
2021-02-14,8
2021-02-21,7
2021-02-28,7
2021-03-07,8
2021-03-14,7
2021-03-21,6
2021-03-28,7
2021-04-04,7
2021-04-11,8
2021-04-18,8
2021-04-25,7
2021-05-02,8
2021-05-09,13
2021-05-16,12
2021-05-23,10
2021-05-30,8
2021-06-06,8
2021-06-13,6
2021-06-20,6
2021-06-27,6
2021-07-04,6
2021-07-11,9
2021-07-18,7
2021-07-25,7
2021-08-01,8
2021-08-08,8
2021-08-15,8
2021-08-22,7
2021-08-29,7
2021-09-05,5
2021-09-12,5
2021-09-19,5
2021-09-26,5
2021-10-03,6
2021-10-10,6
2021-10-17,7
2021-10-24,8
2021-10-31,8
2021-11-07,9
2021-11-14,8
2021-11-21,8
2021-11-28,10
2021-12-05,8
2021-12-12,7
2021-12-19,7
2021-12-26,7
2022-01-02,9
2022-01-09,7
2022-01-16,6
2022-01-23,10
2022-01-30,6
2022-02-06,5
2022-02-13,6
2022-02-20,6
2022-02-27,6
2022-03-06,7
2022-03-13,7
2022-03-20,7
2022-03-27,7
2022-04-03,9
2022-04-10,9
2022-04-17,7
2022-04-24,8
2022-05-01,7
2022-05-08,7
2022-05-15,7
2022-05-22,5
2022-05-29,5
2022-06-05,8
2022-06-12,7
2022-06-19,6
2022-06-26,6
2022-07-03,5
2022-07-10,5
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,6
2022-08-14,5
2022-08-21,5
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,3
2022-09-25,5
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,5
2022-10-30,4
2022-11-06,4
2022-11-13,4
2022-11-20,4
2022-11-27,5
2022-12-04,4
2022-12-11,4
2022-12-18,4
2022-12-25,5
2023-01-01,5
2023-01-08,5
2023-01-15,5
2023-01-22,5
2023-01-29,6
2023-02-05,7
2023-02-12,4
2023-02-19,5
2023-02-26,5
2023-03-05,4
2023-03-12,4
2023-03-19,3
2023-03-26,4
2023-04-02,6
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,5
2023-05-07,5
2023-05-14,7
2023-05-21,6
2023-05-28,5
2023-06-04,5
2023-06-11,5
2023-06-18,5
2023-06-25,7
2023-07-02,6
2023-07-09,7
2023-07-16,20
2023-07-23,13
2023-07-30,7
2023-08-06,7
2023-08-13,8
2023-08-20,12
2023-08-27,9
2023-09-03,8
2023-09-10,7
2023-09-17,8
2023-09-24,7
2023-10-01,7
2023-10-08,6
2023-10-15,11
2023-10-22,13
2023-10-29,17
2023-11-05,15
2023-11-12,21
2023-11-19,17
2023-11-26,100
2023-12-03,68
2023-12-10,29
2023-12-17,22
2023-12-24,20
2023-12-31,20
2024-01-07,16
2024-01-14,14
2024-01-21,16
2024-01-28,20
2024-02-04,22
2024-02-11,21
2024-02-18,26
2024-02-25,32
2024-03-03,30
2024-03-10,34
2024-03-17,37
2024-03-24,41
2024-03-31,46
2024-04-07,45
2024-04-14,45
2024-04-21,42
2024-04-28,40
2024-05-05,54
2024-05-12,54
2024-05-19,55
2024-05-26,47
2024-06-02,48
2024-06-09,57
2024-06-16,54
2024-06-23,52
2024-06-30,56
2024-07-07,52
2024-07-14,50
2024-07-21,50
2024-07-28,47
2024-08-04,51
2024-08-11,52
2024-08-18,50
2024-08-25,45
2024-09-01,38
2024-09-08,39
2024-09-15,38
2024-09-22,33
2024-09-29,34
2024-10-06,36
2024-10-13,35
2024-10-20,35
2024-10-27,32
2024-11-03,36
2024-11-10,41
2024-11-17,39
2024-11-24,44
2024-12-01,40
2024-12-08,37
2024-12-15,41
2024-12-22,44
2024-12-29,65
2025-01-05,35
2025-01-12,31
2025-01-19,27
2025-01-26,29
2025-02-02,24
2025-02-09,22
2025-02-16,26
2025-02-23,23
2025-03-02,24
2025-03-09,28
2025-03-16,27
2025-03-23,23
2025-03-30,23
2025-04-06,22
2025-04-13,20
2025-04-20,23
2025-04-27,22
2025-05-04,16
2025-05-11,18
2025-05-18,18
2025-05-25,19
2025-06-01,19
2025-06-08,18
2025-06-15,15
2025-06-22,15
2025-06-29,17
2025-07-06,16
2025-07-13,19
2025-07-20,20
2025-07-27,21
