date,Fiverr news
2020-08-02,20
2020-08-09,14
2020-08-16,20
2020-08-23,10
2020-08-30,17
2020-09-06,11
2020-09-13,19
2020-09-20,16
2020-09-27,13
2020-10-04,11
2020-10-11,18
2020-10-18,23
2020-10-25,12
2020-11-01,18
2020-11-08,25
2020-11-15,13
2020-11-22,14
2020-11-29,9
2020-12-06,11
2020-12-13,8
2020-12-20,11
2020-12-27,18
2021-01-03,19
2021-01-10,18
2021-01-17,20
2021-01-24,21
2021-01-31,18
2021-02-07,19
2021-02-14,15
2021-02-21,16
2021-02-28,14
2021-03-07,17
2021-03-14,13
2021-03-21,27
2021-03-28,13
2021-04-04,10
2021-04-11,16
2021-04-18,14
2021-04-25,12
2021-05-02,17
2021-05-09,16
2021-05-16,18
2021-05-23,12
2021-05-30,10
2021-06-06,13
2021-06-13,11
2021-06-20,13
2021-06-27,13
2021-07-04,12
2021-07-11,7
2021-07-18,10
2021-07-25,11
2021-08-01,35
2021-08-08,8
2021-08-15,10
2021-08-22,7
2021-08-29,8
2021-09-05,13
2021-09-12,0
2021-09-19,9
2021-09-26,12
2021-10-03,10
2021-10-10,12
2021-10-17,14
2021-10-24,11
2021-10-31,13
2021-11-07,11
2021-11-14,8
2021-11-21,9
2021-11-28,13
2021-12-05,10
2021-12-12,12
2021-12-19,12
2021-12-26,14
2022-01-02,21
2022-01-09,22
2022-01-16,18
2022-01-23,15
2022-01-30,21
2022-02-06,15
2022-02-13,20
2022-02-20,26
2022-02-27,20
2022-03-06,17
2022-03-13,23
2022-03-20,16
2022-03-27,16
2022-04-03,16
2022-04-10,17
2022-04-17,14
2022-04-24,12
2022-05-01,12
2022-05-08,15
2022-05-15,13
2022-05-22,10
2022-05-29,16
2022-06-05,14
2022-06-12,14
2022-06-19,19
2022-06-26,15
2022-07-03,17
2022-07-10,17
2022-07-17,20
2022-07-24,22
2022-07-31,22
2022-08-07,18
2022-08-14,19
2022-08-21,16
2022-08-28,14
2022-09-04,14
2022-09-11,14
2022-09-18,13
2022-09-25,14
2022-10-02,14
2022-10-09,18
2022-10-16,17
2022-10-23,16
2022-10-30,13
2022-11-06,17
2022-11-13,17
2022-11-20,13
2022-11-27,14
2022-12-04,15
2022-12-11,17
2022-12-18,15
2022-12-25,23
2023-01-01,20
2023-01-08,20
2023-01-15,18
2023-01-22,14
2023-01-29,19
2023-02-05,13
2023-02-12,18
2023-02-19,15
2023-02-26,16
2023-03-05,15
2023-03-12,16
2023-03-19,16
2023-03-26,19
2023-04-02,17
2023-04-09,16
2023-04-16,13
2023-04-23,14
2023-04-30,14
2023-05-07,19
2023-05-14,18
2023-05-21,16
2023-05-28,14
2023-06-04,16
2023-06-11,16
2023-06-18,14
2023-06-25,17
2023-07-02,15
2023-07-09,17
2023-07-16,13
2023-07-23,13
2023-07-30,13
2023-08-06,16
2023-08-13,16
2023-08-20,15
2023-08-27,15
2023-09-03,17
2023-09-10,16
2023-09-17,14
2023-09-24,20
2023-10-01,16
2023-10-08,15
2023-10-15,17
2023-10-22,12
2023-10-29,14
2023-11-05,12
2023-11-12,10
2023-11-19,11
2023-11-26,12
2023-12-03,16
2023-12-10,14
2023-12-17,11
2023-12-24,12
2023-12-31,12
2024-01-07,16
2024-01-14,12
2024-01-21,16
2024-01-28,17
2024-02-04,17
2024-02-11,12
2024-02-18,10
2024-02-25,14
2024-03-03,14
2024-03-10,11
2024-03-17,14
2024-03-24,9
2024-03-31,17
2024-04-07,14
2024-04-14,13
2024-04-21,10
2024-04-28,12
2024-05-05,10
2024-05-12,17
2024-05-19,11
2024-05-26,14
2024-06-02,7
2024-06-09,9
2024-06-16,6
2024-06-23,6
2024-06-30,13
2024-07-07,13
2024-07-14,11
2024-07-21,9
2024-07-28,13
2024-08-04,14
2024-08-11,46
2024-08-18,15
2024-08-25,16
2024-09-01,8
2024-09-08,15
2024-09-15,12
2024-09-22,9
2024-09-29,11
2024-10-06,15
2024-10-13,9
2024-10-20,15
2024-10-27,10
2024-11-03,8
2024-11-10,7
2024-11-17,10
2024-11-24,10
2024-12-01,13
2024-12-08,8
2024-12-15,9
2024-12-22,11
2024-12-29,0
2025-01-05,11
2025-01-12,14
2025-01-19,10
2025-01-26,10
2025-02-02,8
2025-02-09,8
2025-02-16,13
2025-02-23,10
2025-03-02,8
2025-03-09,8
2025-03-16,0
2025-03-23,11
2025-03-30,0
2025-04-06,8
2025-04-13,8
2025-04-20,9
2025-04-27,10
2025-05-04,11
2025-05-11,15
2025-05-18,14
2025-05-25,14
2025-06-01,11
2025-06-08,7
2025-06-15,16
2025-06-22,33
2025-06-29,30
2025-07-06,24
2025-07-13,44
2025-07-20,53
2025-07-27,100
