date,Galaxy Buds
2020-08-02,100
2020-08-09,80
2020-08-16,74
2020-08-23,71
2020-08-30,61
2020-09-06,58
2020-09-13,54
2020-09-20,54
2020-09-27,52
2020-10-04,47
2020-10-11,52
2020-10-18,48
2020-10-25,46
2020-11-01,44
2020-11-08,57
2020-11-15,56
2020-11-22,81
2020-11-29,66
2020-12-06,61
2020-12-13,58
2020-12-20,76
2020-12-27,63
2021-01-03,52
2021-01-10,93
2021-01-17,84
2021-01-24,75
2021-01-31,67
2021-02-07,64
2021-02-14,62
2021-02-21,61
2021-02-28,56
2021-03-07,57
2021-03-14,57
2021-03-21,58
2021-03-28,57
2021-04-04,53
2021-04-11,51
2021-04-18,49
2021-04-25,53
2021-05-02,54
2021-05-09,52
2021-05-16,49
2021-05-23,49
2021-05-30,51
2021-06-06,52
2021-06-13,53
2021-06-20,58
2021-06-27,49
2021-07-04,46
2021-07-11,45
2021-07-18,50
2021-07-25,49
2021-08-01,51
2021-08-08,60
2021-08-15,59
2021-08-22,58
2021-08-29,54
2021-09-05,50
2021-09-12,49
2021-09-19,52
2021-09-26,51
2021-10-03,49
2021-10-10,43
2021-10-17,44
2021-10-24,46
2021-10-31,49
2021-11-07,56
2021-11-14,56
2021-11-21,79
2021-11-28,64
2021-12-05,59
2021-12-12,59
2021-12-19,66
2021-12-26,62
2022-01-02,59
2022-01-09,54
2022-01-16,50
2022-01-23,51
2022-01-30,52
2022-02-06,68
2022-02-13,67
2022-02-20,65
2022-02-27,63
2022-03-06,61
2022-03-13,61
2022-03-20,62
2022-03-27,61
2022-04-03,61
2022-04-10,58
2022-04-17,57
2022-04-24,55
2022-05-01,60
2022-05-08,56
2022-05-15,55
2022-05-22,54
2022-05-29,53
2022-06-05,52
2022-06-12,53
2022-06-19,54
2022-06-26,50
2022-07-03,54
2022-07-10,59
2022-07-17,52
2022-07-24,53
2022-07-31,51
2022-08-07,69
2022-08-14,67
2022-08-21,65
2022-08-28,59
2022-09-04,59
2022-09-11,58
2022-09-18,59
2022-09-25,60
2022-10-02,53
2022-10-09,55
2022-10-16,51
2022-10-23,53
2022-10-30,49
2022-11-06,52
2022-11-13,62
2022-11-20,82
2022-11-27,64
2022-12-04,56
2022-12-11,60
2022-12-18,61
2022-12-25,70
2023-01-01,51
2023-01-08,51
2023-01-15,49
2023-01-22,46
2023-01-29,54
2023-02-05,50
2023-02-12,48
2023-02-19,50
2023-02-26,50
2023-03-05,48
2023-03-12,49
2023-03-19,50
2023-03-26,47
2023-04-02,45
2023-04-09,44
2023-04-16,42
2023-04-23,44
2023-04-30,43
2023-05-07,44
2023-05-14,42
2023-05-21,42
2023-05-28,46
2023-06-04,45
2023-06-11,44
2023-06-18,46
2023-06-25,48
2023-07-02,48
2023-07-09,55
2023-07-16,48
2023-07-23,49
2023-07-30,50
2023-08-06,47
2023-08-13,49
2023-08-20,48
2023-08-27,46
2023-09-03,45
2023-09-10,47
2023-09-17,47
2023-09-24,47
2023-10-01,50
2023-10-08,57
2023-10-15,49
2023-10-22,46
2023-10-29,44
2023-11-05,48
2023-11-12,52
2023-11-19,68
2023-11-26,55
2023-12-03,49
2023-12-10,50
2023-12-17,52
2023-12-24,57
2023-12-31,48
2024-01-07,46
2024-01-14,49
2024-01-21,48
2024-01-28,49
2024-02-04,47
2024-02-11,46
2024-02-18,46
2024-02-25,44
2024-03-03,44
2024-03-10,42
2024-03-17,42
2024-03-24,43
2024-03-31,42
2024-04-07,40
2024-04-14,41
2024-04-21,43
2024-04-28,41
2024-05-05,41
2024-05-12,40
2024-05-19,40
2024-05-26,39
2024-06-02,41
2024-06-09,43
2024-06-16,43
2024-06-23,40
2024-06-30,45
2024-07-07,92
2024-07-14,91
2024-07-21,69
2024-07-28,61
2024-08-04,58
2024-08-11,63
2024-08-18,59
2024-08-25,60
2024-09-01,56
2024-09-08,57
2024-09-15,56
2024-09-22,57
2024-09-29,52
2024-10-06,54
2024-10-13,51
2024-10-20,49
2024-10-27,46
2024-11-03,46
2024-11-10,49
2024-11-17,57
2024-11-24,66
2024-12-01,58
2024-12-08,51
2024-12-15,51
2024-12-22,63
2024-12-29,48
2025-01-05,46
2025-01-12,45
2025-01-19,47
2025-01-26,48
2025-02-02,51
2025-02-09,47
2025-02-16,45
2025-02-23,42
2025-03-02,45
2025-03-09,43
2025-03-16,45
2025-03-23,44
2025-03-30,44
2025-04-06,43
2025-04-13,39
2025-04-20,40
2025-04-27,44
2025-05-04,39
2025-05-11,42
2025-05-18,41
2025-05-25,41
2025-06-01,43
2025-06-08,44
2025-06-15,41
2025-06-22,41
2025-06-29,43
2025-07-06,47
2025-07-13,49
2025-07-20,47
2025-07-27,54
