date,Gender Diversity
2020-08-02,41
2020-08-09,43
2020-08-16,43
2020-08-23,40
2020-08-30,50
2020-09-06,49
2020-09-13,59
2020-09-20,63
2020-09-27,54
2020-10-04,59
2020-10-11,58
2020-10-18,52
2020-10-25,50
2020-11-01,38
2020-11-08,49
2020-11-15,54
2020-11-22,46
2020-11-29,52
2020-12-06,51
2020-12-13,43
2020-12-20,21
2020-12-27,18
2021-01-03,31
2021-01-10,41
2021-01-17,44
2021-01-24,43
2021-01-31,50
2021-02-07,51
2021-02-14,47
2021-02-21,54
2021-02-28,59
2021-03-07,71
2021-03-14,56
2021-03-21,58
2021-03-28,50
2021-04-04,53
2021-04-11,56
2021-04-18,63
2021-04-25,50
2021-05-02,49
2021-05-09,48
2021-05-16,54
2021-05-23,48
2021-05-30,48
2021-06-06,44
2021-06-13,47
2021-06-20,46
2021-06-27,42
2021-07-04,37
2021-07-11,39
2021-07-18,37
2021-07-25,34
2021-08-01,40
2021-08-08,42
2021-08-15,41
2021-08-22,53
2021-08-29,57
2021-09-05,60
2021-09-12,58
2021-09-19,63
2021-09-26,55
2021-10-03,58
2021-10-10,60
2021-10-17,54
2021-10-24,59
2021-10-31,48
2021-11-07,63
2021-11-14,55
2021-11-21,45
2021-11-28,50
2021-12-05,52
2021-12-12,42
2021-12-19,23
2021-12-26,19
2022-01-02,41
2022-01-09,54
2022-01-16,48
2022-01-23,57
2022-01-30,64
2022-02-06,64
2022-02-13,74
2022-02-20,75
2022-02-27,92
2022-03-06,96
2022-03-13,86
2022-03-20,85
2022-03-27,83
2022-04-03,80
2022-04-10,63
2022-04-17,72
2022-04-24,81
2022-05-01,63
2022-05-08,72
2022-05-15,70
2022-05-22,51
2022-05-29,60
2022-06-05,58
2022-06-12,61
2022-06-19,51
2022-06-26,49
2022-07-03,46
2022-07-10,51
2022-07-17,51
2022-07-24,52
2022-07-31,49
2022-08-07,46
2022-08-14,51
2022-08-21,59
2022-08-28,61
2022-09-04,61
2022-09-11,67
2022-09-18,72
2022-09-25,71
2022-10-02,70
2022-10-09,66
2022-10-16,69
2022-10-23,70
2022-10-30,68
2022-11-06,67
2022-11-13,78
2022-11-20,66
2022-11-27,67
2022-12-04,65
2022-12-11,59
2022-12-18,43
2022-12-25,32
2023-01-01,48
2023-01-08,50
2023-01-15,59
2023-01-22,55
2023-01-29,64
2023-02-05,67
2023-02-12,67
2023-02-19,73
2023-02-26,84
2023-03-05,87
2023-03-12,71
2023-03-19,74
2023-03-26,72
2023-04-02,56
2023-04-09,66
2023-04-16,66
2023-04-23,67
2023-04-30,59
2023-05-07,67
2023-05-14,63
2023-05-21,60
2023-05-28,54
2023-06-04,58
2023-06-11,58
2023-06-18,54
2023-06-25,47
2023-07-02,44
2023-07-09,51
2023-07-16,50
2023-07-23,49
2023-07-30,45
2023-08-06,45
2023-08-13,43
2023-08-20,52
2023-08-27,50
2023-09-03,60
2023-09-10,58
2023-09-17,65
2023-09-24,65
2023-10-01,64
2023-10-08,67
2023-10-15,70
2023-10-22,63
2023-10-29,68
2023-11-05,68
2023-11-12,65
2023-11-19,59
2023-11-26,61
2023-12-03,64
2023-12-10,58
2023-12-17,44
2023-12-24,28
2023-12-31,37
2024-01-07,51
2024-01-14,58
2024-01-21,61
2024-01-28,59
2024-02-04,65
2024-02-11,65
2024-02-18,68
2024-02-25,76
2024-03-03,84
2024-03-10,76
2024-03-17,74
2024-03-24,65
2024-03-31,71
2024-04-07,57
2024-04-14,68
2024-04-21,63
2024-04-28,66
2024-05-05,75
2024-05-12,63
2024-05-19,57
2024-05-26,51
2024-06-02,58
2024-06-09,62
2024-06-16,52
2024-06-23,52
2024-06-30,51
2024-07-07,46
2024-07-14,51
2024-07-21,52
2024-07-28,52
2024-08-04,53
2024-08-11,63
2024-08-18,54
2024-08-25,58
2024-09-01,65
2024-09-08,68
2024-09-15,70
2024-09-22,72
2024-09-29,61
2024-10-06,63
2024-10-13,70
2024-10-20,67
2024-10-27,64
2024-11-03,69
2024-11-10,73
2024-11-17,71
2024-11-24,59
2024-12-01,65
2024-12-08,62
2024-12-15,44
2024-12-22,32
2024-12-29,31
2025-01-05,47
2025-01-12,58
2025-01-19,70
2025-01-26,63
2025-02-02,67
2025-02-09,70
2025-02-16,62
2025-02-23,71
2025-03-02,67
2025-03-09,62
2025-03-16,62
2025-03-23,69
2025-03-30,57
2025-04-06,60
2025-04-13,58
2025-04-20,50
2025-04-27,61
2025-05-04,58
2025-05-11,60
2025-05-18,54
2025-05-25,47
2025-06-01,55
2025-06-08,64
2025-06-15,61
2025-06-22,77
2025-06-29,78
2025-07-06,68
2025-07-13,72
2025-07-20,71
2025-07-27,100
