date,Greta Thunberg
2020-01-01,90
2020-02-01,54
2020-03-01,58
2020-04-01,24
2020-05-01,25
2020-06-01,19
2020-07-01,15
2020-08-01,16
2020-09-01,16
2020-10-01,18
2020-11-01,27
2020-12-01,16
2021-01-01,30
2021-02-01,41
2021-03-01,18
2021-04-01,28
2021-05-01,21
2021-06-01,14
2021-07-01,13
2021-08-01,15
2021-09-01,23
2021-10-01,30
2021-11-01,41
2021-12-01,14
2022-01-01,16
2022-02-01,15
2022-03-01,15
2022-04-01,14
2022-05-01,12
2022-06-01,13
2022-07-01,11
2022-08-01,10
2022-09-01,13
2022-10-01,21
2022-11-01,20
2022-12-01,65
2023-01-01,79
2023-02-01,20
2023-03-01,21
2023-04-01,13
2023-05-01,11
2023-06-01,16
2023-07-01,25
2023-08-01,12
2023-09-01,10
2023-10-01,24
2023-11-01,21
2023-12-01,14
2024-01-01,12
2024-02-01,16
2024-03-01,13
2024-04-01,24
2024-05-01,15
2024-06-01,9
2024-07-01,8
2024-08-01,7
2024-09-01,12
2024-10-01,15
2024-11-01,10
2024-12-01,9
2025-01-01,9
2025-02-01,9
2025-03-01,9
2025-04-01,8
2025-05-01,9
2025-06-01,100
2025-07-01,8
2025-08-01,9
