date,HP
2020-01-01,84
2020-02-01,84
2020-03-01,89
2020-04-01,92
2020-05-01,97
2020-06-01,99
2020-07-01,99
2020-08-01,98
2020-09-01,100
2020-10-01,96
2020-11-01,97
2020-12-01,93
2021-01-01,92
2021-02-01,93
2021-03-01,95
2021-04-01,90
2021-05-01,81
2021-06-01,87
2021-07-01,90
2021-08-01,91
2021-09-01,87
2021-10-01,82
2021-11-01,83
2021-12-01,85
2022-01-01,92
2022-02-01,90
2022-03-01,92
2022-04-01,85
2022-05-01,83
2022-06-01,84
2022-07-01,80
2022-08-01,84
2022-09-01,87
2022-10-01,80
2022-11-01,79
2022-12-01,79
2023-01-01,84
2023-02-01,83
2023-03-01,79
2023-04-01,76
2023-05-01,81
2023-06-01,82
2023-07-01,83
2023-08-01,79
2023-09-01,81
2023-10-01,82
2023-11-01,77
2023-12-01,82
2024-01-01,83
2024-02-01,80
2024-03-01,74
2024-04-01,79
2024-05-01,75
2024-06-01,74
2024-07-01,77
2024-08-01,81
2024-09-01,77
2024-10-01,76
2024-11-01,73
2024-12-01,76
2025-01-01,82
2025-02-01,76
2025-03-01,79
2025-04-01,74
2025-05-01,83
2025-06-01,77
2025-07-01,83
2025-08-01,83
