date,HP news
2020-08-02,35
2020-08-09,34
2020-08-16,39
2020-08-23,36
2020-08-30,33
2020-09-06,32
2020-09-13,33
2020-09-20,28
2020-09-27,28
2020-10-04,27
2020-10-11,26
2020-10-18,24
2020-10-25,27
2020-11-01,30
2020-11-08,29
2020-11-15,26
2020-11-22,36
2020-11-29,30
2020-12-06,26
2020-12-13,28
2020-12-20,27
2020-12-27,27
2021-01-03,29
2021-01-10,28
2021-01-17,27
2021-01-24,24
2021-01-31,25
2021-02-07,23
2021-02-14,24
2021-02-21,25
2021-02-28,24
2021-03-07,24
2021-03-14,26
2021-03-21,32
2021-03-28,27
2021-04-04,30
2021-04-11,34
2021-04-18,35
2021-04-25,33
2021-05-02,45
2021-05-09,35
2021-05-16,31
2021-05-23,32
2021-05-30,37
2021-06-06,34
2021-06-13,29
2021-06-20,28
2021-06-27,24
2021-07-04,29
2021-07-11,27
2021-07-18,29
2021-07-25,27
2021-08-01,26
2021-08-08,31
2021-08-15,30
2021-08-22,27
2021-08-29,27
2021-09-05,24
2021-09-12,26
2021-09-19,25
2021-09-26,20
2021-10-03,23
2021-10-10,18
2021-10-17,19
2021-10-24,19
2021-10-31,22
2021-11-07,25
2021-11-14,21
2021-11-21,23
2021-11-28,23
2021-12-05,21
2021-12-12,22
2021-12-19,24
2021-12-26,27
2022-01-02,33
2022-01-09,29
2022-01-16,25
2022-01-23,28
2022-01-30,31
2022-02-06,25
2022-02-13,25
2022-02-20,29
2022-02-27,29
2022-03-06,26
2022-03-13,22
2022-03-20,21
2022-03-27,23
2022-04-03,24
2022-04-10,22
2022-04-17,21
2022-04-24,21
2022-05-01,22
2022-05-08,22
2022-05-15,21
2022-05-22,23
2022-05-29,22
2022-06-05,22
2022-06-12,23
2022-06-19,23
2022-06-26,25
2022-07-03,25
2022-07-10,24
2022-07-17,24
2022-07-24,24
2022-07-31,25
2022-08-07,22
2022-08-14,27
2022-08-21,23
2022-08-28,23
2022-09-04,21
2022-09-11,23
2022-09-18,21
2022-09-25,22
2022-10-02,20
2022-10-09,23
2022-10-16,22
2022-10-23,19
2022-10-30,18
2022-11-06,20
2022-11-13,20
2022-11-20,20
2022-11-27,15
2022-12-04,35
2022-12-11,22
2022-12-18,21
2022-12-25,24
2023-01-01,23
2023-01-08,24
2023-01-15,21
2023-01-22,20
2023-01-29,21
2023-02-05,19
2023-02-12,19
2023-02-19,18
2023-02-26,20
2023-03-05,16
2023-03-12,19
2023-03-19,21
2023-03-26,21
2023-04-02,19
2023-04-09,18
2023-04-16,18
2023-04-23,18
2023-04-30,19
2023-05-07,18
2023-05-14,20
2023-05-21,19
2023-05-28,18
2023-06-04,18
2023-06-11,20
2023-06-18,19
2023-06-25,19
2023-07-02,19
2023-07-09,26
2023-07-16,20
2023-07-23,20
2023-07-30,18
2023-08-06,21
2023-08-13,29
2023-08-20,24
2023-08-27,20
2023-09-03,16
2023-09-10,17
2023-09-17,15
2023-09-24,16
2023-10-01,16
2023-10-08,17
2023-10-15,16
2023-10-22,15
2023-10-29,15
2023-11-05,15
2023-11-12,15
2023-11-19,15
2023-11-26,15
2023-12-03,15
2023-12-10,15
2023-12-17,17
2023-12-24,15
2023-12-31,19
2024-01-07,17
2024-01-14,15
2024-01-21,16
2024-01-28,15
2024-02-04,15
2024-02-11,15
2024-02-18,15
2024-02-25,26
2024-03-03,15
2024-03-10,17
2024-03-17,16
2024-03-24,13
2024-03-31,12
2024-04-07,12
2024-04-14,12
2024-04-21,13
2024-04-28,14
2024-05-05,13
2024-05-12,13
2024-05-19,13
2024-05-26,15
2024-06-02,21
2024-06-09,14
2024-06-16,14
2024-06-23,14
2024-06-30,15
2024-07-07,14
2024-07-14,16
2024-07-21,16
2024-07-28,15
2024-08-04,17
2024-08-11,16
2024-08-18,15
2024-08-25,14
2024-09-01,15
2024-09-08,14
2024-09-15,13
2024-09-22,13
2024-09-29,13
2024-10-06,13
2024-10-13,13
2024-10-20,12
2024-10-27,11
2024-11-03,14
2024-11-10,12
2024-11-17,12
2024-11-24,12
2024-12-01,12
2024-12-08,13
2024-12-15,11
2024-12-22,13
2024-12-29,12
2025-01-05,14
2025-01-12,12
2025-01-19,12
2025-01-26,13
2025-02-02,13
2025-02-09,12
2025-02-16,11
2025-02-23,14
2025-03-02,14
2025-03-09,14
2025-03-16,12
2025-03-23,12
2025-03-30,12
2025-04-06,12
2025-04-13,11
2025-04-20,12
2025-04-27,13
2025-05-04,18
2025-05-11,17
2025-05-18,13
2025-05-25,13
2025-06-01,14
2025-06-08,16
2025-06-15,19
2025-06-22,21
2025-06-29,19
2025-07-06,19
2025-07-13,36
2025-07-20,59
2025-07-27,100
