date,IWM
2020-08-02,21
2020-08-09,22
2020-08-16,21
2020-08-23,22
2020-08-30,20
2020-09-06,19
2020-09-13,17
2020-09-20,18
2020-09-27,17
2020-10-04,20
2020-10-11,16
2020-10-18,16
2020-10-25,17
2020-11-01,15
2020-11-08,21
2020-11-15,19
2020-11-22,18
2020-11-29,19
2020-12-06,20
2020-12-13,19
2020-12-20,16
2020-12-27,17
2021-01-03,21
2021-01-10,22
2021-01-17,20
2021-01-24,20
2021-01-31,21
2021-02-07,25
2021-02-14,21
2021-02-21,27
2021-02-28,22
2021-03-07,21
2021-03-14,23
2021-03-21,27
2021-03-28,20
2021-04-04,21
2021-04-11,22
2021-04-18,23
2021-04-25,19
2021-05-02,19
2021-05-09,21
2021-05-16,19
2021-05-23,18
2021-05-30,18
2021-06-06,21
2021-06-13,21
2021-06-20,21
2021-06-27,19
2021-07-04,20
2021-07-11,28
2021-07-18,34
2021-07-25,28
2021-08-01,23
2021-08-08,20
2021-08-15,28
2021-08-22,28
2021-08-29,23
2021-09-05,19
2021-09-12,23
2021-09-19,22
2021-09-26,22
2021-10-03,21
2021-10-10,19
2021-10-17,21
2021-10-24,19
2021-10-31,32
2021-11-07,24
2021-11-14,23
2021-11-21,24
2021-11-28,34
2021-12-05,27
2021-12-12,32
2021-12-19,26
2021-12-26,23
2022-01-02,25
2022-01-09,24
2022-01-16,28
2022-01-23,34
2022-01-30,28
2022-02-06,28
2022-02-13,27
2022-02-20,23
2022-02-27,24
2022-03-06,24
2022-03-13,22
2022-03-20,18
2022-03-27,22
2022-04-03,19
2022-04-10,18
2022-04-17,20
2022-04-24,20
2022-05-01,21
2022-05-08,22
2022-05-15,20
2022-05-22,19
2022-05-29,17
2022-06-05,20
2022-06-12,19
2022-06-19,17
2022-06-26,17
2022-07-03,14
2022-07-10,16
2022-07-17,17
2022-07-24,16
2022-07-31,15
2022-08-07,19
2022-08-14,17
2022-08-21,16
2022-08-28,15
2022-09-04,15
2022-09-11,16
2022-09-18,17
2022-09-25,19
2022-10-02,19
2022-10-09,17
2022-10-16,16
2022-10-23,19
2022-10-30,17
2022-11-06,16
2022-11-13,16
2022-11-20,12
2022-11-27,14
2022-12-04,15
2022-12-11,16
2022-12-18,15
2022-12-25,13
2023-01-01,14
2023-01-08,16
2023-01-15,15
2023-01-22,16
2023-01-29,18
2023-02-05,16
2023-02-12,17
2023-02-19,14
2023-02-26,14
2023-03-05,17
2023-03-12,19
2023-03-19,19
2023-03-26,18
2023-04-02,16
2023-04-09,16
2023-04-16,15
2023-04-23,16
2023-04-30,17
2023-05-07,16
2023-05-14,17
2023-05-21,20
2023-05-28,18
2023-06-04,32
2023-06-11,27
2023-06-18,21
2023-06-25,21
2023-07-02,19
2023-07-09,26
2023-07-16,21
2023-07-23,21
2023-07-30,21
2023-08-06,17
2023-08-13,18
2023-08-20,18
2023-08-27,17
2023-09-03,18
2023-09-10,17
2023-09-17,18
2023-09-24,20
2023-10-01,23
2023-10-08,20
2023-10-15,23
2023-10-22,24
2023-10-29,25
2023-11-05,27
2023-11-12,33
2023-11-19,23
2023-11-26,28
2023-12-03,32
2023-12-10,36
2023-12-17,39
2023-12-24,33
2023-12-31,31
2024-01-07,32
2024-01-14,28
2024-01-21,38
2024-01-28,36
2024-02-04,37
2024-02-11,49
2024-02-18,32
2024-02-25,39
2024-03-03,35
2024-03-10,30
2024-03-17,34
2024-03-24,36
2024-03-31,35
2024-04-07,32
2024-04-14,31
2024-04-21,28
2024-04-28,26
2024-05-05,26
2024-05-12,33
2024-05-19,30
2024-05-26,28
2024-06-02,30
2024-06-09,36
2024-06-16,29
2024-06-23,29
2024-06-30,24
2024-07-07,53
2024-07-14,100
2024-07-21,90
2024-07-28,88
2024-08-04,56
2024-08-11,48
2024-08-18,52
2024-08-25,47
2024-09-01,35
2024-09-08,42
2024-09-15,54
2024-09-22,41
2024-09-29,35
2024-10-06,34
2024-10-13,36
2024-10-20,33
2024-10-27,31
2024-11-03,51
2024-11-10,58
2024-11-17,43
2024-11-24,42
2024-12-01,39
2024-12-08,43
2024-12-15,48
2024-12-22,33
2024-12-29,35
2025-01-05,33
2025-01-12,35
2025-01-19,32
2025-01-26,32
2025-02-02,35
2025-02-09,30
2025-02-16,28
2025-02-23,31
2025-03-02,34
2025-03-09,33
2025-03-16,29
2025-03-23,28
2025-03-30,39
2025-04-06,45
2025-04-13,28
2025-04-20,28
2025-04-27,30
2025-05-04,29
2025-05-11,32
2025-05-18,28
2025-05-25,24
2025-06-01,32
2025-06-08,30
2025-06-15,24
2025-06-22,32
2025-06-29,29
2025-07-06,30
2025-07-13,32
2025-07-20,32
2025-07-27,36
