date,Jamie Dimon
2020-01-01,22
2020-02-01,12
2020-03-01,54
2020-04-01,26
2020-05-01,14
2020-06-01,18
2020-07-01,16
2020-08-01,13
2020-09-01,14
2020-10-01,12
2020-11-01,13
2020-12-01,15
2021-01-01,14
2021-02-01,10
2021-03-01,10
2021-04-01,31
2021-05-01,24
2021-06-01,14
2021-07-01,17
2021-08-01,11
2021-09-01,11
2021-10-01,22
2021-11-01,25
2021-12-01,11
2022-01-01,20
2022-02-01,19
2022-03-01,16
2022-04-01,29
2022-05-01,21
2022-06-01,62
2022-07-01,18
2022-08-01,25
2022-09-01,30
2022-10-01,31
2022-11-01,15
2022-12-01,19
2023-01-01,22
2023-02-01,15
2023-03-01,29
2023-04-01,43
2023-05-01,38
2023-06-01,31
2023-07-01,26
2023-08-01,20
2023-09-01,26
2023-10-01,63
2023-11-01,22
2023-12-01,27
2024-01-01,65
2024-02-01,29
2024-03-01,25
2024-04-01,73
2024-05-01,40
2024-06-01,26
2024-07-01,39
2024-08-01,30
2024-09-01,33
2024-10-01,41
2024-11-01,50
2024-12-01,20
2025-01-01,52
2025-02-01,100
2025-03-01,50
2025-04-01,65
2025-05-01,38
2025-06-01,49
2025-07-01,43
2025-08-01,39
