date,Kim Kardashian
2020-01-01,54
2020-02-01,50
2020-03-01,49
2020-04-01,62
2020-05-01,53
2020-06-01,60
2020-07-01,89
2020-08-01,49
2020-09-01,51
2020-10-01,62
2020-11-01,45
2020-12-01,48
2021-01-01,87
2021-02-01,76
2021-03-01,54
2021-04-01,57
2021-05-01,49
2021-06-01,60
2021-07-01,46
2021-08-01,47
2021-09-01,73
2021-10-01,60
2021-11-01,89
2021-12-01,64
2022-01-01,68
2022-02-01,73
2022-03-01,73
2022-04-01,86
2022-05-01,100
2022-06-01,74
2022-07-01,57
2022-08-01,66
2022-09-01,58
2022-10-01,56
2022-11-01,49
2022-12-01,45
2023-01-01,38
2023-02-01,32
2023-03-01,33
2023-04-01,34
2023-05-01,39
2023-06-01,39
2023-07-01,49
2023-08-01,32
2023-09-01,38
2023-10-01,45
2023-11-01,39
2023-12-01,36
2024-01-01,31
2024-02-01,32
2024-03-01,30
2024-04-01,36
2024-05-01,44
2024-06-01,32
2024-07-01,47
2024-08-01,29
2024-09-01,27
2024-10-01,28
2024-11-01,25
2024-12-01,27
2025-01-01,27
2025-02-01,37
2025-03-01,25
2025-04-01,22
2025-05-01,28
2025-06-01,21
2025-07-01,20
2025-08-01,19
