date,Lisa Su
2020-08-02,25
2020-08-09,23
2020-08-16,22
2020-08-23,18
2020-08-30,29
2020-09-06,27
2020-09-13,27
2020-09-20,21
2020-09-27,24
2020-10-04,57
2020-10-11,32
2020-10-18,23
2020-10-25,82
2020-11-01,43
2020-11-08,28
2020-11-15,27
2020-11-22,24
2020-11-29,23
2020-12-06,23
2020-12-13,22
2020-12-20,20
2020-12-27,18
2021-01-03,19
2021-01-10,36
2021-01-17,26
2021-01-24,23
2021-01-31,23
2021-02-07,20
2021-02-14,20
2021-02-21,20
2021-02-28,19
2021-03-07,20
2021-03-14,22
2021-03-21,22
2021-03-28,17
2021-04-04,16
2021-04-11,21
2021-04-18,22
2021-04-25,27
2021-05-02,18
2021-05-09,19
2021-05-16,24
2021-05-23,23
2021-05-30,33
2021-06-06,21
2021-06-13,22
2021-06-20,22
2021-06-27,21
2021-07-04,17
2021-07-11,16
2021-07-18,14
2021-07-25,24
2021-08-01,19
2021-08-08,18
2021-08-15,17
2021-08-22,17
2021-08-29,17
2021-09-05,19
2021-09-12,20
2021-09-19,20
2021-09-26,27
2021-10-03,21
2021-10-10,23
2021-10-17,21
2021-10-24,25
2021-10-31,22
2021-11-07,28
2021-11-14,20
2021-11-21,20
2021-11-28,18
2021-12-05,19
2021-12-12,19
2021-12-19,14
2021-12-26,16
2022-01-02,25
2022-01-09,18
2022-01-16,20
2022-01-23,22
2022-01-30,31
2022-02-06,24
2022-02-13,33
2022-02-20,21
2022-02-27,18
2022-03-06,21
2022-03-13,20
2022-03-20,22
2022-03-27,22
2022-04-03,25
2022-04-10,18
2022-04-17,19
2022-04-24,18
2022-05-01,25
2022-05-08,18
2022-05-15,24
2022-05-22,25
2022-05-29,20
2022-06-05,22
2022-06-12,19
2022-06-19,20
2022-06-26,22
2022-07-03,18
2022-07-10,18
2022-07-17,16
2022-07-24,19
2022-07-31,25
2022-08-07,19
2022-08-14,17
2022-08-21,18
2022-08-28,25
2022-09-04,19
2022-09-11,20
2022-09-18,23
2022-09-25,24
2022-10-02,20
2022-10-09,18
2022-10-16,16
2022-10-23,22
2022-10-30,26
2022-11-06,19
2022-11-13,21
2022-11-20,19
2022-11-27,16
2022-12-04,16
2022-12-11,14
2022-12-18,13
2022-12-25,14
2023-01-01,18
2023-01-08,35
2023-01-15,20
2023-01-22,20
2023-01-29,24
2023-02-05,18
2023-02-12,17
2023-02-19,16
2023-02-26,17
2023-03-05,15
2023-03-12,15
2023-03-19,18
2023-03-26,18
2023-04-02,15
2023-04-09,17
2023-04-16,17
2023-04-23,20
2023-04-30,20
2023-05-07,20
2023-05-14,21
2023-05-21,24
2023-05-28,33
2023-06-04,30
2023-06-11,30
2023-06-18,23
2023-06-25,20
2023-07-02,18
2023-07-09,20
2023-07-16,25
2023-07-23,17
2023-07-30,19
2023-08-06,17
2023-08-13,15
2023-08-20,16
2023-08-27,16
2023-09-03,16
2023-09-10,14
2023-09-17,14
2023-09-24,19
2023-10-01,22
2023-10-08,16
2023-10-15,18
2023-10-22,16
2023-10-29,20
2023-11-05,22
2023-11-12,16
2023-11-19,15
2023-11-26,15
2023-12-03,23
2023-12-10,18
2023-12-17,13
2023-12-24,11
2023-12-31,15
2024-01-07,17
2024-01-14,18
2024-01-21,19
2024-01-28,26
2024-02-04,23
2024-02-11,23
2024-02-18,28
2024-02-25,24
2024-03-03,33
2024-03-10,29
2024-03-17,43
2024-03-24,28
2024-03-31,74
2024-04-07,63
2024-04-14,32
2024-04-21,30
2024-04-28,28
2024-05-05,24
2024-05-12,20
2024-05-19,27
2024-05-26,33
2024-06-02,78
2024-06-09,41
2024-06-16,30
2024-06-23,26
2024-06-30,21
2024-07-07,24
2024-07-14,23
2024-07-21,23
2024-07-28,27
2024-08-04,25
2024-08-11,32
2024-08-18,29
2024-08-25,27
2024-09-01,27
2024-09-08,21
2024-09-15,23
2024-09-22,22
2024-09-29,23
2024-10-06,45
2024-10-13,30
2024-10-20,37
2024-10-27,42
2024-11-03,36
2024-11-10,30
2024-11-17,32
2024-11-24,31
2024-12-01,36
2024-12-08,100
2024-12-15,78
2024-12-22,38
2024-12-29,31
2025-01-05,53
2025-01-12,34
2025-01-19,27
2025-01-26,32
2025-02-02,36
2025-02-09,25
2025-02-16,27
2025-02-23,34
2025-03-02,43
2025-03-09,35
2025-03-16,46
2025-03-23,35
2025-03-30,35
2025-04-06,24
2025-04-13,26
2025-04-20,34
2025-04-27,28
2025-05-04,39
2025-05-11,41
2025-05-18,29
2025-05-25,27
2025-06-01,25
2025-06-08,26
2025-06-15,31
2025-06-22,27
2025-06-29,21
2025-07-06,24
2025-07-13,28
2025-07-20,33
2025-07-27,37
