date,Lululemon
2020-08-02,23
2020-08-09,24
2020-08-16,23
2020-08-23,21
2020-08-30,21
2020-09-06,23
2020-09-13,22
2020-09-20,22
2020-09-27,20
2020-10-04,20
2020-10-11,18
2020-10-18,20
2020-10-25,18
2020-11-01,18
2020-11-08,22
2020-11-15,26
2020-11-22,47
2020-11-29,35
2020-12-06,31
2020-12-13,27
2020-12-20,34
2020-12-27,36
2021-01-03,24
2021-01-10,22
2021-01-17,21
2021-01-24,21
2021-01-31,20
2021-02-07,19
2021-02-14,18
2021-02-21,18
2021-02-28,19
2021-03-07,19
2021-03-14,18
2021-03-21,19
2021-03-28,21
2021-04-04,21
2021-04-11,20
2021-04-18,20
2021-04-25,20
2021-05-02,21
2021-05-09,20
2021-05-16,20
2021-05-23,20
2021-05-30,21
2021-06-06,21
2021-06-13,21
2021-06-20,21
2021-06-27,22
2021-07-04,21
2021-07-11,23
2021-07-18,24
2021-07-25,23
2021-08-01,21
2021-08-08,22
2021-08-15,21
2021-08-22,22
2021-08-29,19
2021-09-05,22
2021-09-12,23
2021-09-19,23
2021-09-26,22
2021-10-03,23
2021-10-10,26
2021-10-17,26
2021-10-24,24
2021-10-31,26
2021-11-07,29
2021-11-14,31
2021-11-21,56
2021-11-28,39
2021-12-05,34
2021-12-12,35
2021-12-19,38
2021-12-26,51
2022-01-02,33
2022-01-09,30
2022-01-16,27
2022-01-23,26
2022-01-30,30
2022-02-06,29
2022-02-13,26
2022-02-20,26
2022-02-27,26
2022-03-06,27
2022-03-13,27
2022-03-20,29
2022-03-27,27
2022-04-03,26
2022-04-10,29
2022-04-17,28
2022-04-24,27
2022-05-01,29
2022-05-08,30
2022-05-15,28
2022-05-22,28
2022-05-29,30
2022-06-05,30
2022-06-12,33
2022-06-19,32
2022-06-26,31
2022-07-03,32
2022-07-10,33
2022-07-17,34
2022-07-24,35
2022-07-31,36
2022-08-07,38
2022-08-14,38
2022-08-21,34
2022-08-28,32
2022-09-04,31
2022-09-11,32
2022-09-18,32
2022-09-25,33
2022-10-02,31
2022-10-09,33
2022-10-16,31
2022-10-23,31
2022-10-30,33
2022-11-06,39
2022-11-13,43
2022-11-20,67
2022-11-27,50
2022-12-04,46
2022-12-11,46
2022-12-18,44
2022-12-25,69
2023-01-01,43
2023-01-08,40
2023-01-15,38
2023-01-22,35
2023-01-29,34
2023-02-05,34
2023-02-12,33
2023-02-19,33
2023-02-26,32
2023-03-05,35
2023-03-12,32
2023-03-19,32
2023-03-26,33
2023-04-02,34
2023-04-09,35
2023-04-16,33
2023-04-23,33
2023-04-30,33
2023-05-07,33
2023-05-14,33
2023-05-21,34
2023-05-28,42
2023-06-04,37
2023-06-11,37
2023-06-18,34
2023-06-25,33
2023-07-02,36
2023-07-09,37
2023-07-16,38
2023-07-23,40
2023-07-30,38
2023-08-06,37
2023-08-13,39
2023-08-20,38
2023-08-27,36
2023-09-03,38
2023-09-10,33
2023-09-17,34
2023-09-24,36
2023-10-01,36
2023-10-08,36
2023-10-15,40
2023-10-22,36
2023-10-29,36
2023-11-05,43
2023-11-12,48
2023-11-19,87
2023-11-26,59
2023-12-03,53
2023-12-10,52
2023-12-17,52
2023-12-24,72
2023-12-31,51
2024-01-07,40
2024-01-14,43
2024-01-21,39
2024-01-28,41
2024-02-04,38
2024-02-11,35
2024-02-18,38
2024-02-25,37
2024-03-03,39
2024-03-10,38
2024-03-17,38
2024-03-24,40
2024-03-31,38
2024-04-07,38
2024-04-14,40
2024-04-21,39
2024-04-28,38
2024-05-05,37
2024-05-12,37
2024-05-19,38
2024-05-26,40
2024-06-02,41
2024-06-09,40
2024-06-16,40
2024-06-23,38
2024-06-30,38
2024-07-07,39
2024-07-14,40
2024-07-21,42
2024-07-28,44
2024-08-04,39
2024-08-11,43
2024-08-18,43
2024-08-25,40
2024-09-01,39
2024-09-08,38
2024-09-15,37
2024-09-22,36
2024-09-29,37
2024-10-06,39
2024-10-13,40
2024-10-20,39
2024-10-27,41
2024-11-03,44
2024-11-10,56
2024-11-17,62
2024-11-24,100
2024-12-01,71
2024-12-08,65
2024-12-15,62
2024-12-22,92
2024-12-29,69
2025-01-05,52
2025-01-12,51
2025-01-19,47
2025-01-26,42
2025-02-02,42
2025-02-09,39
2025-02-16,43
2025-02-23,44
2025-03-02,43
2025-03-09,44
2025-03-16,47
2025-03-23,45
2025-03-30,48
2025-04-06,48
2025-04-13,50
2025-04-20,48
2025-04-27,46
2025-05-04,43
2025-05-11,48
2025-05-18,44
2025-05-25,44
2025-06-01,52
2025-06-08,52
2025-06-15,50
2025-06-22,50
2025-06-29,58
2025-07-06,55
2025-07-13,58
2025-07-20,58
2025-07-27,56
