date,Nest Thermostat review
2020-08-02,35
2020-08-09,42
2020-08-16,60
2020-08-23,33
2020-08-30,52
2020-09-06,36
2020-09-13,39
2020-09-20,61
2020-09-27,64
2020-10-04,45
2020-10-11,78
2020-10-18,45
2020-10-25,30
2020-11-01,77
2020-11-08,62
2020-11-15,61
2020-11-22,100
2020-11-29,55
2020-12-06,53
2020-12-13,53
2020-12-20,41
2020-12-27,42
2021-01-03,28
2021-01-10,29
2021-01-17,23
2021-01-24,33
2021-01-31,34
2021-02-07,32
2021-02-14,34
2021-02-21,29
2021-02-28,25
2021-03-07,33
2021-03-14,28
2021-03-21,43
2021-03-28,0
2021-04-04,29
2021-04-11,40
2021-04-18,42
2021-04-25,22
2021-05-02,37
2021-05-09,0
2021-05-16,21
2021-05-23,34
2021-05-30,31
2021-06-06,30
2021-06-13,22
2021-06-20,31
2021-06-27,43
2021-07-04,31
2021-07-11,0
2021-07-18,0
2021-07-25,30
2021-08-01,38
2021-08-08,31
2021-08-15,23
2021-08-22,0
2021-08-29,29
2021-09-05,23
2021-09-12,0
2021-09-19,27
2021-09-26,44
2021-10-03,47
2021-10-10,31
2021-10-17,0
2021-10-24,26
2021-10-31,49
2021-11-07,37
2021-11-14,43
2021-11-21,82
2021-11-28,57
2021-12-05,36
2021-12-12,25
2021-12-19,56
2021-12-26,38
2022-01-02,43
2022-01-09,29
2022-01-16,40
2022-01-23,37
2022-01-30,35
2022-02-06,0
2022-02-13,0
2022-02-20,24
2022-02-27,36
2022-03-06,22
2022-03-13,25
2022-03-20,0
2022-03-27,22
2022-04-03,40
2022-04-10,42
2022-04-17,47
2022-04-24,24
2022-05-01,21
2022-05-08,16
2022-05-15,0
2022-05-22,28
2022-05-29,0
2022-06-05,27
2022-06-12,29
2022-06-19,27
2022-06-26,24
2022-07-03,45
2022-07-10,43
2022-07-17,35
2022-07-24,21
2022-07-31,29
2022-08-07,26
2022-08-14,39
2022-08-21,25
2022-08-28,34
2022-09-04,38
2022-09-11,33
2022-09-18,26
2022-09-25,26
2022-10-02,34
2022-10-09,32
2022-10-16,40
2022-10-23,33
2022-10-30,23
2022-11-06,43
2022-11-13,55
2022-11-20,64
2022-11-27,46
2022-12-04,28
2022-12-11,28
2022-12-18,31
2022-12-25,49
2023-01-01,27
2023-01-08,17
2023-01-15,40
2023-01-22,41
2023-01-29,30
2023-02-05,23
2023-02-12,30
2023-02-19,21
2023-02-26,23
2023-03-05,26
2023-03-12,0
2023-03-19,18
2023-03-26,0
2023-04-02,0
2023-04-09,30
2023-04-16,33
2023-04-23,21
2023-04-30,22
2023-05-07,0
2023-05-14,28
2023-05-21,0
2023-05-28,0
2023-06-04,21
2023-06-11,0
2023-06-18,0
2023-06-25,20
2023-07-02,17
2023-07-09,43
2023-07-16,23
2023-07-23,22
2023-07-30,20
2023-08-06,19
2023-08-13,0
2023-08-20,0
2023-08-27,19
2023-09-03,0
2023-09-10,0
2023-09-17,20
2023-09-24,21
2023-10-01,21
2023-10-08,46
2023-10-15,0
2023-10-22,0
2023-10-29,30
2023-11-05,33
2023-11-12,30
2023-11-19,34
2023-11-26,47
2023-12-03,28
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,23
2024-01-07,36
2024-01-14,33
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,36
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,20
2024-05-05,24
2024-05-12,0
2024-05-19,0
2024-05-26,22
2024-06-02,19
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,21
2024-07-14,26
2024-07-21,28
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,36
2024-08-25,31
2024-09-01,0
2024-09-08,0
2024-09-15,20
2024-09-22,0
2024-09-29,24
2024-10-06,37
2024-10-13,28
2024-10-20,24
2024-10-27,21
2024-11-03,0
2024-11-10,0
2024-11-17,49
2024-11-24,39
2024-12-01,49
2024-12-08,30
2024-12-15,32
2024-12-22,41
2024-12-29,25
2025-01-05,28
2025-01-12,22
2025-01-19,29
2025-01-26,0
2025-02-02,34
2025-02-09,0
2025-02-16,25
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,24
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,30
2025-06-15,30
2025-06-22,26
2025-06-29,24
2025-07-06,41
2025-07-13,48
2025-07-20,58
2025-07-27,80
