date,Nike stock price
2020-08-02,17
2020-08-09,20
2020-08-16,19
2020-08-23,17
2020-08-30,21
2020-09-06,18
2020-09-13,18
2020-09-20,39
2020-09-27,22
2020-10-04,19
2020-10-11,16
2020-10-18,15
2020-10-25,15
2020-11-01,13
2020-11-08,16
2020-11-15,17
2020-11-22,15
2020-11-29,17
2020-12-06,17
2020-12-13,24
2020-12-20,22
2020-12-27,18
2021-01-03,18
2021-01-10,18
2021-01-17,16
2021-01-24,24
2021-01-31,23
2021-02-07,20
2021-02-14,14
2021-02-21,17
2021-02-28,19
2021-03-07,17
2021-03-14,20
2021-03-21,27
2021-03-28,23
2021-04-04,20
2021-04-11,18
2021-04-18,19
2021-04-25,16
2021-05-02,15
2021-05-09,17
2021-05-16,14
2021-05-23,13
2021-05-30,13
2021-06-06,12
2021-06-13,13
2021-06-20,29
2021-06-27,24
2021-07-04,15
2021-07-11,15
2021-07-18,15
2021-07-25,13
2021-08-01,16
2021-08-08,15
2021-08-15,13
2021-08-22,12
2021-08-29,13
2021-09-05,11
2021-09-12,13
2021-09-19,23
2021-09-26,17
2021-10-03,16
2021-10-10,14
2021-10-17,18
2021-10-24,17
2021-10-31,23
2021-11-07,20
2021-11-14,19
2021-11-21,16
2021-11-28,18
2021-12-05,20
2021-12-12,16
2021-12-19,20
2021-12-26,14
2022-01-02,15
2022-01-09,16
2022-01-16,14
2022-01-23,18
2022-01-30,15
2022-02-06,15
2022-02-13,17
2022-02-20,16
2022-02-27,17
2022-03-06,16
2022-03-13,18
2022-03-20,25
2022-03-27,21
2022-04-03,16
2022-04-10,23
2022-04-17,16
2022-04-24,20
2022-05-01,21
2022-05-08,21
2022-05-15,19
2022-05-22,15
2022-05-29,12
2022-06-05,14
2022-06-12,15
2022-06-19,14
2022-06-26,22
2022-07-03,13
2022-07-10,12
2022-07-17,13
2022-07-24,13
2022-07-31,13
2022-08-07,13
2022-08-14,13
2022-08-21,12
2022-08-28,13
2022-09-04,12
2022-09-11,12
2022-09-18,16
2022-09-25,25
2022-10-02,21
2022-10-09,18
2022-10-16,16
2022-10-23,17
2022-10-30,17
2022-11-06,16
2022-11-13,20
2022-11-20,11
2022-11-27,16
2022-12-04,15
2022-12-11,15
2022-12-18,23
2022-12-25,11
2023-01-01,13
2023-01-08,17
2023-01-15,16
2023-01-22,17
2023-01-29,17
2023-02-05,14
2023-02-12,14
2023-02-19,11
2023-02-26,14
2023-03-05,14
2023-03-12,14
2023-03-19,20
2023-03-26,15
2023-04-02,17
2023-04-09,24
2023-04-16,17
2023-04-23,16
2023-04-30,15
2023-05-07,13
2023-05-14,16
2023-05-21,17
2023-05-28,17
2023-06-04,15
2023-06-11,14
2023-06-18,13
2023-06-25,18
2023-07-02,13
2023-07-09,13
2023-07-16,12
2023-07-23,12
2023-07-30,11
2023-08-06,12
2023-08-13,11
2023-08-20,14
2023-08-27,14
2023-09-03,12
2023-09-10,13
2023-09-17,13
2023-09-24,20
2023-10-01,21
2023-10-08,13
2023-10-15,15
2023-10-22,16
2023-10-29,15
2023-11-05,15
2023-11-12,15
2023-11-19,11
2023-11-26,14
2023-12-03,16
2023-12-10,19
2023-12-17,26
2023-12-24,17
2023-12-31,14
2024-01-07,18
2024-01-14,15
2024-01-21,16
2024-01-28,18
2024-02-04,17
2024-02-11,16
2024-02-18,16
2024-02-25,17
2024-03-03,17
2024-03-10,17
2024-03-17,26
2024-03-24,21
2024-03-31,19
2024-04-07,22
2024-04-14,22
2024-04-21,19
2024-04-28,21
2024-05-05,16
2024-05-12,14
2024-05-19,14
2024-05-26,12
2024-06-02,14
2024-06-09,12
2024-06-16,12
2024-06-23,36
2024-06-30,37
2024-07-07,38
2024-07-14,31
2024-07-21,28
2024-07-28,26
2024-08-04,28
2024-08-11,29
2024-08-18,24
2024-08-25,24
2024-09-01,19
2024-09-08,22
2024-09-15,33
2024-09-22,28
2024-09-29,31
2024-10-06,24
2024-10-13,23
2024-10-20,20
2024-10-27,23
2024-11-03,25
2024-11-10,28
2024-11-17,30
2024-11-24,23
2024-12-01,28
2024-12-08,27
2024-12-15,40
2024-12-22,26
2024-12-29,23
2025-01-05,28
2025-01-12,29
2025-01-19,29
2025-01-26,34
2025-02-02,32
2025-02-09,30
2025-02-16,28
2025-02-23,36
2025-03-02,30
2025-03-09,28
2025-03-16,40
2025-03-23,34
2025-03-30,100
2025-04-06,90
2025-04-13,40
2025-04-20,35
2025-04-27,31
2025-05-04,30
2025-05-11,39
2025-05-18,30
2025-05-25,25
2025-06-01,30
2025-06-08,28
2025-06-15,22
2025-06-22,45
2025-06-29,38
2025-07-06,32
2025-07-13,35
2025-07-20,45
2025-07-27,80
