date,PHO
2020-08-02,64
2020-08-09,61
2020-08-16,65
2020-08-23,62
2020-08-30,65
2020-09-06,66
2020-09-13,63
2020-09-20,64
2020-09-27,63
2020-10-04,64
2020-10-11,66
2020-10-18,64
2020-10-25,68
2020-11-01,64
2020-11-08,72
2020-11-15,64
2020-11-22,64
2020-11-29,67
2020-12-06,69
2020-12-13,69
2020-12-20,66
2020-12-27,82
2021-01-03,71
2021-01-10,66
2021-01-17,65
2021-01-24,67
2021-01-31,62
2021-02-07,62
2021-02-14,67
2021-02-21,61
2021-02-28,61
2021-03-07,62
2021-03-14,65
2021-03-21,64
2021-03-28,67
2021-04-04,65
2021-04-11,64
2021-04-18,65
2021-04-25,61
2021-05-02,61
2021-05-09,66
2021-05-16,63
2021-05-23,62
2021-05-30,64
2021-06-06,60
2021-06-13,63
2021-06-20,66
2021-06-27,67
2021-07-04,66
2021-07-11,70
2021-07-18,71
2021-07-25,69
2021-08-01,67
2021-08-08,66
2021-08-15,70
2021-08-22,74
2021-08-29,69
2021-09-05,65
2021-09-12,67
2021-09-19,70
2021-09-26,72
2021-10-03,71
2021-10-10,76
2021-10-17,76
2021-10-24,76
2021-10-31,84
2021-11-07,83
2021-11-14,78
2021-11-21,74
2021-11-28,75
2021-12-05,78
2021-12-12,93
2021-12-19,90
2021-12-26,100
2022-01-02,88
2022-01-09,72
2022-01-16,66
2022-01-23,66
2022-01-30,65
2022-02-06,68
2022-02-13,68
2022-02-20,67
2022-02-27,65
2022-03-06,65
2022-03-13,60
2022-03-20,64
2022-03-27,66
2022-04-03,64
2022-04-10,64
2022-04-17,62
2022-04-24,62
2022-05-01,63
2022-05-08,60
2022-05-15,61
2022-05-22,61
2022-05-29,62
2022-06-05,60
2022-06-12,60
2022-06-19,60
2022-06-26,60
2022-07-03,63
2022-07-10,62
2022-07-17,61
2022-07-24,63
2022-07-31,66
2022-08-07,62
2022-08-14,62
2022-08-21,62
2022-08-28,61
2022-09-04,66
2022-09-11,62
2022-09-18,64
2022-09-25,63
2022-10-02,65
2022-10-09,65
2022-10-16,63
2022-10-23,72
2022-10-30,70
2022-11-06,72
2022-11-13,72
2022-11-20,66
2022-11-27,66
2022-12-04,66
2022-12-11,72
2022-12-18,71
2022-12-25,83
2023-01-01,87
2023-01-08,66
2023-01-15,67
2023-01-22,64
2023-01-29,68
2023-02-05,65
2023-02-12,67
2023-02-19,68
2023-02-26,67
2023-03-05,64
2023-03-12,62
2023-03-19,65
2023-03-26,62
2023-04-02,64
2023-04-09,63
2023-04-16,63
2023-04-23,61
2023-04-30,60
2023-05-07,58
2023-05-14,57
2023-05-21,58
2023-05-28,60
2023-06-04,58
2023-06-11,62
2023-06-18,60
2023-06-25,62
2023-07-02,65
2023-07-09,60
2023-07-16,62
2023-07-23,61
2023-07-30,61
2023-08-06,63
2023-08-13,64
2023-08-20,66
2023-08-27,62
2023-09-03,62
2023-09-10,57
2023-09-17,62
2023-09-24,67
2023-10-01,65
2023-10-08,64
2023-10-15,65
2023-10-22,67
2023-10-29,68
2023-11-05,68
2023-11-12,68
2023-11-19,65
2023-11-26,71
2023-12-03,70
2023-12-10,69
2023-12-17,75
2023-12-24,78
2023-12-31,82
2024-01-07,70
2024-01-14,73
2024-01-21,72
2024-01-28,72
2024-02-04,70
2024-02-11,70
2024-02-18,74
2024-02-25,73
2024-03-03,71
2024-03-10,67
2024-03-17,70
2024-03-24,72
2024-03-31,70
2024-04-07,66
2024-04-14,66
2024-04-21,66
2024-04-28,66
2024-05-05,64
2024-05-12,63
2024-05-19,63
2024-05-26,66
2024-06-02,65
2024-06-09,66
2024-06-16,71
2024-06-23,66
2024-06-30,63
2024-07-07,66
2024-07-14,70
2024-07-21,69
2024-07-28,67
2024-08-04,69
2024-08-11,71
2024-08-18,72
2024-08-25,69
2024-09-01,70
2024-09-08,68
2024-09-15,68
2024-09-22,69
2024-09-29,68
2024-10-06,71
2024-10-13,72
2024-10-20,78
2024-10-27,81
2024-11-03,76
2024-11-10,81
2024-11-17,81
2024-11-24,75
2024-12-01,80
2024-12-08,80
2024-12-15,79
2024-12-22,90
2024-12-29,100
2025-01-05,86
2025-01-12,80
2025-01-19,80
2025-01-26,75
2025-02-02,75
2025-02-09,75
2025-02-16,78
2025-02-23,72
2025-03-02,73
2025-03-09,69
2025-03-16,70
2025-03-23,72
2025-03-30,75
2025-04-06,71
2025-04-13,70
2025-04-20,69
2025-04-27,68
2025-05-04,68
2025-05-11,70
2025-05-18,69
2025-05-25,81
2025-06-01,69
2025-06-08,70
2025-06-15,66
2025-06-22,67
2025-06-29,66
2025-07-06,71
2025-07-13,70
2025-07-20,68
2025-07-27,73
