date,PayPal news
2020-08-02,37
2020-08-09,30
2020-08-16,29
2020-08-23,30
2020-08-30,32
2020-09-06,29
2020-09-13,31
2020-09-20,29
2020-09-27,31
2020-10-04,33
2020-10-11,35
2020-10-18,42
2020-10-25,33
2020-11-01,44
2020-11-08,31
2020-11-15,30
2020-11-22,31
2020-11-29,31
2020-12-06,28
2020-12-13,31
2020-12-20,29
2020-12-27,35
2021-01-03,41
2021-01-10,37
2021-01-17,33
2021-01-24,32
2021-01-31,31
2021-02-07,32
2021-02-14,30
2021-02-21,28
2021-02-28,27
2021-03-07,27
2021-03-14,22
2021-03-21,25
2021-03-28,25
2021-04-04,24
2021-04-11,23
2021-04-18,21
2021-04-25,24
2021-05-02,27
2021-05-09,24
2021-05-16,20
2021-05-23,22
2021-05-30,18
2021-06-06,18
2021-06-13,19
2021-06-20,21
2021-06-27,19
2021-07-04,16
2021-07-11,17
2021-07-18,20
2021-07-25,23
2021-08-01,18
2021-08-08,18
2021-08-15,19
2021-08-22,20
2021-08-29,21
2021-09-05,16
2021-09-12,16
2021-09-19,17
2021-09-26,17
2021-10-03,17
2021-10-10,17
2021-10-17,23
2021-10-24,22
2021-10-31,22
2021-11-07,31
2021-11-14,25
2021-11-21,22
2021-11-28,26
2021-12-05,21
2021-12-12,23
2021-12-19,21
2021-12-26,17
2022-01-02,25
2022-01-09,21
2022-01-16,20
2022-01-23,23
2022-01-30,48
2022-02-06,23
2022-02-13,24
2022-02-20,30
2022-02-27,32
2022-03-06,26
2022-03-13,22
2022-03-20,20
2022-03-27,20
2022-04-03,19
2022-04-10,19
2022-04-17,22
2022-04-24,22
2022-05-01,18
2022-05-08,21
2022-05-15,19
2022-05-22,19
2022-05-29,16
2022-06-05,19
2022-06-12,18
2022-06-19,17
2022-06-26,18
2022-07-03,18
2022-07-10,18
2022-07-17,18
2022-07-24,19
2022-07-31,24
2022-08-07,19
2022-08-14,19
2022-08-21,18
2022-08-28,17
2022-09-04,17
2022-09-11,16
2022-09-18,21
2022-09-25,17
2022-10-02,19
2022-10-09,100
2022-10-16,23
2022-10-23,21
2022-10-30,21
2022-11-06,19
2022-11-13,19
2022-11-20,15
2022-11-27,16
2022-12-04,18
2022-12-11,18
2022-12-18,15
2022-12-25,16
2023-01-01,16
2023-01-08,16
2023-01-15,16
2023-01-22,20
2023-01-29,21
2023-02-05,19
2023-02-12,17
2023-02-19,16
2023-02-26,17
2023-03-05,14
2023-03-12,15
2023-03-19,16
2023-03-26,16
2023-04-02,15
2023-04-09,14
2023-04-16,13
2023-04-23,13
2023-04-30,14
2023-05-07,23
2023-05-14,16
2023-05-21,18
2023-05-28,17
2023-06-04,18
2023-06-11,16
2023-06-18,18
2023-06-25,17
2023-07-02,18
2023-07-09,16
2023-07-16,15
2023-07-23,16
2023-07-30,22
2023-08-06,22
2023-08-13,21
2023-08-20,17
2023-08-27,17
2023-09-03,17
2023-09-10,15
2023-09-17,15
2023-09-24,14
2023-10-01,15
2023-10-08,17
2023-10-15,17
2023-10-22,18
2023-10-29,20
2023-11-05,16
2023-11-12,16
2023-11-19,15
2023-11-26,16
2023-12-03,16
2023-12-10,16
2023-12-17,15
2023-12-24,11
2023-12-31,16
2024-01-07,19
2024-01-14,20
2024-01-21,46
2024-01-28,23
2024-02-04,23
2024-02-11,15
2024-02-18,13
2024-02-25,13
2024-03-03,15
2024-03-10,16
2024-03-17,15
2024-03-24,14
2024-03-31,13
2024-04-07,12
2024-04-14,13
2024-04-21,11
2024-04-28,17
2024-05-05,12
2024-05-12,11
2024-05-19,12
2024-05-26,13
2024-06-02,13
2024-06-09,13
2024-06-16,14
2024-06-23,12
2024-06-30,13
2024-07-07,13
2024-07-14,14
2024-07-21,15
2024-07-28,17
2024-08-04,14
2024-08-11,13
2024-08-18,12
2024-08-25,12
2024-09-01,11
2024-09-08,11
2024-09-15,11
2024-09-22,14
2024-09-29,14
2024-10-06,11
2024-10-13,12
2024-10-20,11
2024-10-27,15
2024-11-03,12
2024-11-10,13
2024-11-17,16
2024-11-24,11
2024-12-01,14
2024-12-08,13
2024-12-15,11
2024-12-22,10
2024-12-29,13
2025-01-05,13
2025-01-12,12
2025-01-19,12
2025-01-26,13
2025-02-02,22
2025-02-09,13
2025-02-16,11
2025-02-23,12
2025-03-02,12
2025-03-09,13
2025-03-16,12
2025-03-23,10
2025-03-30,12
2025-04-06,12
2025-04-13,9
2025-04-20,11
2025-04-27,12
2025-05-04,12
2025-05-11,11
2025-05-18,10
2025-05-25,10
2025-06-01,13
2025-06-08,15
2025-06-15,14
2025-06-22,18
2025-06-29,15
2025-07-06,16
2025-07-13,26
2025-07-20,40
2025-07-27,83
