date,Peace talks conflict
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,19
2020-05-01,26
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,22
2020-10-01,0
2020-11-01,0
2020-12-01,19
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,23
2021-05-01,21
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,23
2021-12-01,0
2022-01-01,0
2022-02-01,52
2022-03-01,84
2022-04-01,57
2022-05-01,36
2022-06-01,30
2022-07-01,0
2022-08-01,22
2022-09-01,25
2022-10-01,34
2022-11-01,31
2022-12-01,30
2023-01-01,23
2023-02-01,31
2023-03-01,34
2023-04-01,41
2023-05-01,45
2023-06-01,24
2023-07-01,0
2023-08-01,0
2023-09-01,26
2023-10-01,30
2023-11-01,46
2023-12-01,31
2024-01-01,28
2024-02-01,28
2024-03-01,42
2024-04-01,48
2024-05-01,53
2024-06-01,25
2024-07-01,0
2024-08-01,0
2024-09-01,27
2024-10-01,41
2024-11-01,21
2024-12-01,0
2025-01-01,41
2025-02-01,49
2025-03-01,50
2025-04-01,66
2025-05-01,65
2025-06-01,61
2025-07-01,35
2025-08-01,100
