date,Peloton Bike price
2020-01-01,100
2020-02-01,47
2020-03-01,66
2020-04-01,58
2020-05-01,53
2020-06-01,35
2020-07-01,43
2020-08-01,48
2020-09-01,82
2020-10-01,73
2020-11-01,63
2020-12-01,64
2021-01-01,75
2021-02-01,53
2021-03-01,50
2021-04-01,35
2021-05-01,38
2021-06-01,25
2021-07-01,22
2021-08-01,42
2021-09-01,40
2021-10-01,35
2021-11-01,38
2021-12-01,43
2022-01-01,53
2022-02-01,32
2022-03-01,21
2022-04-01,20
2022-05-01,18
2022-06-01,11
2022-07-01,14
2022-08-01,13
2022-09-01,15
2022-10-01,13
2022-11-01,16
2022-12-01,16
2023-01-01,19
2023-02-01,14
2023-03-01,8
2023-04-01,10
2023-05-01,13
2023-06-01,8
2023-07-01,11
2023-08-01,7
2023-09-01,10
2023-10-01,9
2023-11-01,18
2023-12-01,13
2024-01-01,18
2024-02-01,12
2024-03-01,11
2024-04-01,9
2024-05-01,10
2024-06-01,9
2024-07-01,10
2024-08-01,11
2024-09-01,8
2024-10-01,8
2024-11-01,12
2024-12-01,11
2025-01-01,14
2025-02-01,11
2025-03-01,9
2025-04-01,8
2025-05-01,9
2025-06-01,9
2025-07-01,16
2025-08-01,61
