date,REGN
2020-08-02,35
2020-08-09,31
2020-08-16,41
2020-08-23,39
2020-08-30,36
2020-09-06,33
2020-09-13,27
2020-09-20,34
2020-09-27,55
2020-10-04,86
2020-10-11,38
2020-10-18,32
2020-10-25,32
2020-11-01,27
2020-11-08,26
2020-11-15,28
2020-11-22,35
2020-11-29,27
2020-12-06,27
2020-12-13,28
2020-12-20,21
2020-12-27,23
2021-01-03,26
2021-01-10,31
2021-01-17,28
2021-01-24,30
2021-01-31,30
2021-02-07,29
2021-02-14,27
2021-02-21,28
2021-02-28,25
2021-03-07,27
2021-03-14,24
2021-03-21,27
2021-03-28,25
2021-04-04,24
2021-04-11,27
2021-04-18,28
2021-04-25,23
2021-05-02,39
2021-05-09,42
2021-05-16,36
2021-05-23,43
2021-05-30,25
2021-06-06,37
2021-06-13,31
2021-06-20,33
2021-06-27,35
2021-07-04,46
2021-07-11,37
2021-07-18,29
2021-07-25,68
2021-08-01,39
2021-08-08,48
2021-08-15,71
2021-08-22,47
2021-08-29,31
2021-09-05,29
2021-09-12,34
2021-09-19,31
2021-09-26,38
2021-10-03,34
2021-10-10,24
2021-10-17,29
2021-10-24,28
2021-10-31,29
2021-11-07,28
2021-11-14,27
2021-11-21,21
2021-11-28,26
2021-12-05,23
2021-12-12,21
2021-12-19,18
2021-12-26,20
2022-01-02,24
2022-01-09,22
2022-01-16,18
2022-01-23,19
2022-01-30,22
2022-02-06,21
2022-02-13,23
2022-02-20,20
2022-02-27,17
2022-03-06,16
2022-03-13,25
2022-03-20,24
2022-03-27,22
2022-04-03,27
2022-04-10,20
2022-04-17,19
2022-04-24,24
2022-05-01,26
2022-05-08,31
2022-05-15,30
2022-05-22,37
2022-05-29,33
2022-06-05,31
2022-06-12,35
2022-06-19,26
2022-06-26,37
2022-07-03,33
2022-07-10,26
2022-07-17,29
2022-07-24,28
2022-07-31,40
2022-08-07,25
2022-08-14,43
2022-08-21,32
2022-08-28,30
2022-09-04,29
2022-09-11,35
2022-09-18,25
2022-09-25,33
2022-10-02,28
2022-10-09,24
2022-10-16,23
2022-10-23,22
2022-10-30,24
2022-11-06,24
2022-11-13,20
2022-11-20,19
2022-11-27,17
2022-12-04,17
2022-12-11,16
2022-12-18,19
2022-12-25,19
2023-01-01,27
2023-01-08,26
2023-01-15,20
2023-01-22,18
2023-01-29,24
2023-02-05,20
2023-02-12,19
2023-02-19,18
2023-02-26,16
2023-03-05,17
2023-03-12,20
2023-03-19,26
2023-03-26,21
2023-04-02,16
2023-04-09,22
2023-04-16,20
2023-04-23,25
2023-04-30,24
2023-05-07,21
2023-05-14,30
2023-05-21,29
2023-05-28,25
2023-06-04,26
2023-06-11,38
2023-06-18,39
2023-06-25,56
2023-07-02,46
2023-07-09,48
2023-07-16,44
2023-07-23,44
2023-07-30,61
2023-08-06,90
2023-08-13,42
2023-08-20,46
2023-08-27,40
2023-09-03,27
2023-09-10,26
2023-09-17,34
2023-09-24,27
2023-10-01,34
2023-10-08,26
2023-10-15,24
2023-10-22,25
2023-10-29,32
2023-11-05,25
2023-11-12,26
2023-11-19,23
2023-11-26,18
2023-12-03,18
2023-12-10,21
2023-12-17,18
2023-12-24,20
2023-12-31,24
2024-01-07,22
2024-01-14,23
2024-01-21,27
2024-01-28,26
2024-02-04,27
2024-02-11,24
2024-02-18,27
2024-02-25,29
2024-03-03,22
2024-03-10,25
2024-03-17,23
2024-03-24,30
2024-03-31,31
2024-04-07,31
2024-04-14,35
2024-04-21,36
2024-04-28,29
2024-05-05,30
2024-05-12,23
2024-05-19,32
2024-05-26,47
2024-06-02,52
2024-06-09,55
2024-06-16,42
2024-06-23,44
2024-06-30,59
2024-07-07,67
2024-07-14,51
2024-07-21,48
2024-07-28,30
2024-08-04,51
2024-08-11,38
2024-08-18,54
2024-08-25,37
2024-09-01,35
2024-09-08,70
2024-09-15,34
2024-09-22,63
2024-09-29,29
2024-10-06,53
2024-10-13,30
2024-10-20,33
2024-10-27,51
2024-11-03,31
2024-11-10,39
2024-11-17,28
2024-11-24,36
2024-12-01,26
2024-12-08,27
2024-12-15,26
2024-12-22,21
2024-12-29,31
2025-01-05,26
2025-01-12,28
2025-01-19,25
2025-01-26,26
2025-02-02,25
2025-02-09,21
2025-02-16,25
2025-02-23,27
2025-03-02,37
2025-03-09,28
2025-03-16,25
2025-03-23,27
2025-03-30,28
2025-04-06,27
2025-04-13,35
2025-04-20,30
2025-04-27,36
2025-05-04,30
2025-05-11,35
2025-05-18,46
2025-05-25,49
2025-06-01,56
2025-06-08,41
2025-06-15,36
2025-06-22,52
2025-06-29,53
2025-07-06,53
2025-07-13,87
2025-07-20,100
2025-07-27,95
