date,Ron DeSantis
2020-01-01,1
2020-02-01,1
2020-03-01,13
2020-04-01,21
2020-05-01,8
2020-06-01,9
2020-07-01,15
2020-08-01,4
2020-09-01,6
2020-10-01,4
2020-11-01,6
2020-12-01,5
2021-01-01,5
2021-02-01,13
2021-03-01,11
2021-04-01,14
2021-05-01,15
2021-06-01,14
2021-07-01,14
2021-08-01,34
2021-09-01,12
2021-10-01,11
2021-11-01,9
2021-12-01,12
2022-01-01,18
2022-02-01,8
2022-03-01,18
2022-04-01,23
2022-05-01,11
2022-06-01,19
2022-07-01,23
2022-08-01,27
2022-09-01,31
2022-10-01,28
2022-11-01,77
2022-12-01,15
2023-01-01,19
2023-02-01,36
2023-03-01,47
2023-04-01,55
2023-05-01,100
2023-06-01,47
2023-07-01,63
2023-08-01,38
2023-09-01,20
2023-10-01,24
2023-11-01,31
2023-12-01,23
2024-01-01,56
2024-02-01,9
2024-03-01,8
2024-04-01,6
2024-05-01,6
2024-06-01,7
2024-07-01,14
2024-08-01,5
2024-09-01,6
2024-10-01,12
2024-11-01,7
2024-12-01,7
2025-01-01,6
2025-02-01,8
2025-03-01,5
2025-04-01,7
2025-05-01,4
2025-06-01,5
2025-07-01,5
2025-08-01,4
