date,SHOP
2020-08-02,90
2020-08-09,87
2020-08-16,88
2020-08-23,88
2020-08-30,87
2020-09-06,84
2020-09-13,82
2020-09-20,83
2020-09-27,85
2020-10-04,86
2020-10-11,84
2020-10-18,84
2020-10-25,85
2020-11-01,81
2020-11-08,92
2020-11-15,89
2020-11-22,100
2020-11-29,93
2020-12-06,93
2020-12-13,94
2020-12-20,94
2020-12-27,92
2021-01-03,83
2021-01-10,84
2021-01-17,85
2021-01-24,81
2021-01-31,83
2021-02-07,80
2021-02-14,79
2021-02-21,79
2021-02-28,84
2021-03-07,89
2021-03-14,81
2021-03-21,84
2021-03-28,83
2021-04-04,85
2021-04-11,80
2021-04-18,82
2021-04-25,81
2021-05-02,83
2021-05-09,86
2021-05-16,80
2021-05-23,80
2021-05-30,81
2021-06-06,80
2021-06-13,80
2021-06-20,84
2021-06-27,80
2021-07-04,81
2021-07-11,79
2021-07-18,82
2021-07-25,82
2021-08-01,82
2021-08-08,82
2021-08-15,81
2021-08-22,79
2021-08-29,82
2021-09-05,82
2021-09-12,84
2021-09-19,80
2021-09-26,82
2021-10-03,82
2021-10-10,79
2021-10-17,85
2021-10-24,82
2021-10-31,91
2021-11-07,90
2021-11-14,89
2021-11-21,96
2021-11-28,88
2021-12-05,86
2021-12-12,92
2021-12-19,95
2021-12-26,86
2022-01-02,80
2022-01-09,75
2022-01-16,74
2022-01-23,74
2022-01-30,77
2022-02-06,79
2022-02-13,80
2022-02-20,73
2022-02-27,76
2022-03-06,75
2022-03-13,78
2022-03-20,78
2022-03-27,75
2022-04-03,78
2022-04-10,81
2022-04-17,79
2022-04-24,81
2022-05-01,83
2022-05-08,76
2022-05-15,72
2022-05-22,79
2022-05-29,77
2022-06-05,75
2022-06-12,74
2022-06-19,79
2022-06-26,78
2022-07-03,81
2022-07-10,79
2022-07-17,80
2022-07-24,78
2022-07-31,79
2022-08-07,81
2022-08-14,79
2022-08-21,78
2022-08-28,78
2022-09-04,77
2022-09-11,76
2022-09-18,80
2022-09-25,76
2022-10-02,77
2022-10-09,76
2022-10-16,76
2022-10-23,81
2022-10-30,79
2022-11-06,82
2022-11-13,79
2022-11-20,84
2022-11-27,79
2022-12-04,78
2022-12-11,86
2022-12-18,92
2022-12-25,89
2023-01-01,78
2023-01-08,79
2023-01-15,75
2023-01-22,75
2023-01-29,75
2023-02-05,72
2023-02-12,77
2023-02-19,73
2023-02-26,75
2023-03-05,74
2023-03-12,72
2023-03-19,75
2023-03-26,75
2023-04-02,77
2023-04-09,79
2023-04-16,69
2023-04-23,75
2023-04-30,77
2023-05-07,73
2023-05-14,71
2023-05-21,74
2023-05-28,75
2023-06-04,74
2023-06-11,74
2023-06-18,77
2023-06-25,79
2023-07-02,80
2023-07-09,76
2023-07-16,81
2023-07-23,78
2023-07-30,79
2023-08-06,78
2023-08-13,76
2023-08-20,75
2023-08-27,78
2023-09-03,75
2023-09-10,72
2023-09-17,73
2023-09-24,78
2023-10-01,78
2023-10-08,77
2023-10-15,77
2023-10-22,79
2023-10-29,78
2023-11-05,80
2023-11-12,84
2023-11-19,88
2023-11-26,87
2023-12-03,83
2023-12-10,85
2023-12-17,89
2023-12-24,90
2023-12-31,80
2024-01-07,71
2024-01-14,74
2024-01-21,77
2024-01-28,76
2024-02-04,79
2024-02-11,79
2024-02-18,69
2024-02-25,74
2024-03-03,74
2024-03-10,75
2024-03-17,76
2024-03-24,82
2024-03-31,74
2024-04-07,78
2024-04-14,73
2024-04-21,75
2024-04-28,77
2024-05-05,77
2024-05-12,77
2024-05-19,74
2024-05-26,73
2024-06-02,76
2024-06-09,76
2024-06-16,73
2024-06-23,69
2024-06-30,70
2024-07-07,78
2024-07-14,79
2024-07-21,73
2024-07-28,75
2024-08-04,75
2024-08-11,81
2024-08-18,78
2024-08-25,76
2024-09-01,77
2024-09-08,78
2024-09-15,74
2024-09-22,70
2024-09-29,75
2024-10-06,73
2024-10-13,76
2024-10-20,77
2024-10-27,77
2024-11-03,75
2024-11-10,77
2024-11-17,82
2024-11-24,88
2024-12-01,84
2024-12-08,92
2024-12-15,96
2024-12-22,96
2024-12-29,85
2025-01-05,73
2025-01-12,78
2025-01-19,73
2025-01-26,70
2025-02-02,73
2025-02-09,78
2025-02-16,70
2025-02-23,72
2025-03-02,70
2025-03-09,72
2025-03-16,78
2025-03-23,76
2025-03-30,73
2025-04-06,73
2025-04-13,71
2025-04-20,79
2025-04-27,73
2025-05-04,75
2025-05-11,74
2025-05-18,68
2025-05-25,74
2025-06-01,74
2025-06-08,74
2025-06-15,75
2025-06-22,76
2025-06-29,75
2025-07-06,81
2025-07-13,78
2025-07-20,84
2025-07-27,90
