date,SYK
2020-08-02,45
2020-08-09,47
2020-08-16,50
2020-08-23,53
2020-08-30,55
2020-09-06,55
2020-09-13,56
2020-09-20,52
2020-09-27,49
2020-10-04,51
2020-10-11,45
2020-10-18,47
2020-10-25,49
2020-11-01,48
2020-11-08,50
2020-11-15,51
2020-11-22,47
2020-11-29,44
2020-12-06,45
2020-12-13,45
2020-12-20,41
2020-12-27,38
2021-01-03,44
2021-01-10,49
2021-01-17,47
2021-01-24,49
2021-01-31,50
2021-02-07,51
2021-02-14,51
2021-02-21,43
2021-02-28,46
2021-03-07,52
2021-03-14,44
2021-03-21,45
2021-03-28,43
2021-04-04,46
2021-04-11,45
2021-04-18,43
2021-04-25,46
2021-05-02,48
2021-05-09,42
2021-05-16,45
2021-05-23,45
2021-05-30,41
2021-06-06,44
2021-06-13,47
2021-06-20,46
2021-06-27,48
2021-07-04,41
2021-07-11,41
2021-07-18,59
2021-07-25,49
2021-08-01,47
2021-08-08,51
2021-08-15,51
2021-08-22,65
2021-08-29,62
2021-09-05,59
2021-09-12,58
2021-09-19,53
2021-09-26,69
2021-10-03,53
2021-10-10,55
2021-10-17,63
2021-10-24,61
2021-10-31,63
2021-11-07,84
2021-11-14,66
2021-11-21,57
2021-11-28,64
2021-12-05,58
2021-12-12,73
2021-12-19,61
2021-12-26,51
2022-01-02,62
2022-01-09,63
2022-01-16,61
2022-01-23,63
2022-01-30,76
2022-02-06,65
2022-02-13,77
2022-02-20,71
2022-02-27,68
2022-03-06,67
2022-03-13,63
2022-03-20,60
2022-03-27,57
2022-04-03,56
2022-04-10,57
2022-04-17,56
2022-04-24,54
2022-05-01,55
2022-05-08,60
2022-05-15,50
2022-05-22,56
2022-05-29,51
2022-06-05,47
2022-06-12,55
2022-06-19,53
2022-06-26,50
2022-07-03,52
2022-07-10,50
2022-07-17,52
2022-07-24,55
2022-07-31,52
2022-08-07,50
2022-08-14,48
2022-08-21,55
2022-08-28,57
2022-09-04,80
2022-09-11,73
2022-09-18,65
2022-09-25,61
2022-10-02,52
2022-10-09,61
2022-10-16,52
2022-10-23,100
2022-10-30,77
2022-11-06,65
2022-11-13,62
2022-11-20,53
2022-11-27,60
2022-12-04,64
2022-12-11,64
2022-12-18,64
2022-12-25,73
2023-01-01,64
2023-01-08,62
2023-01-15,54
2023-01-22,55
2023-01-29,65
2023-02-05,70
2023-02-12,65
2023-02-19,54
2023-02-26,52
2023-03-05,55
2023-03-12,59
2023-03-19,66
2023-03-26,65
2023-04-02,49
2023-04-09,61
2023-04-16,54
2023-04-23,52
2023-04-30,58
2023-05-07,54
2023-05-14,51
2023-05-21,61
2023-05-28,51
2023-06-04,46
2023-06-11,56
2023-06-18,48
2023-06-25,49
2023-07-02,46
2023-07-09,51
2023-07-16,51
2023-07-23,50
2023-07-30,56
2023-08-06,55
2023-08-13,53
2023-08-20,55
2023-08-27,58
2023-09-03,56
2023-09-10,62
2023-09-17,58
2023-09-24,57
2023-10-01,67
2023-10-08,68
2023-10-15,69
2023-10-22,58
2023-10-29,74
2023-11-05,70
2023-11-12,65
2023-11-19,69
2023-11-26,69
2023-12-03,75
2023-12-10,72
2023-12-17,58
2023-12-24,59
2023-12-31,61
2024-01-07,57
2024-01-14,58
2024-01-21,60
2024-01-28,90
2024-02-04,69
2024-02-11,62
2024-02-18,69
2024-02-25,64
2024-03-03,61
2024-03-10,56
2024-03-17,64
2024-03-24,53
2024-03-31,61
2024-04-07,55
2024-04-14,59
2024-04-21,54
2024-04-28,56
2024-05-05,55
2024-05-12,53
2024-05-19,58
2024-05-26,58
2024-06-02,58
2024-06-09,63
2024-06-16,53
2024-06-23,51
2024-06-30,58
2024-07-07,57
2024-07-14,63
2024-07-21,60
2024-07-28,65
2024-08-04,58
2024-08-11,56
2024-08-18,85
2024-08-25,65
2024-09-01,62
2024-09-08,70
2024-09-15,62
2024-09-22,59
2024-09-29,63
2024-10-06,63
2024-10-13,64
2024-10-20,66
2024-10-27,65
2024-11-03,62
2024-11-10,63
2024-11-17,72
2024-11-24,68
2024-12-01,76
2024-12-08,70
2024-12-15,65
2024-12-22,70
2024-12-29,61
2025-01-05,69
2025-01-12,75
2025-01-19,79
2025-01-26,91
2025-02-02,81
2025-02-09,69
2025-02-16,73
2025-02-23,89
2025-03-02,100
2025-03-09,67
2025-03-16,65
2025-03-23,62
2025-03-30,64
2025-04-06,78
2025-04-13,53
2025-04-20,62
2025-04-27,61
2025-05-04,63
2025-05-11,60
2025-05-18,60
2025-05-25,58
2025-06-01,61
2025-06-08,61
2025-06-15,54
2025-06-22,56
2025-06-29,53
2025-07-06,53
2025-07-13,52
2025-07-20,57
2025-07-27,64
