date,Salesforce news
2020-08-02,14
2020-08-09,13
2020-08-16,16
2020-08-23,49
2020-08-30,23
2020-09-06,16
2020-09-13,17
2020-09-20,16
2020-09-27,12
2020-10-04,10
2020-10-11,11
2020-10-18,11
2020-10-25,10
2020-11-01,13
2020-11-08,10
2020-11-15,9
2020-11-22,16
2020-11-29,39
2020-12-06,16
2020-12-13,11
2020-12-20,10
2020-12-27,8
2021-01-03,14
2021-01-10,14
2021-01-17,13
2021-01-24,11
2021-01-31,11
2021-02-07,13
2021-02-14,12
2021-02-21,14
2021-02-28,12
2021-03-07,10
2021-03-14,8
2021-03-21,11
2021-03-28,9
2021-04-04,10
2021-04-11,12
2021-04-18,11
2021-04-25,11
2021-05-02,11
2021-05-09,14
2021-05-16,10
2021-05-23,13
2021-05-30,8
2021-06-06,11
2021-06-13,9
2021-06-20,11
2021-06-27,10
2021-07-04,8
2021-07-11,10
2021-07-18,12
2021-07-25,9
2021-08-01,9
2021-08-08,9
2021-08-15,11
2021-08-22,13
2021-08-29,11
2021-09-05,9
2021-09-12,11
2021-09-19,11
2021-09-26,9
2021-10-03,9
2021-10-10,9
2021-10-17,8
2021-10-24,9
2021-10-31,9
2021-11-07,7
2021-11-14,10
2021-11-21,7
2021-11-28,14
2021-12-05,11
2021-12-12,9
2021-12-19,9
2021-12-26,6
2022-01-02,10
2022-01-09,12
2022-01-16,10
2022-01-23,13
2022-01-30,12
2022-02-06,13
2022-02-13,12
2022-02-20,17
2022-02-27,18
2022-03-06,12
2022-03-13,10
2022-03-20,9
2022-03-27,12
2022-04-03,11
2022-04-10,10
2022-04-17,10
2022-04-24,15
2022-05-01,16
2022-05-08,14
2022-05-15,14
2022-05-22,13
2022-05-29,14
2022-06-05,13
2022-06-12,13
2022-06-19,13
2022-06-26,10
2022-07-03,12
2022-07-10,11
2022-07-17,12
2022-07-24,11
2022-07-31,12
2022-08-07,11
2022-08-14,13
2022-08-21,15
2022-08-28,10
2022-09-04,11
2022-09-11,12
2022-09-18,17
2022-09-25,12
2022-10-02,11
2022-10-09,12
2022-10-16,14
2022-10-23,11
2022-10-30,9
2022-11-06,26
2022-11-13,18
2022-11-20,10
2022-11-27,22
2022-12-04,20
2022-12-11,19
2022-12-18,12
2022-12-25,7
2023-01-01,60
2023-01-08,26
2023-01-15,20
2023-01-22,26
2023-01-29,34
2023-02-05,20
2023-02-12,21
2023-02-19,15
2023-02-26,32
2023-03-05,19
2023-03-12,17
2023-03-19,16
2023-03-26,21
2023-04-02,13
2023-04-09,13
2023-04-16,11
2023-04-23,13
2023-04-30,14
2023-05-07,11
2023-05-14,12
2023-05-21,8
2023-05-28,17
2023-06-04,14
2023-06-11,15
2023-06-18,10
2023-06-25,10
2023-07-02,10
2023-07-09,13
2023-07-16,14
2023-07-23,12
2023-07-30,15
2023-08-06,13
2023-08-13,13
2023-08-20,10
2023-08-27,13
2023-09-03,11
2023-09-10,12
2023-09-17,13
2023-09-24,11
2023-10-01,9
2023-10-08,9
2023-10-15,10
2023-10-22,11
2023-10-29,10
2023-11-05,11
2023-11-12,7
2023-11-19,8
2023-11-26,15
2023-12-03,13
2023-12-10,10
2023-12-17,10
2023-12-24,9
2023-12-31,10
2024-01-07,12
2024-01-14,11
2024-01-21,14
2024-01-28,15
2024-02-04,13
2024-02-11,12
2024-02-18,12
2024-02-25,17
2024-03-03,14
2024-03-10,9
2024-03-17,11
2024-03-24,8
2024-03-31,11
2024-04-07,11
2024-04-14,19
2024-04-21,13
2024-04-28,11
2024-05-05,9
2024-05-12,10
2024-05-19,12
2024-05-26,30
2024-06-02,13
2024-06-09,12
2024-06-16,11
2024-06-23,11
2024-06-30,10
2024-07-07,12
2024-07-14,13
2024-07-21,12
2024-07-28,11
2024-08-04,13
2024-08-11,11
2024-08-18,10
2024-08-25,17
2024-09-01,11
2024-09-08,10
2024-09-15,14
2024-09-22,15
2024-09-29,13
2024-10-06,8
2024-10-13,10
2024-10-20,9
2024-10-27,10
2024-11-03,11
2024-11-10,16
2024-11-17,14
2024-11-24,8
2024-12-01,15
2024-12-08,10
2024-12-15,11
2024-12-22,7
2024-12-29,7
2025-01-05,14
2025-01-12,11
2025-01-19,13
2025-01-26,16
2025-02-02,21
2025-02-09,13
2025-02-16,10
2025-02-23,17
2025-03-02,13
2025-03-09,15
2025-03-16,11
2025-03-23,10
2025-03-30,9
2025-04-06,16
2025-04-13,10
2025-04-20,11
2025-04-27,11
2025-05-04,16
2025-05-11,12
2025-05-18,14
2025-05-25,29
2025-06-01,25
2025-06-08,40
2025-06-15,35
2025-06-22,40
2025-06-29,31
2025-07-06,35
2025-07-13,50
2025-07-20,58
2025-07-27,100
