date,Settlements conflict
2020-01-01,23
2020-02-01,23
2020-03-01,29
2020-04-01,20
2020-05-01,34
2020-06-01,27
2020-07-01,14
2020-08-01,16
2020-09-01,47
2020-10-01,39
2020-11-01,34
2020-12-01,33
2021-01-01,17
2021-02-01,29
2021-03-01,23
2021-04-01,28
2021-05-01,44
2021-06-01,0
2021-07-01,0
2021-08-01,18
2021-09-01,28
2021-10-01,31
2021-11-01,20
2021-12-01,27
2022-01-01,25
2022-02-01,28
2022-03-01,44
2022-04-01,49
2022-05-01,51
2022-06-01,25
2022-07-01,11
2022-08-01,32
2022-09-01,43
2022-10-01,50
2022-11-01,44
2022-12-01,31
2023-01-01,41
2023-02-01,58
2023-03-01,41
2023-04-01,47
2023-05-01,61
2023-06-01,24
2023-07-01,18
2023-08-01,33
2023-09-01,62
2023-10-01,98
2023-11-01,73
2023-12-01,60
2024-01-01,54
2024-02-01,81
2024-03-01,50
2024-04-01,77
2024-05-01,67
2024-06-01,28
2024-07-01,24
2024-08-01,37
2024-09-01,100
2024-10-01,86
2024-11-01,60
2024-12-01,52
2025-01-01,67
2025-02-01,90
2025-03-01,60
2025-04-01,89
2025-05-01,75
2025-06-01,58
2025-07-01,36
2025-08-01,62
