date,SolarEdge stock price
2020-08-02,59
2020-08-09,41
2020-08-16,37
2020-08-23,37
2020-08-30,57
2020-09-06,23
2020-09-13,21
2020-09-20,21
2020-09-27,38
2020-10-04,50
2020-10-11,53
2020-10-18,68
2020-10-25,48
2020-11-01,100
2020-11-08,71
2020-11-15,56
2020-11-22,65
2020-11-29,46
2020-12-06,48
2020-12-13,40
2020-12-20,50
2020-12-27,54
2021-01-03,96
2021-01-10,91
2021-01-17,65
2021-01-24,96
2021-01-31,77
2021-02-07,55
2021-02-14,52
2021-02-21,0
2021-02-28,36
2021-03-07,33
2021-03-14,56
2021-03-21,0
2021-03-28,31
2021-04-04,34
2021-04-11,30
2021-04-18,39
2021-04-25,54
2021-05-02,32
2021-05-09,29
2021-05-16,27
2021-05-23,41
2021-05-30,30
2021-06-06,0
2021-06-13,0
2021-06-20,23
2021-06-27,52
2021-07-04,28
2021-07-11,34
2021-07-18,0
2021-07-25,33
2021-08-01,27
2021-08-08,0
2021-08-15,25
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,27
2021-10-10,30
2021-10-17,0
2021-10-24,36
2021-10-31,31
2021-11-07,29
2021-11-14,24
2021-11-21,0
2021-11-28,0
2021-12-05,30
2021-12-12,0
2021-12-19,32
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,27
2022-01-30,24
2022-02-06,0
2022-02-13,25
2022-02-20,24
2022-02-27,29
2022-03-06,19
2022-03-13,27
2022-03-20,26
2022-03-27,22
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,23
2022-05-01,33
2022-05-08,28
2022-05-15,21
2022-05-22,22
2022-05-29,23
2022-06-05,23
2022-06-12,0
2022-06-19,0
2022-06-26,22
2022-07-03,20
2022-07-10,0
2022-07-17,20
2022-07-24,25
2022-07-31,39
2022-08-07,33
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,20
2022-09-11,28
2022-09-18,36
2022-09-25,0
2022-10-02,21
2022-10-09,0
2022-10-16,0
2022-10-23,21
2022-10-30,32
2022-11-06,20
2022-11-13,21
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,24
2023-01-01,0
2023-01-08,0
2023-01-15,23
2023-01-22,0
2023-01-29,23
2023-02-05,0
2023-02-12,33
2023-02-19,0
2023-02-26,0
2023-03-05,22
2023-03-12,29
2023-03-19,0
2023-03-26,29
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,21
2023-04-30,20
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,21
2023-07-02,19
2023-07-09,0
2023-07-16,0
2023-07-23,29
2023-07-30,47
2023-08-06,27
2023-08-13,27
2023-08-20,23
2023-08-27,24
2023-09-03,0
2023-09-10,30
2023-09-17,30
2023-09-24,0
2023-10-01,0
2023-10-08,26
2023-10-15,34
2023-10-22,27
2023-10-29,33
2023-11-05,31
2023-11-12,22
2023-11-19,0
2023-11-26,19
2023-12-03,22
2023-12-10,0
2023-12-17,39
2023-12-24,0
2023-12-31,22
2024-01-07,0
2024-01-14,21
2024-01-21,38
2024-01-28,0
2024-02-04,22
2024-02-11,23
2024-02-18,31
2024-02-25,32
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,24
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,24
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,29
2024-06-23,36
2024-06-30,22
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,25
2024-08-11,0
2024-08-18,0
2024-08-25,34
2024-09-01,24
2024-09-08,0
2024-09-15,33
2024-09-22,27
2024-09-29,23
2024-10-06,0
2024-10-13,0
2024-10-20,30
2024-10-27,26
2024-11-03,43
2024-11-10,35
2024-11-17,35
2024-11-24,39
2024-12-01,42
2024-12-08,41
2024-12-15,43
2024-12-22,40
2024-12-29,29
2025-01-05,46
2025-01-12,0
2025-01-19,26
2025-01-26,0
2025-02-02,34
2025-02-09,0
2025-02-16,33
2025-02-23,50
2025-03-02,25
2025-03-09,24
2025-03-16,57
2025-03-23,27
2025-03-30,0
2025-04-06,24
2025-04-13,36
2025-04-20,0
2025-04-27,30
2025-05-04,33
2025-05-11,50
2025-05-18,36
2025-05-25,0
2025-06-01,35
2025-06-08,32
2025-06-15,38
2025-06-22,27
2025-06-29,26
2025-07-06,38
2025-07-13,41
2025-07-20,78
2025-07-27,100
