date,SolarEdge vs SolarEdge
2020-08-02,24
2020-08-09,0
2020-08-16,18
2020-08-23,20
2020-08-30,13
2020-09-06,0
2020-09-13,14
2020-09-20,22
2020-09-27,0
2020-10-04,13
2020-10-11,0
2020-10-18,0
2020-10-25,24
2020-11-01,13
2020-11-08,0
2020-11-15,0
2020-11-22,22
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,20
2021-01-17,0
2021-01-24,0
2021-01-31,14
2021-02-07,16
2021-02-14,18
2021-02-21,0
2021-02-28,16
2021-03-07,21
2021-03-14,17
2021-03-21,0
2021-03-28,0
2021-04-04,14
2021-04-11,0
2021-04-18,25
2021-04-25,17
2021-05-02,0
2021-05-09,17
2021-05-16,0
2021-05-23,13
2021-05-30,0
2021-06-06,14
2021-06-13,17
2021-06-20,21
2021-06-27,0
2021-07-04,0
2021-07-11,16
2021-07-18,0
2021-07-25,13
2021-08-01,15
2021-08-08,0
2021-08-15,18
2021-08-22,0
2021-08-29,0
2021-09-05,15
2021-09-12,0
2021-09-19,16
2021-09-26,15
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,17
2021-10-31,0
2021-11-07,20
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,17
2021-12-12,19
2021-12-19,0
2021-12-26,24
2022-01-02,0
2022-01-09,21
2022-01-16,24
2022-01-23,15
2022-01-30,19
2022-02-06,0
2022-02-13,30
2022-02-20,21
2022-02-27,20
2022-03-06,20
2022-03-13,33
2022-03-20,30
2022-03-27,28
2022-04-03,28
2022-04-10,18
2022-04-17,23
2022-04-24,16
2022-05-01,12
2022-05-08,28
2022-05-15,20
2022-05-22,22
2022-05-29,18
2022-06-05,19
2022-06-12,20
2022-06-19,27
2022-06-26,38
2022-07-03,20
2022-07-10,30
2022-07-17,20
2022-07-24,25
2022-07-31,21
2022-08-07,25
2022-08-14,23
2022-08-21,21
2022-08-28,33
2022-09-04,16
2022-09-11,22
2022-09-18,22
2022-09-25,38
2022-10-02,16
2022-10-09,30
2022-10-16,25
2022-10-23,23
2022-10-30,24
2022-11-06,18
2022-11-13,26
2022-11-20,27
2022-11-27,20
2022-12-04,20
2022-12-11,20
2022-12-18,13
2022-12-25,15
2023-01-01,14
2023-01-08,26
2023-01-15,19
2023-01-22,34
2023-01-29,25
2023-02-05,19
2023-02-12,32
2023-02-19,24
2023-02-26,22
2023-03-05,24
2023-03-12,27
2023-03-19,30
2023-03-26,16
2023-04-02,24
2023-04-09,23
2023-04-16,23
2023-04-23,17
2023-04-30,23
2023-05-07,18
2023-05-14,21
2023-05-21,20
2023-05-28,23
2023-06-04,19
2023-06-11,13
2023-06-18,21
2023-06-25,20
2023-07-02,19
2023-07-09,19
2023-07-16,22
2023-07-23,23
2023-07-30,26
2023-08-06,19
2023-08-13,20
2023-08-20,19
2023-08-27,22
2023-09-03,17
2023-09-10,21
2023-09-17,22
2023-09-24,19
2023-10-01,15
2023-10-08,20
2023-10-15,20
2023-10-22,23
2023-10-29,21
2023-11-05,21
2023-11-12,15
2023-11-19,0
2023-11-26,22
2023-12-03,0
2023-12-10,18
2023-12-17,22
2023-12-24,0
2023-12-31,0
2024-01-07,17
2024-01-14,15
2024-01-21,28
2024-01-28,22
2024-02-04,0
2024-02-11,13
2024-02-18,26
2024-02-25,19
2024-03-03,28
2024-03-10,16
2024-03-17,19
2024-03-24,0
2024-03-31,19
2024-04-07,19
2024-04-14,22
2024-04-21,22
2024-04-28,17
2024-05-05,26
2024-05-12,26
2024-05-19,18
2024-05-26,16
2024-06-02,15
2024-06-09,23
2024-06-16,30
2024-06-23,22
2024-06-30,16
2024-07-07,13
2024-07-14,22
2024-07-21,24
2024-07-28,15
2024-08-04,0
2024-08-11,24
2024-08-18,0
2024-08-25,13
2024-09-01,17
2024-09-08,0
2024-09-15,14
2024-09-22,0
2024-09-29,26
2024-10-06,17
2024-10-13,0
2024-10-20,19
2024-10-27,16
2024-11-03,25
2024-11-10,14
2024-11-17,0
2024-11-24,20
2024-12-01,0
2024-12-08,14
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,19
2025-01-12,0
2025-01-19,16
2025-01-26,16
2025-02-02,0
2025-02-09,14
2025-02-16,16
2025-02-23,19
2025-03-02,0
2025-03-09,15
2025-03-16,18
2025-03-23,14
2025-03-30,19
2025-04-06,16
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,18
2025-05-11,17
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,16
2025-06-15,35
2025-06-22,20
2025-06-29,23
2025-07-06,0
2025-07-13,25
2025-07-20,59
2025-07-27,100
