date,Starbucks
2020-08-02,61
2020-08-09,65
2020-08-16,65
2020-08-23,68
2020-08-30,67
2020-09-06,63
2020-09-13,60
2020-09-20,61
2020-09-27,64
2020-10-04,61
2020-10-11,61
2020-10-18,60
2020-10-25,57
2020-11-01,72
2020-11-08,69
2020-11-15,64
2020-11-22,69
2020-11-29,68
2020-12-06,68
2020-12-13,67
2020-12-20,90
2020-12-27,77
2021-01-03,64
2021-01-10,60
2021-01-17,61
2021-01-24,57
2021-01-31,55
2021-02-07,53
2021-02-14,61
2021-02-21,58
2021-02-28,62
2021-03-07,61
2021-03-14,60
2021-03-21,63
2021-03-28,74
2021-04-04,66
2021-04-11,62
2021-04-18,61
2021-04-25,60
2021-05-02,59
2021-05-09,67
2021-05-16,65
2021-05-23,63
2021-05-30,66
2021-06-06,62
2021-06-13,65
2021-06-20,60
2021-06-27,62
2021-07-04,66
2021-07-11,63
2021-07-18,69
2021-07-25,64
2021-08-01,64
2021-08-08,65
2021-08-15,67
2021-08-22,79
2021-08-29,69
2021-09-05,70
2021-09-12,69
2021-09-19,68
2021-09-26,70
2021-10-03,67
2021-10-10,66
2021-10-17,67
2021-10-24,64
2021-10-31,82
2021-11-07,81
2021-11-14,84
2021-11-21,86
2021-11-28,69
2021-12-05,72
2021-12-12,75
2021-12-19,100
2021-12-26,93
2022-01-02,71
2022-01-09,63
2022-01-16,57
2022-01-23,61
2022-01-30,60
2022-02-06,57
2022-02-13,57
2022-02-20,64
2022-02-27,60
2022-03-06,57
2022-03-13,61
2022-03-20,57
2022-03-27,57
2022-04-03,61
2022-04-10,63
2022-04-17,62
2022-04-24,60
2022-05-01,65
2022-05-08,64
2022-05-15,62
2022-05-22,68
2022-05-29,64
2022-06-05,66
2022-06-12,60
2022-06-19,68
2022-06-26,67
2022-07-03,68
2022-07-10,71
2022-07-17,69
2022-07-24,66
2022-07-31,67
2022-08-07,66
2022-08-14,66
2022-08-21,68
2022-08-28,74
2022-09-04,69
2022-09-11,68
2022-09-18,68
2022-09-25,66
2022-10-02,64
2022-10-09,66
2022-10-16,62
2022-10-23,61
2022-10-30,73
2022-11-06,70
2022-11-13,83
2022-11-20,71
2022-11-27,63
2022-12-04,67
2022-12-11,68
2022-12-18,73
2022-12-25,82
2023-01-01,71
2023-01-08,60
2023-01-15,59
2023-01-22,60
2023-01-29,59
2023-02-05,59
2023-02-12,60
2023-02-19,65
2023-02-26,57
2023-03-05,58
2023-03-12,57
2023-03-19,60
2023-03-26,62
2023-04-02,61
2023-04-09,64
2023-04-16,60
2023-04-23,62
2023-04-30,64
2023-05-07,65
2023-05-14,61
2023-05-21,59
2023-05-28,64
2023-06-04,60
2023-06-11,61
2023-06-18,60
2023-06-25,63
2023-07-02,63
2023-07-09,63
2023-07-16,66
2023-07-23,69
2023-07-30,66
2023-08-06,64
2023-08-13,64
2023-08-20,70
2023-08-27,71
2023-09-03,67
2023-09-10,66
2023-09-17,69
2023-09-24,66
2023-10-01,65
2023-10-08,65
2023-10-15,63
2023-10-22,67
2023-10-29,78
2023-11-05,74
2023-11-12,80
2023-11-19,70
2023-11-26,63
2023-12-03,67
2023-12-10,72
2023-12-17,70
2023-12-24,88
2023-12-31,74
2024-01-07,60
2024-01-14,55
2024-01-21,52
2024-01-28,55
2024-02-04,52
2024-02-11,51
2024-02-18,48
2024-02-25,53
2024-03-03,56
2024-03-10,56
2024-03-17,51
2024-03-24,57
2024-03-31,57
2024-04-07,54
2024-04-14,54
2024-04-21,54
2024-04-28,55
2024-05-05,64
2024-05-12,56
2024-05-19,50
2024-05-26,57
2024-06-02,51
2024-06-09,50
2024-06-16,51
2024-06-23,54
2024-06-30,52
2024-07-07,54
2024-07-14,58
2024-07-21,54
2024-07-28,53
2024-08-04,51
2024-08-11,65
2024-08-18,67
2024-08-25,60
2024-09-01,58
2024-09-08,56
2024-09-15,54
2024-09-22,52
2024-09-29,55
2024-10-06,56
2024-10-13,52
2024-10-20,53
2024-10-27,54
2024-11-03,66
2024-11-10,74
2024-11-17,57
2024-11-24,67
2024-12-01,59
2024-12-08,59
2024-12-15,58
2024-12-22,83
2024-12-29,67
2025-01-05,57
2025-01-12,54
2025-01-19,56
2025-01-26,57
2025-02-02,54
2025-02-09,56
2025-02-16,53
2025-02-23,54
2025-03-02,54
2025-03-09,52
2025-03-16,55
2025-03-23,55
2025-03-30,54
2025-04-06,54
2025-04-13,60
2025-04-20,58
2025-04-27,54
2025-05-04,56
2025-05-11,56
2025-05-18,56
2025-05-25,54
2025-06-01,54
2025-06-08,53
2025-06-15,52
2025-06-22,55
2025-06-29,54
2025-07-06,54
2025-07-13,56
2025-07-20,55
2025-07-27,55
