date,Teva Pharmaceutical
2020-08-02,87
2020-08-09,59
2020-08-16,52
2020-08-23,71
2020-08-30,65
2020-09-06,61
2020-09-13,57
2020-09-20,47
2020-09-27,50
2020-10-04,45
2020-10-11,39
2020-10-18,42
2020-10-25,52
2020-11-01,44
2020-11-08,44
2020-11-15,36
2020-11-22,49
2020-11-29,47
2020-12-06,56
2020-12-13,44
2020-12-20,55
2020-12-27,30
2021-01-03,50
2021-01-10,53
2021-01-17,53
2021-01-24,45
2021-01-31,36
2021-02-07,73
2021-02-14,39
2021-02-21,49
2021-02-28,60
2021-03-07,53
2021-03-14,40
2021-03-21,49
2021-03-28,54
2021-04-04,44
2021-04-11,33
2021-04-18,40
2021-04-25,45
2021-05-02,52
2021-05-09,48
2021-05-16,43
2021-05-23,49
2021-05-30,41
2021-06-06,57
2021-06-13,40
2021-06-20,40
2021-06-27,45
2021-07-04,43
2021-07-11,47
2021-07-18,46
2021-07-25,37
2021-08-01,56
2021-08-08,39
2021-08-15,37
2021-08-22,41
2021-08-29,45
2021-09-05,40
2021-09-12,28
2021-09-19,30
2021-09-26,40
2021-10-03,46
2021-10-10,37
2021-10-17,39
2021-10-24,51
2021-10-31,45
2021-11-07,43
2021-11-14,34
2021-11-21,41
2021-11-28,49
2021-12-05,46
2021-12-12,36
2021-12-19,38
2021-12-26,53
2022-01-02,38
2022-01-09,48
2022-01-16,39
2022-01-23,52
2022-01-30,38
2022-02-06,38
2022-02-13,63
2022-02-20,34
2022-02-27,51
2022-03-06,40
2022-03-13,38
2022-03-20,54
2022-03-27,38
2022-04-03,48
2022-04-10,47
2022-04-17,49
2022-04-24,56
2022-05-01,48
2022-05-08,68
2022-05-15,54
2022-05-22,49
2022-05-29,48
2022-06-05,40
2022-06-12,27
2022-06-19,58
2022-06-26,57
2022-07-03,47
2022-07-10,38
2022-07-17,35
2022-07-24,49
2022-07-31,49
2022-08-07,33
2022-08-14,30
2022-08-21,22
2022-08-28,27
2022-09-04,35
2022-09-11,32
2022-09-18,42
2022-09-25,27
2022-10-02,34
2022-10-09,35
2022-10-16,30
2022-10-23,32
2022-10-30,42
2022-11-06,35
2022-11-13,29
2022-11-20,39
2022-11-27,28
2022-12-04,44
2022-12-11,35
2022-12-18,42
2022-12-25,29
2023-01-01,31
2023-01-08,40
2023-01-15,44
2023-01-22,40
2023-01-29,42
2023-02-05,42
2023-02-12,49
2023-02-19,39
2023-02-26,34
2023-03-05,34
2023-03-12,32
2023-03-19,37
2023-03-26,34
2023-04-02,27
2023-04-09,40
2023-04-16,36
2023-04-23,43
2023-04-30,34
2023-05-07,38
2023-05-14,41
2023-05-21,45
2023-05-28,35
2023-06-04,32
2023-06-11,39
2023-06-18,42
2023-06-25,33
2023-07-02,29
2023-07-09,41
2023-07-16,33
2023-07-23,35
2023-07-30,33
2023-08-06,32
2023-08-13,30
2023-08-20,31
2023-08-27,39
2023-09-03,29
2023-09-10,32
2023-09-17,43
2023-09-24,42
2023-10-01,46
2023-10-08,49
2023-10-15,48
2023-10-22,41
2023-10-29,40
2023-11-05,39
2023-11-12,32
2023-11-19,31
2023-11-26,32
2023-12-03,30
2023-12-10,34
2023-12-17,34
2023-12-24,26
2023-12-31,29
2024-01-07,31
2024-01-14,42
2024-01-21,25
2024-01-28,36
2024-02-04,41
2024-02-11,50
2024-02-18,34
2024-02-25,36
2024-03-03,42
2024-03-10,37
2024-03-17,38
2024-03-24,31
2024-03-31,38
2024-04-07,30
2024-04-14,33
2024-04-21,39
2024-04-28,37
2024-05-05,45
2024-05-12,46
2024-05-19,46
2024-05-26,48
2024-06-02,38
2024-06-09,33
2024-06-16,29
2024-06-23,40
2024-06-30,35
2024-07-07,36
2024-07-14,87
2024-07-21,45
2024-07-28,43
2024-08-04,34
2024-08-11,44
2024-08-18,39
2024-08-25,39
2024-09-01,40
2024-09-08,35
2024-09-15,35
2024-09-22,38
2024-09-29,34
2024-10-06,36
2024-10-13,40
2024-10-20,30
2024-10-27,38
2024-11-03,30
2024-11-10,42
2024-11-17,26
2024-11-24,23
2024-12-01,37
2024-12-08,29
2024-12-15,40
2024-12-22,43
2024-12-29,42
2025-01-05,41
2025-01-12,30
2025-01-19,43
2025-01-26,46
2025-02-02,40
2025-02-09,31
2025-02-16,43
2025-02-23,39
2025-03-02,39
2025-03-09,40
2025-03-16,38
2025-03-23,22
2025-03-30,34
2025-04-06,42
2025-04-13,43
2025-04-20,34
2025-04-27,32
2025-05-04,42
2025-05-11,25
2025-05-18,43
2025-05-25,33
2025-06-01,50
2025-06-08,39
2025-06-15,38
2025-06-22,30
2025-06-29,43
2025-07-06,38
2025-07-13,37
2025-07-20,44
2025-07-27,100
