date,Texas Instruments vs Texas Instruments
2020-08-02,38
2020-08-09,33
2020-08-16,32
2020-08-23,36
2020-08-30,42
2020-09-06,41
2020-09-13,34
2020-09-20,31
2020-09-27,17
2020-10-04,29
2020-10-11,22
2020-10-18,24
2020-10-25,19
2020-11-01,25
2020-11-08,23
2020-11-15,0
2020-11-22,19
2020-11-29,0
2020-12-06,17
2020-12-13,20
2020-12-20,0
2020-12-27,0
2021-01-03,19
2021-01-10,20
2021-01-17,31
2021-01-24,17
2021-01-31,25
2021-02-07,0
2021-02-14,0
2021-02-21,22
2021-02-28,21
2021-03-07,0
2021-03-14,16
2021-03-21,21
2021-03-28,23
2021-04-04,0
2021-04-11,22
2021-04-18,0
2021-04-25,0
2021-05-02,17
2021-05-09,25
2021-05-16,25
2021-05-23,24
2021-05-30,0
2021-06-06,23
2021-06-13,27
2021-06-20,22
2021-06-27,0
2021-07-04,19
2021-07-11,18
2021-07-18,0
2021-07-25,0
2021-08-01,29
2021-08-08,0
2021-08-15,29
2021-08-22,37
2021-08-29,36
2021-09-05,31
2021-09-12,26
2021-09-19,39
2021-09-26,0
2021-10-03,29
2021-10-10,32
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,18
2021-11-14,0
2021-11-21,0
2021-11-28,24
2021-12-05,0
2021-12-12,27
2021-12-19,0
2021-12-26,0
2022-01-02,23
2022-01-09,40
2022-01-16,33
2022-01-23,36
2022-01-30,36
2022-02-06,50
2022-02-13,37
2022-02-20,32
2022-02-27,38
2022-03-06,34
2022-03-13,22
2022-03-20,27
2022-03-27,25
2022-04-03,23
2022-04-10,25
2022-04-17,28
2022-04-24,17
2022-05-01,15
2022-05-08,28
2022-05-15,0
2022-05-22,24
2022-05-29,21
2022-06-05,22
2022-06-12,32
2022-06-19,25
2022-06-26,23
2022-07-03,15
2022-07-10,34
2022-07-17,28
2022-07-24,35
2022-07-31,36
2022-08-07,39
2022-08-14,58
2022-08-21,34
2022-08-28,47
2022-09-04,42
2022-09-11,37
2022-09-18,27
2022-09-25,28
2022-10-02,27
2022-10-09,39
2022-10-16,29
2022-10-23,22
2022-10-30,40
2022-11-06,29
2022-11-13,39
2022-11-20,17
2022-11-27,23
2022-12-04,36
2022-12-11,33
2022-12-18,22
2022-12-25,17
2023-01-01,33
2023-01-08,28
2023-01-15,37
2023-01-22,37
2023-01-29,30
2023-02-05,33
2023-02-12,25
2023-02-19,41
2023-02-26,24
2023-03-05,15
2023-03-12,33
2023-03-19,32
2023-03-26,26
2023-04-02,28
2023-04-09,20
2023-04-16,0
2023-04-23,18
2023-04-30,21
2023-05-07,28
2023-05-14,29
2023-05-21,31
2023-05-28,24
2023-06-04,23
2023-06-11,27
2023-06-18,28
2023-06-25,36
2023-07-02,30
2023-07-09,23
2023-07-16,23
2023-07-23,29
2023-07-30,41
2023-08-06,39
2023-08-13,24
2023-08-20,45
2023-08-27,44
2023-09-03,60
2023-09-10,34
2023-09-17,44
2023-09-24,33
2023-10-01,38
2023-10-08,37
2023-10-15,19
2023-10-22,36
2023-10-29,19
2023-11-05,30
2023-11-12,31
2023-11-19,31
2023-11-26,21
2023-12-03,26
2023-12-10,26
2023-12-17,29
2023-12-24,20
2023-12-31,27
2024-01-07,38
2024-01-14,33
2024-01-21,32
2024-01-28,29
2024-02-04,42
2024-02-11,38
2024-02-18,28
2024-02-25,34
2024-03-03,25
2024-03-10,34
2024-03-17,32
2024-03-24,19
2024-03-31,20
2024-04-07,27
2024-04-14,27
2024-04-21,32
2024-04-28,35
2024-05-05,21
2024-05-12,33
2024-05-19,29
2024-05-26,0
2024-06-02,25
2024-06-09,21
2024-06-16,33
2024-06-23,32
2024-06-30,33
2024-07-07,28
2024-07-14,21
2024-07-21,38
2024-07-28,33
2024-08-04,53
2024-08-11,58
2024-08-18,47
2024-08-25,39
2024-09-01,55
2024-09-08,50
2024-09-15,45
2024-09-22,41
2024-09-29,39
2024-10-06,47
2024-10-13,43
2024-10-20,52
2024-10-27,24
2024-11-03,31
2024-11-10,38
2024-11-17,41
2024-11-24,18
2024-12-01,23
2024-12-08,34
2024-12-15,22
2024-12-22,0
2024-12-29,30
2025-01-05,28
2025-01-12,33
2025-01-19,46
2025-01-26,60
2025-02-02,52
2025-02-09,24
2025-02-16,36
2025-02-23,33
2025-03-02,31
2025-03-09,36
2025-03-16,32
2025-03-23,38
2025-03-30,29
2025-04-06,37
2025-04-13,36
2025-04-20,31
2025-04-27,34
2025-05-04,27
2025-05-11,23
2025-05-18,21
2025-05-25,18
2025-06-01,53
2025-06-08,43
2025-06-15,59
2025-06-22,60
2025-06-29,36
2025-07-06,50
2025-07-13,59
2025-07-20,75
2025-07-27,100
