date,The Weeknd new album
2020-01-01,22
2020-02-01,43
2020-03-01,83
2020-04-01,22
2020-05-01,8
2020-06-01,4
2020-07-01,4
2020-08-01,4
2020-09-01,4
2020-10-01,4
2020-11-01,4
2020-12-01,3
2021-01-01,8
2021-02-01,10
2021-03-01,4
2021-04-01,2
2021-05-01,4
2021-06-01,3
2021-07-01,5
2021-08-01,17
2021-09-01,6
2021-10-01,6
2021-11-01,5
2021-12-01,4
2022-01-01,100
2022-02-01,9
2022-03-01,6
2022-04-01,5
2022-05-01,4
2022-06-01,4
2022-07-01,4
2022-08-01,4
2022-09-01,4
2022-10-01,4
2022-11-01,6
2022-12-01,7
2023-01-01,5
2023-02-01,5
2023-03-01,7
2023-04-01,7
2023-05-01,5
2023-06-01,6
2023-07-01,5
2023-08-01,4
2023-09-01,4
2023-10-01,3
2023-11-01,3
2023-12-01,5
2024-01-01,14
2024-02-01,30
2024-03-01,8
2024-04-01,8
2024-05-01,6
2024-06-01,7
2024-07-01,10
2024-08-01,12
2024-09-01,86
2024-10-01,18
2024-11-01,14
2024-12-01,12
2025-01-01,62
2025-02-01,50
2025-03-01,9
2025-04-01,5
2025-05-01,5
2025-06-01,3
2025-07-01,3
2025-08-01,6
