date,Tim Cook
2020-01-01,52
2020-02-01,29
2020-03-01,29
2020-04-01,38
2020-05-01,36
2020-06-01,43
2020-07-01,45
2020-08-01,60
2020-09-01,45
2020-10-01,45
2020-11-01,28
2020-12-01,35
2021-01-01,48
2021-02-01,39
2021-03-01,27
2021-04-01,42
2021-05-01,34
2021-06-01,32
2021-07-01,29
2021-08-01,41
2021-09-01,49
2021-10-01,36
2021-11-01,33
2021-12-01,32
2022-01-01,54
2022-02-01,39
2022-03-01,41
2022-04-01,37
2022-05-01,33
2022-06-01,49
2022-07-01,32
2022-08-01,26
2022-09-01,63
2022-10-01,66
2022-11-01,44
2022-12-01,44
2023-01-01,56
2023-02-01,34
2023-03-01,30
2023-04-01,97
2023-05-01,38
2023-06-01,54
2023-07-01,29
2023-08-01,27
2023-09-01,70
2023-10-01,43
2023-11-01,41
2023-12-01,30
2024-01-01,36
2024-02-01,47
2024-03-01,43
2024-04-01,62
2024-05-01,39
2024-06-01,49
2024-07-01,29
2024-08-01,36
2024-09-01,61
2024-10-01,47
2024-11-01,39
2024-12-01,33
2025-01-01,84
2025-02-01,60
2025-03-01,49
2025-04-01,48
2025-05-01,56
2025-06-01,45
2025-07-01,47
2025-08-01,100
