date,Wegovy
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,10
2021-07-01,5
2021-08-01,6
2021-09-01,4
2021-10-01,4
2021-11-01,6
2021-12-01,5
2022-01-01,5
2022-02-01,7
2022-03-01,7
2022-04-01,9
2022-05-01,8
2022-06-01,8
2022-07-01,7
2022-08-01,7
2022-09-01,8
2022-10-01,12
2022-11-01,12
2022-12-01,14
2023-01-01,35
2023-02-01,33
2023-03-01,39
2023-04-01,40
2023-05-01,47
2023-06-01,44
2023-07-01,42
2023-08-01,40
2023-09-01,41
2023-10-01,37
2023-11-01,38
2023-12-01,37
2024-01-01,42
2024-02-01,42
2024-03-01,51
2024-04-01,48
2024-05-01,56
2024-06-01,61
2024-07-01,61
2024-08-01,61
2024-09-01,60
2024-10-01,68
2024-11-01,63
2024-12-01,61
2025-01-01,73
2025-02-01,66
2025-03-01,64
2025-04-01,68
2025-05-01,75
2025-06-01,78
2025-07-01,78
2025-08-01,100
