date,Workday stock price
2020-08-02,23
2020-08-09,14
2020-08-16,37
2020-08-23,100
2020-08-30,73
2020-09-06,32
2020-09-13,29
2020-09-20,21
2020-09-27,25
2020-10-04,29
2020-10-11,31
2020-10-18,21
2020-10-25,38
2020-11-01,15
2020-11-08,25
2020-11-15,41
2020-11-22,34
2020-11-29,31
2020-12-06,29
2020-12-13,34
2020-12-20,43
2020-12-27,17
2021-01-03,29
2021-01-10,27
2021-01-17,27
2021-01-24,38
2021-01-31,43
2021-02-07,42
2021-02-14,33
2021-02-21,48
2021-02-28,28
2021-03-07,31
2021-03-14,32
2021-03-21,28
2021-03-28,18
2021-04-04,30
2021-04-11,24
2021-04-18,30
2021-04-25,20
2021-05-02,31
2021-05-09,17
2021-05-16,22
2021-05-23,26
2021-05-30,17
2021-06-06,22
2021-06-13,0
2021-06-20,21
2021-06-27,0
2021-07-04,21
2021-07-11,18
2021-07-18,30
2021-07-25,24
2021-08-01,25
2021-08-08,15
2021-08-15,18
2021-08-22,42
2021-08-29,31
2021-09-05,0
2021-09-12,18
2021-09-19,0
2021-09-26,30
2021-10-03,0
2021-10-10,25
2021-10-17,0
2021-10-24,33
2021-10-31,28
2021-11-07,24
2021-11-14,39
2021-11-21,25
2021-11-28,28
2021-12-05,34
2021-12-12,24
2021-12-19,0
2021-12-26,21
2022-01-02,33
2022-01-09,29
2022-01-16,27
2022-01-23,25
2022-01-30,19
2022-02-06,25
2022-02-13,20
2022-02-20,27
2022-02-27,39
2022-03-06,13
2022-03-13,18
2022-03-20,15
2022-03-27,15
2022-04-03,23
2022-04-10,20
2022-04-17,26
2022-04-24,34
2022-05-01,31
2022-05-08,34
2022-05-15,34
2022-05-22,43
2022-05-29,29
2022-06-05,37
2022-06-12,28
2022-06-19,20
2022-06-26,16
2022-07-03,18
2022-07-10,24
2022-07-17,0
2022-07-24,25
2022-07-31,14
2022-08-07,25
2022-08-14,29
2022-08-21,21
2022-08-28,21
2022-09-04,26
2022-09-11,29
2022-09-18,29
2022-09-25,28
2022-10-02,20
2022-10-09,17
2022-10-16,18
2022-10-23,24
2022-10-30,18
2022-11-06,25
2022-11-13,27
2022-11-20,16
2022-11-27,36
2022-12-04,28
2022-12-11,21
2022-12-18,14
2022-12-25,0
2023-01-01,26
2023-01-08,17
2023-01-15,17
2023-01-22,26
2023-01-29,40
2023-02-05,29
2023-02-12,26
2023-02-19,21
2023-02-26,27
2023-03-05,26
2023-03-12,21
2023-03-19,22
2023-03-26,25
2023-04-02,26
2023-04-09,22
2023-04-16,21
2023-04-23,14
2023-04-30,22
2023-05-07,17
2023-05-14,20
2023-05-21,20
2023-05-28,19
2023-06-04,32
2023-06-11,26
2023-06-18,24
2023-06-25,25
2023-07-02,20
2023-07-09,14
2023-07-16,19
2023-07-23,15
2023-07-30,26
2023-08-06,18
2023-08-13,23
2023-08-20,28
2023-08-27,34
2023-09-03,19
2023-09-10,0
2023-09-17,0
2023-09-24,28
2023-10-01,23
2023-10-08,0
2023-10-15,17
2023-10-22,15
2023-10-29,23
2023-11-05,16
2023-11-12,24
2023-11-19,13
2023-11-26,45
2023-12-03,18
2023-12-10,22
2023-12-17,24
2023-12-24,26
2023-12-31,17
2024-01-07,13
2024-01-14,20
2024-01-21,34
2024-01-28,30
2024-02-04,32
2024-02-11,37
2024-02-18,29
2024-02-25,63
2024-03-03,39
2024-03-10,24
2024-03-17,33
2024-03-24,27
2024-03-31,23
2024-04-07,30
2024-04-14,19
2024-04-21,18
2024-04-28,22
2024-05-05,21
2024-05-12,30
2024-05-19,51
2024-05-26,35
2024-06-02,50
2024-06-09,34
2024-06-16,24
2024-06-23,29
2024-06-30,31
2024-07-07,31
2024-07-14,22
2024-07-21,39
2024-07-28,24
2024-08-04,48
2024-08-11,29
2024-08-18,51
2024-08-25,41
2024-09-01,38
2024-09-08,26
2024-09-15,34
2024-09-22,17
2024-09-29,38
2024-10-06,18
2024-10-13,23
2024-10-20,26
2024-10-27,31
2024-11-03,44
2024-11-10,40
2024-11-17,39
2024-11-24,49
2024-12-01,54
2024-12-08,54
2024-12-15,41
2024-12-22,20
2024-12-29,28
2025-01-05,32
2025-01-12,28
2025-01-19,41
2025-01-26,37
2025-02-02,65
2025-02-09,49
2025-02-16,23
2025-02-23,69
2025-03-02,35
2025-03-09,31
2025-03-16,31
2025-03-23,19
2025-03-30,35
2025-04-06,54
2025-04-13,27
2025-04-20,26
2025-04-27,25
2025-05-04,34
2025-05-11,26
2025-05-18,46
2025-05-25,29
2025-06-01,30
2025-06-08,44
2025-06-15,18
2025-06-22,35
2025-06-29,17
2025-07-06,30
2025-07-13,46
2025-07-20,63
2025-07-27,99
