date,XLK
2020-08-02,44
2020-08-09,37
2020-08-16,41
2020-08-23,45
2020-08-30,63
2020-09-06,46
2020-09-13,43
2020-09-20,37
2020-09-27,36
2020-10-04,31
2020-10-11,32
2020-10-18,27
2020-10-25,29
2020-11-01,30
2020-11-08,33
2020-11-15,28
2020-11-22,23
2020-11-29,28
2020-12-06,25
2020-12-13,28
2020-12-20,23
2020-12-27,25
2021-01-03,28
2021-01-10,27
2021-01-17,28
2021-01-24,31
2021-01-31,28
2021-02-07,26
2021-02-14,22
2021-02-21,29
2021-02-28,27
2021-03-07,30
2021-03-14,24
2021-03-21,25
2021-03-28,22
2021-04-04,25
2021-04-11,23
2021-04-18,21
2021-04-25,21
2021-05-02,23
2021-05-09,24
2021-05-16,19
2021-05-23,20
2021-05-30,15
2021-06-06,16
2021-06-13,23
2021-06-20,21
2021-06-27,21
2021-07-04,22
2021-07-11,27
2021-07-18,27
2021-07-25,22
2021-08-01,21
2021-08-08,21
2021-08-15,22
2021-08-22,22
2021-08-29,22
2021-09-05,18
2021-09-12,18
2021-09-19,21
2021-09-26,21
2021-10-03,19
2021-10-10,18
2021-10-17,20
2021-10-24,20
2021-10-31,24
2021-11-07,20
2021-11-14,19
2021-11-21,21
2021-11-28,26
2021-12-05,25
2021-12-12,28
2021-12-19,21
2021-12-26,28
2022-01-02,28
2022-01-09,24
2022-01-16,21
2022-01-23,31
2022-01-30,30
2022-02-06,24
2022-02-13,21
2022-02-20,22
2022-02-27,19
2022-03-06,20
2022-03-13,23
2022-03-20,23
2022-03-27,19
2022-04-03,20
2022-04-10,19
2022-04-17,18
2022-04-24,22
2022-05-01,22
2022-05-08,23
2022-05-15,19
2022-05-22,19
2022-05-29,16
2022-06-05,16
2022-06-12,20
2022-06-19,15
2022-06-26,14
2022-07-03,11
2022-07-10,15
2022-07-17,16
2022-07-24,18
2022-07-31,17
2022-08-07,20
2022-08-14,18
2022-08-21,14
2022-08-28,16
2022-09-04,12
2022-09-11,15
2022-09-18,15
2022-09-25,15
2022-10-02,15
2022-10-09,13
2022-10-16,13
2022-10-23,17
2022-10-30,14
2022-11-06,14
2022-11-13,13
2022-11-20,10
2022-11-27,12
2022-12-04,12
2022-12-11,14
2022-12-18,13
2022-12-25,12
2023-01-01,11
2023-01-08,16
2023-01-15,14
2023-01-22,17
2023-01-29,18
2023-02-05,15
2023-02-12,15
2023-02-19,15
2023-02-26,11
2023-03-05,13
2023-03-12,16
2023-03-19,16
2023-03-26,19
2023-04-02,16
2023-04-09,18
2023-04-16,16
2023-04-23,16
2023-04-30,17
2023-05-07,14
2023-05-14,16
2023-05-21,22
2023-05-28,24
2023-06-04,21
2023-06-11,28
2023-06-18,17
2023-06-25,22
2023-07-02,18
2023-07-09,20
2023-07-16,23
2023-07-23,25
2023-07-30,22
2023-08-06,21
2023-08-13,20
2023-08-20,19
2023-08-27,19
2023-09-03,17
2023-09-10,16
2023-09-17,16
2023-09-24,18
2023-10-01,18
2023-10-08,18
2023-10-15,16
2023-10-22,16
2023-10-29,16
2023-11-05,20
2023-11-12,23
2023-11-19,21
2023-11-26,22
2023-12-03,24
2023-12-10,27
2023-12-17,27
2023-12-24,23
2023-12-31,25
2024-01-07,30
2024-01-14,31
2024-01-21,35
2024-01-28,34
2024-02-04,37
2024-02-11,34
2024-02-18,35
2024-02-25,34
2024-03-03,35
2024-03-10,33
2024-03-17,34
2024-03-24,30
2024-03-31,29
2024-04-07,26
2024-04-14,26
2024-04-21,25
2024-04-28,26
2024-05-05,28
2024-05-12,29
2024-05-19,29
2024-05-26,26
2024-06-02,28
2024-06-09,51
2024-06-16,100
2024-06-23,54
2024-06-30,32
2024-07-07,41
2024-07-14,40
2024-07-21,34
2024-07-28,38
2024-08-04,40
2024-08-11,31
2024-08-18,33
2024-08-25,27
2024-09-01,25
2024-09-08,26
2024-09-15,29
2024-09-22,28
2024-09-29,24
2024-10-06,29
2024-10-13,27
2024-10-20,26
2024-10-27,29
2024-11-03,32
2024-11-10,26
2024-11-17,28
2024-11-24,22
2024-12-01,27
2024-12-08,30
2024-12-15,32
2024-12-22,24
2024-12-29,26
2025-01-05,28
2025-01-12,28
2025-01-19,31
2025-01-26,39
2025-02-02,31
2025-02-09,27
2025-02-16,22
2025-02-23,28
2025-03-02,29
2025-03-09,34
2025-03-16,27
2025-03-23,25
2025-03-30,33
2025-04-06,43
2025-04-13,26
2025-04-20,25
2025-04-27,27
2025-05-04,23
2025-05-11,31
2025-05-18,24
2025-05-25,22
2025-06-01,26
2025-06-08,29
2025-06-15,26
2025-06-22,32
2025-06-29,33
2025-07-06,27
2025-07-13,35
2025-07-20,34
2025-07-27,44
