date,Zara
2020-08-02,55
2020-08-09,50
2020-08-16,55
2020-08-23,52
2020-08-30,54
2020-09-06,54
2020-09-13,56
2020-09-20,59
2020-09-27,63
2020-10-04,62
2020-10-11,64
2020-10-18,62
2020-10-25,59
2020-11-01,59
2020-11-08,64
2020-11-15,66
2020-11-22,98
2020-11-29,71
2020-12-06,67
2020-12-13,70
2020-12-20,71
2020-12-27,71
2021-01-03,76
2021-01-10,66
2021-01-17,67
2021-01-24,61
2021-01-31,63
2021-02-07,58
2021-02-14,57
2021-02-21,58
2021-02-28,56
2021-03-07,56
2021-03-14,53
2021-03-21,57
2021-03-28,54
2021-04-04,53
2021-04-11,53
2021-04-18,54
2021-04-25,53
2021-05-02,55
2021-05-09,55
2021-05-16,57
2021-05-23,54
2021-05-30,53
2021-06-06,54
2021-06-13,59
2021-06-20,67
2021-06-27,60
2021-07-04,57
2021-07-11,53
2021-07-18,53
2021-07-25,53
2021-08-01,48
2021-08-08,48
2021-08-15,48
2021-08-22,51
2021-08-29,52
2021-09-05,52
2021-09-12,55
2021-09-19,56
2021-09-26,55
2021-10-03,62
2021-10-10,60
2021-10-17,61
2021-10-24,59
2021-10-31,60
2021-11-07,64
2021-11-14,64
2021-11-21,92
2021-11-28,68
2021-12-05,66
2021-12-12,62
2021-12-19,65
2021-12-26,71
2022-01-02,71
2022-01-09,64
2022-01-16,55
2022-01-23,53
2022-01-30,59
2022-02-06,55
2022-02-13,50
2022-02-20,49
2022-02-27,49
2022-03-06,51
2022-03-13,51
2022-03-20,52
2022-03-27,52
2022-04-03,56
2022-04-10,55
2022-04-17,58
2022-04-24,60
2022-05-01,60
2022-05-08,61
2022-05-15,62
2022-05-22,53
2022-05-29,59
2022-06-05,59
2022-06-12,57
2022-06-19,76
2022-06-26,65
2022-07-03,59
2022-07-10,56
2022-07-17,52
2022-07-24,51
2022-07-31,50
2022-08-07,50
2022-08-14,52
2022-08-21,50
2022-08-28,51
2022-09-04,54
2022-09-11,57
2022-09-18,61
2022-09-25,60
2022-10-02,57
2022-10-09,60
2022-10-16,56
2022-10-23,55
2022-10-30,57
2022-11-06,61
2022-11-13,65
2022-11-20,93
2022-11-27,66
2022-12-04,67
2022-12-11,66
2022-12-18,57
2022-12-25,72
2023-01-01,68
2023-01-08,62
2023-01-15,56
2023-01-22,56
2023-01-29,55
2023-02-05,50
2023-02-12,48
2023-02-19,51
2023-02-26,49
2023-03-05,52
2023-03-12,54
2023-03-19,53
2023-03-26,55
2023-04-02,56
2023-04-09,58
2023-04-16,58
2023-04-23,58
2023-04-30,58
2023-05-07,58
2023-05-14,55
2023-05-21,56
2023-05-28,61
2023-06-04,64
2023-06-11,64
2023-06-18,78
2023-06-25,66
2023-07-02,67
2023-07-09,59
2023-07-16,62
2023-07-23,56
2023-07-30,55
2023-08-06,52
2023-08-13,50
2023-08-20,50
2023-08-27,50
2023-09-03,52
2023-09-10,50
2023-09-17,55
2023-09-24,57
2023-10-01,58
2023-10-08,59
2023-10-15,59
2023-10-22,64
2023-10-29,61
2023-11-05,63
2023-11-12,67
2023-11-19,100
2023-11-26,73
2023-12-03,73
2023-12-10,79
2023-12-17,67
2023-12-24,75
2023-12-31,65
2024-01-07,62
2024-01-14,58
2024-01-21,55
2024-01-28,52
2024-02-04,51
2024-02-11,50
2024-02-18,51
2024-02-25,52
2024-03-03,53
2024-03-10,52
2024-03-17,55
2024-03-24,58
2024-03-31,57
2024-04-07,57
2024-04-14,54
2024-04-21,55
2024-04-28,58
2024-05-05,55
2024-05-12,60
2024-05-19,61
2024-05-26,57
2024-06-02,59
2024-06-09,57
2024-06-16,58
2024-06-23,73
2024-06-30,63
2024-07-07,57
2024-07-14,53
2024-07-21,51
2024-07-28,50
2024-08-04,50
2024-08-11,51
2024-08-18,53
2024-08-25,53
2024-09-01,55
2024-09-08,58
2024-09-15,58
2024-09-22,57
2024-09-29,60
2024-10-06,58
2024-10-13,58
2024-10-20,58
2024-10-27,57
2024-11-03,59
2024-11-10,67
2024-11-17,74
2024-11-24,97
2024-12-01,72
2024-12-08,73
2024-12-15,69
2024-12-22,84
2024-12-29,75
2025-01-05,70
2025-01-12,59
2025-01-19,54
2025-01-26,49
2025-02-02,53
2025-02-09,51
2025-02-16,50
2025-02-23,49
2025-03-02,51
2025-03-09,52
2025-03-16,58
2025-03-23,54
2025-03-30,56
2025-04-06,55
2025-04-13,54
2025-04-20,53
2025-04-27,55
2025-05-04,54
2025-05-11,53
2025-05-18,51
2025-05-25,55
2025-06-01,57
2025-06-08,54
2025-06-15,54
2025-06-22,71
2025-06-29,60
2025-07-06,53
2025-07-13,51
2025-07-20,51
2025-07-27,51
