date,Zoom stock price
2020-08-02,23
2020-08-09,22
2020-08-16,26
2020-08-23,30
2020-08-30,100
2020-09-06,41
2020-09-13,38
2020-09-20,46
2020-09-27,38
2020-10-04,32
2020-10-11,38
2020-10-18,38
2020-10-25,38
2020-11-01,32
2020-11-08,68
2020-11-15,47
2020-11-22,34
2020-11-29,51
2020-12-06,35
2020-12-13,31
2020-12-20,29
2020-12-27,29
2021-01-03,33
2021-01-10,37
2021-01-17,24
2021-01-24,31
2021-01-31,27
2021-02-07,27
2021-02-14,20
2021-02-21,21
2021-02-28,35
2021-03-07,24
2021-03-14,19
2021-03-21,19
2021-03-28,15
2021-04-04,15
2021-04-11,16
2021-04-18,14
2021-04-25,14
2021-05-02,15
2021-05-09,15
2021-05-16,14
2021-05-23,11
2021-05-30,14
2021-06-06,13
2021-06-13,11
2021-06-20,12
2021-06-27,12
2021-07-04,9
2021-07-11,10
2021-07-18,14
2021-07-25,11
2021-08-01,9
2021-08-08,9
2021-08-15,10
2021-08-22,10
2021-08-29,20
2021-09-05,11
2021-09-12,11
2021-09-19,10
2021-09-26,9
2021-10-03,9
2021-10-10,9
2021-10-17,10
2021-10-24,10
2021-10-31,10
2021-11-07,11
2021-11-14,9
2021-11-21,17
2021-11-28,15
2021-12-05,14
2021-12-12,10
2021-12-19,10
2021-12-26,9
2022-01-02,10
2022-01-09,9
2022-01-16,11
2022-01-23,13
2022-01-30,10
2022-02-06,9
2022-02-13,8
2022-02-20,9
2022-02-27,10
2022-03-06,8
2022-03-13,10
2022-03-20,7
2022-03-27,6
2022-04-03,6
2022-04-10,5
2022-04-17,7
2022-04-24,9
2022-05-01,7
2022-05-08,10
2022-05-15,8
2022-05-22,11
2022-05-29,6
2022-06-05,6
2022-06-12,9
2022-06-19,6
2022-06-26,5
2022-07-03,5
2022-07-10,6
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,4
2022-08-14,5
2022-08-21,9
2022-08-28,6
2022-09-04,4
2022-09-11,5
2022-09-18,5
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,4
2022-11-13,4
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,4
2022-12-25,3
2023-01-01,3
2023-01-08,4
2023-01-15,2
2023-01-22,4
2023-01-29,5
2023-02-05,6
2023-02-12,4
2023-02-19,3
2023-02-26,5
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,4
2023-04-30,3
2023-05-07,3
2023-05-14,2
2023-05-21,4
2023-05-28,4
2023-06-04,4
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,4
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,4
2023-08-13,2
2023-08-20,5
2023-08-27,3
2023-09-03,4
2023-09-10,3
2023-09-17,2
2023-09-24,3
2023-10-01,3
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,3
2023-12-10,3
2023-12-17,3
2023-12-24,2
2023-12-31,2
2024-01-07,3
2024-01-14,3
2024-01-21,2
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,7
2024-03-03,4
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,3
2024-05-05,2
2024-05-12,3
2024-05-19,3
2024-05-26,2
2024-06-02,2
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,2
2024-07-07,3
2024-07-14,3
2024-07-21,2
2024-07-28,2
2024-08-04,2
2024-08-11,2
2024-08-18,4
2024-08-25,4
2024-09-01,2
2024-09-08,2
2024-09-15,2
2024-09-22,2
2024-09-29,2
2024-10-06,2
2024-10-13,2
2024-10-20,2
2024-10-27,2
2024-11-03,3
2024-11-10,3
2024-11-17,3
2024-11-24,5
2024-12-01,3
2024-12-08,3
2024-12-15,3
2024-12-22,2
2024-12-29,1
2025-01-05,2
2025-01-12,2
2025-01-19,2
2025-01-26,2
2025-02-02,2
2025-02-09,2
2025-02-16,3
2025-02-23,4
2025-03-02,3
2025-03-09,3
2025-03-16,3
2025-03-23,2
2025-03-30,3
2025-04-06,4
2025-04-13,3
2025-04-20,2
2025-04-27,2
2025-05-04,2
2025-05-11,2
2025-05-18,3
2025-05-25,2
2025-06-01,3
2025-06-08,3
2025-06-15,3
2025-06-22,3
2025-06-29,3
2025-07-06,3
2025-07-13,5
2025-07-20,7
2025-07-27,11
