date,carbon emissions
2020-08-02,21
2020-08-09,22
2020-08-16,23
2020-08-23,24
2020-08-30,26
2020-09-06,30
2020-09-13,39
2020-09-20,43
2020-09-27,42
2020-10-04,40
2020-10-11,38
2020-10-18,55
2020-10-25,37
2020-11-01,35
2020-11-08,37
2020-11-15,34
2020-11-22,30
2020-11-29,34
2020-12-06,37
2020-12-13,30
2020-12-20,17
2020-12-27,16
2021-01-03,22
2021-01-10,26
2021-01-17,41
2021-01-24,37
2021-01-31,33
2021-02-07,33
2021-02-14,33
2021-02-21,37
2021-02-28,37
2021-03-07,35
2021-03-14,33
2021-03-21,34
2021-03-28,33
2021-04-04,33
2021-04-11,34
2021-04-18,57
2021-04-25,45
2021-05-02,43
2021-05-09,41
2021-05-16,35
2021-05-23,37
2021-05-30,31
2021-06-06,31
2021-06-13,32
2021-06-20,28
2021-06-27,27
2021-07-04,28
2021-07-11,32
2021-07-18,32
2021-07-25,29
2021-08-01,27
2021-08-08,42
2021-08-15,31
2021-08-22,30
2021-08-29,29
2021-09-05,33
2021-09-12,37
2021-09-19,42
2021-09-26,42
2021-10-03,43
2021-10-10,42
2021-10-17,47
2021-10-24,56
2021-10-31,71
2021-11-07,62
2021-11-14,54
2021-11-21,43
2021-11-28,46
2021-12-05,47
2021-12-12,43
2021-12-19,24
2021-12-26,22
2022-01-02,35
2022-01-09,42
2022-01-16,45
2022-01-23,47
2022-01-30,45
2022-02-06,46
2022-02-13,55
2022-02-20,52
2022-02-27,54
2022-03-06,56
2022-03-13,56
2022-03-20,57
2022-03-27,67
2022-04-03,60
2022-04-10,59
2022-04-17,62
2022-04-24,68
2022-05-01,60
2022-05-08,62
2022-05-15,58
2022-05-22,54
2022-05-29,46
2022-06-05,48
2022-06-12,40
2022-06-19,40
2022-06-26,39
2022-07-03,36
2022-07-10,37
2022-07-17,42
2022-07-24,45
2022-07-31,46
2022-08-07,41
2022-08-14,41
2022-08-21,42
2022-08-28,44
2022-09-04,45
2022-09-11,45
2022-09-18,48
2022-09-25,46
2022-10-02,46
2022-10-09,49
2022-10-16,54
2022-10-23,55
2022-10-30,56
2022-11-06,61
2022-11-13,65
2022-11-20,50
2022-11-27,60
2022-12-04,60
2022-12-11,51
2022-12-18,34
2022-12-25,27
2023-01-01,37
2023-01-08,47
2023-01-15,51
2023-01-22,52
2023-01-29,54
2023-02-05,54
2023-02-12,53
2023-02-19,54
2023-02-26,59
2023-03-05,56
2023-03-12,57
2023-03-19,63
2023-03-26,61
2023-04-02,51
2023-04-09,55
2023-04-16,62
2023-04-23,66
2023-04-30,58
2023-05-07,57
2023-05-14,57
2023-05-21,51
2023-05-28,48
2023-06-04,51
2023-06-11,44
2023-06-18,41
2023-06-25,42
2023-07-02,37
2023-07-09,41
2023-07-16,46
2023-07-23,46
2023-07-30,47
2023-08-06,42
2023-08-13,43
2023-08-20,46
2023-08-27,46
2023-09-03,49
2023-09-10,50
2023-09-17,50
2023-09-24,55
2023-10-01,53
2023-10-08,55
2023-10-15,55
2023-10-22,58
2023-10-29,57
2023-11-05,59
2023-11-12,60
2023-11-19,51
2023-11-26,66
2023-12-03,65
2023-12-10,59
2023-12-17,43
2023-12-24,39
2023-12-31,47
2024-01-07,49
2024-01-14,51
2024-01-21,56
2024-01-28,64
2024-02-04,92
2024-02-11,100
2024-02-18,65
2024-02-25,70
2024-03-03,67
2024-03-10,64
2024-03-17,68
2024-03-24,63
2024-03-31,64
2024-04-07,64
2024-04-14,74
2024-04-21,79
2024-04-28,72
2024-05-05,66
2024-05-12,63
2024-05-19,55
2024-05-26,54
2024-06-02,53
2024-06-09,46
2024-06-16,43
2024-06-23,42
2024-06-30,36
2024-07-07,41
2024-07-14,36
2024-07-21,39
2024-07-28,36
2024-08-04,36
2024-08-11,34
2024-08-18,40
2024-08-25,40
2024-09-01,44
2024-09-08,48
2024-09-15,51
2024-09-22,51
2024-09-29,54
2024-10-06,57
2024-10-13,56
2024-10-20,58
2024-10-27,59
2024-11-03,63
2024-11-10,69
2024-11-17,66
2024-11-24,54
2024-12-01,67
2024-12-08,58
2024-12-15,46
2024-12-22,25
2024-12-29,27
2025-01-05,46
2025-01-12,50
2025-01-19,51
2025-01-26,51
2025-02-02,52
2025-02-09,56
2025-02-16,50
2025-02-23,57
2025-03-02,58
2025-03-09,56
2025-03-16,56
2025-03-23,57
2025-03-30,56
2025-04-06,58
2025-04-13,53
2025-04-20,59
2025-04-27,64
2025-05-04,55
2025-05-11,56
2025-05-18,45
2025-05-25,45
2025-06-01,49
2025-06-08,47
2025-06-15,43
2025-06-22,40
2025-06-29,35
2025-07-06,37
2025-07-13,42
2025-07-20,46
2025-07-27,56
