date,commodity prices
2020-08-02,31
2020-08-09,33
2020-08-16,33
2020-08-23,30
2020-08-30,32
2020-09-06,32
2020-09-13,33
2020-09-20,36
2020-09-27,31
2020-10-04,30
2020-10-11,31
2020-10-18,31
2020-10-25,28
2020-11-01,25
2020-11-08,29
2020-11-15,28
2020-11-22,27
2020-11-29,32
2020-12-06,28
2020-12-13,31
2020-12-20,26
2020-12-27,26
2021-01-03,36
2021-01-10,36
2021-01-17,35
2021-01-24,36
2021-01-31,38
2021-02-07,33
2021-02-14,35
2021-02-21,37
2021-02-28,40
2021-03-07,38
2021-03-14,34
2021-03-21,33
2021-03-28,31
2021-04-04,31
2021-04-11,32
2021-04-18,39
2021-04-25,37
2021-05-02,42
2021-05-09,51
2021-05-16,43
2021-05-23,35
2021-05-30,34
2021-06-06,35
2021-06-13,39
2021-06-20,34
2021-06-27,32
2021-07-04,31
2021-07-11,31
2021-07-18,35
2021-07-25,29
2021-08-01,29
2021-08-08,33
2021-08-15,33
2021-08-22,31
2021-08-29,29
2021-09-05,29
2021-09-12,34
2021-09-19,36
2021-09-26,39
2021-10-03,37
2021-10-10,37
2021-10-17,41
2021-10-24,37
2021-10-31,32
2021-11-07,37
2021-11-14,31
2021-11-21,30
2021-11-28,34
2021-12-05,32
2021-12-12,32
2021-12-19,31
2021-12-26,26
2022-01-02,34
2022-01-09,32
2022-01-16,33
2022-01-23,38
2022-01-30,40
2022-02-06,40
2022-02-13,45
2022-02-20,63
2022-02-27,71
2022-03-06,100
2022-03-13,72
2022-03-20,61
2022-03-27,59
2022-04-03,50
2022-04-10,45
2022-04-17,50
2022-04-24,50
2022-05-01,47
2022-05-08,50
2022-05-15,49
2022-05-22,42
2022-05-29,43
2022-06-05,43
2022-06-12,49
2022-06-19,51
2022-06-26,42
2022-07-03,51
2022-07-10,53
2022-07-17,47
2022-07-24,48
2022-07-31,44
2022-08-07,42
2022-08-14,43
2022-08-21,42
2022-08-28,47
2022-09-04,39
2022-09-11,42
2022-09-18,47
2022-09-25,48
2022-10-02,46
2022-10-09,46
2022-10-16,39
2022-10-23,41
2022-10-30,43
2022-11-06,40
2022-11-13,39
2022-11-20,33
2022-11-27,36
2022-12-04,41
2022-12-11,37
2022-12-18,33
2022-12-25,33
2023-01-01,36
2023-01-08,37
2023-01-15,36
2023-01-22,38
2023-01-29,41
2023-02-05,37
2023-02-12,34
2023-02-19,37
2023-02-26,38
2023-03-05,38
2023-03-12,39
2023-03-19,42
2023-03-26,37
2023-04-02,36
2023-04-09,34
2023-04-16,37
2023-04-23,34
2023-04-30,40
2023-05-07,36
2023-05-14,37
2023-05-21,32
2023-05-28,31
2023-06-04,34
2023-06-11,33
2023-06-18,32
2023-06-25,33
2023-07-02,29
2023-07-09,28
2023-07-16,33
2023-07-23,30
2023-07-30,30
2023-08-06,32
2023-08-13,30
2023-08-20,29
2023-08-27,29
2023-09-03,28
2023-09-10,30
2023-09-17,32
2023-09-24,33
2023-10-01,36
2023-10-08,36
2023-10-15,37
2023-10-22,33
2023-10-29,36
2023-11-05,33
2023-11-12,30
2023-11-19,30
2023-11-26,32
2023-12-03,36
2023-12-10,35
2023-12-17,32
2023-12-24,23
2023-12-31,25
2024-01-07,28
2024-01-14,29
2024-01-21,29
2024-01-28,29
2024-02-04,28
2024-02-11,26
2024-02-18,25
2024-02-25,31
2024-03-03,27
2024-03-10,28
2024-03-17,28
2024-03-24,26
2024-03-31,28
2024-04-07,33
2024-04-14,30
2024-04-21,28
2024-04-28,29
2024-05-05,28
2024-05-12,30
2024-05-19,27
2024-05-26,23
2024-06-02,25
2024-06-09,23
2024-06-16,23
2024-06-23,22
2024-06-30,21
2024-07-07,22
2024-07-14,21
2024-07-21,25
2024-07-28,22
2024-08-04,23
2024-08-11,26
2024-08-18,27
2024-08-25,23
2024-09-01,24
2024-09-08,26
2024-09-15,25
2024-09-22,28
2024-09-29,28
2024-10-06,25
2024-10-13,26
2024-10-20,28
2024-10-27,25
2024-11-03,31
2024-11-10,27
2024-11-17,25
2024-11-24,21
2024-12-01,24
2024-12-08,23
2024-12-15,20
2024-12-22,17
2024-12-29,18
2025-01-05,22
2025-01-12,25
2025-01-19,26
2025-01-26,25
2025-02-02,31
2025-02-09,30
2025-02-16,26
2025-02-23,26
2025-03-02,31
2025-03-09,30
2025-03-16,27
2025-03-23,28
2025-03-30,34
2025-04-06,36
2025-04-13,27
2025-04-20,28
2025-04-27,28
2025-05-04,28
2025-05-11,23
2025-05-18,22
2025-05-25,20
2025-06-01,26
2025-06-08,33
2025-06-15,35
2025-06-22,36
2025-06-29,30
2025-07-06,33
2025-07-13,35
2025-07-20,39
2025-07-27,42
