date,emerging markets
2020-08-02,50
2020-08-09,48
2020-08-16,47
2020-08-23,49
2020-08-30,52
2020-09-06,52
2020-09-13,51
2020-09-20,50
2020-09-27,47
2020-10-04,52
2020-10-11,48
2020-10-18,50
2020-10-25,48
2020-11-01,49
2020-11-08,61
2020-11-15,62
2020-11-22,59
2020-11-29,62
2020-12-06,63
2020-12-13,60
2020-12-20,50
2020-12-27,56
2021-01-03,76
2021-01-10,80
2021-01-17,86
2021-01-24,88
2021-01-31,86
2021-02-07,80
2021-02-14,83
2021-02-21,78
2021-02-28,72
2021-03-07,77
2021-03-14,69
2021-03-21,66
2021-03-28,62
2021-04-04,63
2021-04-11,65
2021-04-18,63
2021-04-25,65
2021-05-02,60
2021-05-09,58
2021-05-16,56
2021-05-23,54
2021-05-30,53
2021-06-06,52
2021-06-13,51
2021-06-20,50
2021-06-27,56
2021-07-04,55
2021-07-11,54
2021-07-18,52
2021-07-25,69
2021-08-01,52
2021-08-08,50
2021-08-15,55
2021-08-22,52
2021-08-29,57
2021-09-05,49
2021-09-12,55
2021-09-19,55
2021-09-26,51
2021-10-03,53
2021-10-10,52
2021-10-17,50
2021-10-24,53
2021-10-31,55
2021-11-07,57
2021-11-14,61
2021-11-21,49
2021-11-28,53
2021-12-05,52
2021-12-12,46
2021-12-19,39
2021-12-26,50
2022-01-02,65
2022-01-09,65
2022-01-16,57
2022-01-23,67
2022-01-30,60
2022-02-06,59
2022-02-13,58
2022-02-20,59
2022-02-27,72
2022-03-06,68
2022-03-13,72
2022-03-20,61
2022-03-27,57
2022-04-03,50
2022-04-10,45
2022-04-17,50
2022-04-24,51
2022-05-01,46
2022-05-08,47
2022-05-15,44
2022-05-22,40
2022-05-29,39
2022-06-05,41
2022-06-12,40
2022-06-19,40
2022-06-26,37
2022-07-03,40
2022-07-10,42
2022-07-17,41
2022-07-24,40
2022-07-31,41
2022-08-07,41
2022-08-14,39
2022-08-21,38
2022-08-28,40
2022-09-04,37
2022-09-11,40
2022-09-18,40
2022-09-25,43
2022-10-02,40
2022-10-09,41
2022-10-16,40
2022-10-23,48
2022-10-30,45
2022-11-06,43
2022-11-13,44
2022-11-20,36
2022-11-27,41
2022-12-04,42
2022-12-11,40
2022-12-18,33
2022-12-25,28
2023-01-01,42
2023-01-08,49
2023-01-15,46
2023-01-22,53
2023-01-29,53
2023-02-05,51
2023-02-12,45
2023-02-19,40
2023-02-26,44
2023-03-05,39
2023-03-12,40
2023-03-19,39
2023-03-26,42
2023-04-02,39
2023-04-09,42
2023-04-16,40
2023-04-23,40
2023-04-30,39
2023-05-07,36
2023-05-14,36
2023-05-21,39
2023-05-28,36
2023-06-04,38
2023-06-11,39
2023-06-18,34
2023-06-25,38
2023-07-02,35
2023-07-09,41
2023-07-16,38
2023-07-23,44
2023-07-30,41
2023-08-06,38
2023-08-13,39
2023-08-20,39
2023-08-27,38
2023-09-03,40
2023-09-10,40
2023-09-17,44
2023-09-24,39
2023-10-01,37
2023-10-08,39
2023-10-15,37
2023-10-22,38
2023-10-29,39
2023-11-05,37
2023-11-12,39
2023-11-19,33
2023-11-26,45
2023-12-03,42
2023-12-10,44
2023-12-17,39
2023-12-24,37
2023-12-31,43
2024-01-07,47
2024-01-14,50
2024-01-21,50
2024-01-28,54
2024-02-04,56
2024-02-11,51
2024-02-18,49
2024-02-25,52
2024-03-03,48
2024-03-10,48
2024-03-17,51
2024-03-24,50
2024-03-31,48
2024-04-07,45
2024-04-14,44
2024-04-21,44
2024-04-28,45
2024-05-05,43
2024-05-12,46
2024-05-19,45
2024-05-26,42
2024-06-02,46
2024-06-09,44
2024-06-16,47
2024-06-23,43
2024-06-30,42
2024-07-07,44
2024-07-14,40
2024-07-21,43
2024-07-28,41
2024-08-04,44
2024-08-11,43
2024-08-18,44
2024-08-25,43
2024-09-01,44
2024-09-08,45
2024-09-15,47
2024-09-22,55
2024-09-29,57
2024-10-06,57
2024-10-13,54
2024-10-20,53
2024-10-27,45
2024-11-03,49
2024-11-10,54
2024-11-17,54
2024-11-24,47
2024-12-01,54
2024-12-08,51
2024-12-15,47
2024-12-22,37
2024-12-29,46
2025-01-05,52
2025-01-12,56
2025-01-19,53
2025-01-26,58
2025-02-02,60
2025-02-09,62
2025-02-16,62
2025-02-23,60
2025-03-02,63
2025-03-09,57
2025-03-16,62
2025-03-23,55
2025-03-30,60
2025-04-06,75
2025-04-13,48
2025-04-20,49
2025-04-27,53
2025-05-04,49
2025-05-11,57
2025-05-18,56
2025-05-25,49
2025-06-01,60
2025-06-08,69
2025-06-15,63
2025-06-22,65
2025-06-29,60
2025-07-06,63
2025-07-13,71
2025-07-20,79
2025-07-27,100
