date,fashion week
2020-08-02,13
2020-08-09,14
2020-08-16,14
2020-08-23,16
2020-08-30,18
2020-09-06,23
2020-09-13,25
2020-09-20,30
2020-09-27,35
2020-10-04,26
2020-10-11,18
2020-10-18,17
2020-10-25,15
2020-11-01,13
2020-11-08,35
2020-11-15,14
2020-11-22,12
2020-11-29,12
2020-12-06,12
2020-12-13,11
2020-12-20,10
2020-12-27,10
2021-01-03,12
2021-01-10,14
2021-01-17,18
2021-01-24,17
2021-01-31,16
2021-02-07,14
2021-02-14,19
2021-02-21,18
2021-02-28,18
2021-03-07,15
2021-03-14,16
2021-03-21,14
2021-03-28,12
2021-04-04,13
2021-04-11,13
2021-04-18,13
2021-04-25,13
2021-05-02,14
2021-05-09,12
2021-05-16,12
2021-05-23,11
2021-05-30,16
2021-06-06,13
2021-06-13,14
2021-06-20,16
2021-06-27,14
2021-07-04,17
2021-07-11,14
2021-07-18,15
2021-07-25,14
2021-08-01,13
2021-08-08,17
2021-08-15,16
2021-08-22,18
2021-08-29,24
2021-09-05,50
2021-09-12,56
2021-09-19,82
2021-09-26,78
2021-10-03,50
2021-10-10,24
2021-10-17,19
2021-10-24,17
2021-10-31,16
2021-11-07,15
2021-11-14,18
2021-11-21,15
2021-11-28,14
2021-12-05,13
2021-12-12,13
2021-12-19,12
2021-12-26,12
2022-01-02,18
2022-01-09,21
2022-01-16,29
2022-01-23,34
2022-01-30,27
2022-02-06,39
2022-02-13,44
2022-02-20,54
2022-02-27,63
2022-03-06,76
2022-03-13,37
2022-03-20,26
2022-03-27,25
2022-04-03,22
2022-04-10,21
2022-04-17,18
2022-04-24,19
2022-05-01,19
2022-05-08,20
2022-05-15,21
2022-05-22,36
2022-05-29,20
2022-06-05,20
2022-06-12,21
2022-06-19,40
2022-06-26,29
2022-07-03,31
2022-07-10,31
2022-07-17,53
2022-07-24,100
2022-07-31,43
2022-08-07,47
2022-08-14,33
2022-08-21,35
2022-08-28,38
2022-09-04,62
2022-09-11,79
2022-09-18,84
2022-09-25,92
2022-10-02,76
2022-10-09,40
2022-10-16,26
2022-10-23,24
2022-10-30,20
2022-11-06,21
2022-11-13,20
2022-11-20,18
2022-11-27,17
2022-12-04,18
2022-12-11,16
2022-12-18,16
2022-12-25,18
2023-01-01,22
2023-01-08,36
2023-01-15,59
2023-01-22,71
2023-01-29,44
2023-02-05,42
2023-02-12,51
2023-02-19,70
2023-02-26,60
2023-03-05,49
2023-03-12,29
2023-03-19,24
2023-03-26,23
2023-04-02,19
2023-04-09,20
2023-04-16,23
2023-04-23,20
2023-04-30,18
2023-05-07,21
2023-05-14,22
2023-05-21,24
2023-05-28,20
2023-06-04,19
2023-06-11,23
2023-06-18,36
2023-06-25,23
2023-07-02,29
2023-07-09,23
2023-07-16,21
2023-07-23,20
2023-07-30,20
2023-08-06,24
2023-08-13,23
2023-08-20,24
2023-08-27,35
2023-09-03,54
2023-09-10,75
2023-09-17,88
2023-09-24,91
2023-10-01,72
2023-10-08,37
2023-10-15,28
2023-10-22,23
2023-10-29,22
2023-11-05,21
2023-11-12,24
2023-11-19,17
2023-11-26,17
2023-12-03,19
2023-12-10,17
2023-12-17,17
2023-12-24,15
2023-12-31,22
2024-01-07,37
2024-01-14,51
2024-01-21,59
2024-01-28,44
2024-02-04,50
2024-02-11,50
2024-02-18,66
2024-02-25,73
2024-03-03,52
2024-03-10,27
2024-03-17,25
2024-03-24,21
2024-03-31,23
2024-04-07,23
2024-04-14,29
2024-04-21,24
2024-04-28,21
2024-05-05,24
2024-05-12,24
2024-05-19,24
2024-05-26,23
2024-06-02,24
2024-06-09,27
2024-06-16,38
2024-06-23,35
2024-06-30,24
2024-07-07,21
2024-07-14,21
2024-07-21,24
2024-07-28,23
2024-08-04,30
2024-08-11,28
2024-08-18,28
2024-08-25,35
2024-09-01,58
2024-09-08,78
2024-09-15,84
2024-09-22,88
2024-09-29,56
2024-10-06,36
2024-10-13,34
2024-10-20,28
2024-10-27,22
2024-11-03,21
2024-11-10,22
2024-11-17,23
2024-11-24,22
2024-12-01,21
2024-12-08,20
2024-12-15,20
2024-12-22,17
2024-12-29,23
2025-01-05,33
2025-01-12,46
2025-01-19,60
2025-01-26,65
2025-02-02,53
2025-02-09,42
2025-02-16,42
2025-02-23,66
2025-03-02,62
2025-03-09,52
2025-03-16,30
2025-03-23,27
2025-03-30,27
2025-04-06,27
2025-04-13,22
2025-04-20,22
2025-04-27,20
2025-05-04,23
2025-05-11,25
2025-05-18,24
2025-05-25,22
2025-06-01,23
2025-06-08,25
2025-06-15,27
2025-06-22,43
2025-06-29,32
2025-07-06,26
2025-07-13,23
2025-07-20,28
2025-07-27,28
