date,fintech trends
2020-08-02,9
2020-08-09,8
2020-08-16,7
2020-08-23,7
2020-08-30,10
2020-09-06,9
2020-09-13,12
2020-09-20,9
2020-09-27,10
2020-10-04,10
2020-10-11,0
2020-10-18,9
2020-10-25,9
2020-11-01,9
2020-11-08,0
2020-11-15,0
2020-11-22,7
2020-11-29,10
2020-12-06,10
2020-12-13,8
2020-12-20,10
2020-12-27,0
2021-01-03,13
2021-01-10,7
2021-01-17,11
2021-01-24,7
2021-01-31,6
2021-02-07,11
2021-02-14,9
2021-02-21,11
2021-02-28,6
2021-03-07,10
2021-03-14,7
2021-03-21,9
2021-03-28,0
2021-04-04,0
2021-04-11,9
2021-04-18,11
2021-04-25,9
2021-05-02,7
2021-05-09,11
2021-05-16,8
2021-05-23,0
2021-05-30,0
2021-06-06,8
2021-06-13,7
2021-06-20,8
2021-06-27,13
2021-07-04,11
2021-07-11,0
2021-07-18,7
2021-07-25,12
2021-08-01,8
2021-08-08,11
2021-08-15,9
2021-08-22,9
2021-08-29,6
2021-09-05,7
2021-09-12,9
2021-09-19,14
2021-09-26,9
2021-10-03,10
2021-10-10,12
2021-10-17,10
2021-10-24,9
2021-10-31,10
2021-11-07,11
2021-11-14,11
2021-11-21,9
2021-11-28,11
2021-12-05,0
2021-12-12,16
2021-12-19,0
2021-12-26,0
2022-01-02,13
2022-01-09,12
2022-01-16,14
2022-01-23,16
2022-01-30,17
2022-02-06,14
2022-02-13,14
2022-02-20,16
2022-02-27,11
2022-03-06,9
2022-03-13,12
2022-03-20,12
2022-03-27,14
2022-04-03,13
2022-04-10,12
2022-04-17,18
2022-04-24,17
2022-05-01,12
2022-05-08,13
2022-05-15,9
2022-05-22,12
2022-05-29,13
2022-06-05,13
2022-06-12,9
2022-06-19,11
2022-06-26,11
2022-07-03,12
2022-07-10,10
2022-07-17,9
2022-07-24,10
2022-07-31,12
2022-08-07,11
2022-08-14,7
2022-08-21,13
2022-08-28,9
2022-09-04,12
2022-09-11,12
2022-09-18,15
2022-09-25,14
2022-10-02,15
2022-10-09,10
2022-10-16,11
2022-10-23,11
2022-10-30,12
2022-11-06,12
2022-11-13,12
2022-11-20,12
2022-11-27,15
2022-12-04,15
2022-12-11,13
2022-12-18,9
2022-12-25,13
2023-01-01,8
2023-01-08,16
2023-01-15,15
2023-01-22,15
2023-01-29,15
2023-02-05,18
2023-02-12,14
2023-02-19,14
2023-02-26,17
2023-03-05,14
2023-03-12,12
2023-03-19,15
2023-03-26,12
2023-04-02,11
2023-04-09,13
2023-04-16,10
2023-04-23,12
2023-04-30,12
2023-05-07,12
2023-05-14,11
2023-05-21,12
2023-05-28,11
2023-06-04,10
2023-06-11,9
2023-06-18,13
2023-06-25,9
2023-07-02,11
2023-07-09,9
2023-07-16,9
2023-07-23,13
2023-07-30,18
2023-08-06,11
2023-08-13,9
2023-08-20,14
2023-08-27,7
2023-09-03,8
2023-09-10,10
2023-09-17,11
2023-09-24,13
2023-10-01,14
2023-10-08,13
2023-10-15,11
2023-10-22,9
2023-10-29,16
2023-11-05,9
2023-11-12,10
2023-11-19,12
2023-11-26,11
2023-12-03,13
2023-12-10,13
2023-12-17,8
2023-12-24,9
2023-12-31,11
2024-01-07,14
2024-01-14,17
2024-01-21,17
2024-01-28,17
2024-02-04,20
2024-02-11,16
2024-02-18,15
2024-02-25,14
2024-03-03,15
2024-03-10,15
2024-03-17,14
2024-03-24,15
2024-03-31,11
2024-04-07,10
2024-04-14,10
2024-04-21,17
2024-04-28,10
2024-05-05,11
2024-05-12,10
2024-05-19,7
2024-05-26,11
2024-06-02,13
2024-06-09,18
2024-06-16,12
2024-06-23,16
2024-06-30,10
2024-07-07,12
2024-07-14,14
2024-07-21,9
2024-07-28,11
2024-08-04,14
2024-08-11,15
2024-08-18,12
2024-08-25,15
2024-09-01,17
2024-09-08,8
2024-09-15,9
2024-09-22,11
2024-09-29,9
2024-10-06,6
2024-10-13,13
2024-10-20,16
2024-10-27,7
2024-11-03,12
2024-11-10,15
2024-11-17,18
2024-11-24,11
2024-12-01,16
2024-12-08,12
2024-12-15,8
2024-12-22,8
2024-12-29,12
2025-01-05,10
2025-01-12,16
2025-01-19,15
2025-01-26,18
2025-02-02,11
2025-02-09,20
2025-02-16,16
2025-02-23,20
2025-03-02,20
2025-03-09,18
2025-03-16,14
2025-03-23,21
2025-03-30,17
2025-04-06,13
2025-04-13,10
2025-04-20,19
2025-04-27,14
2025-05-04,15
2025-05-11,23
2025-05-18,18
2025-05-25,19
2025-06-01,36
2025-06-08,69
2025-06-15,72
2025-06-22,79
2025-06-29,63
2025-07-06,62
2025-07-13,78
2025-07-20,78
2025-07-27,100
