date,gaming industry
2020-08-02,32
2020-08-09,32
2020-08-16,29
2020-08-23,34
2020-08-30,33
2020-09-06,37
2020-09-13,32
2020-09-20,39
2020-09-27,30
2020-10-04,33
2020-10-11,30
2020-10-18,30
2020-10-25,26
2020-11-01,26
2020-11-08,31
2020-11-15,35
2020-11-22,31
2020-11-29,34
2020-12-06,30
2020-12-13,28
2020-12-20,25
2020-12-27,22
2021-01-03,25
2021-01-10,27
2021-01-17,30
2021-01-24,31
2021-01-31,30
2021-02-07,31
2021-02-14,30
2021-02-21,31
2021-02-28,30
2021-03-07,28
2021-03-14,33
2021-03-21,26
2021-03-28,27
2021-04-04,28
2021-04-11,29
2021-04-18,30
2021-04-25,35
2021-05-02,33
2021-05-09,28
2021-05-16,32
2021-05-23,31
2021-05-30,28
2021-06-06,32
2021-06-13,30
2021-06-20,30
2021-06-27,28
2021-07-04,23
2021-07-11,26
2021-07-18,28
2021-07-25,31
2021-08-01,27
2021-08-08,25
2021-08-15,26
2021-08-22,25
2021-08-29,27
2021-09-05,29
2021-09-12,30
2021-09-19,32
2021-09-26,25
2021-10-03,32
2021-10-10,32
2021-10-17,31
2021-10-24,28
2021-10-31,33
2021-11-07,35
2021-11-14,38
2021-11-21,34
2021-11-28,38
2021-12-05,33
2021-12-12,29
2021-12-19,23
2021-12-26,25
2022-01-02,37
2022-01-09,44
2022-01-16,48
2022-01-23,45
2022-01-30,46
2022-02-06,46
2022-02-13,48
2022-02-20,48
2022-02-27,44
2022-03-06,49
2022-03-13,46
2022-03-20,45
2022-03-27,48
2022-04-03,48
2022-04-10,42
2022-04-17,47
2022-04-24,46
2022-05-01,46
2022-05-08,51
2022-05-15,43
2022-05-22,41
2022-05-29,37
2022-06-05,39
2022-06-12,39
2022-06-19,35
2022-06-26,34
2022-07-03,32
2022-07-10,35
2022-07-17,34
2022-07-24,38
2022-07-31,36
2022-08-07,35
2022-08-14,37
2022-08-21,36
2022-08-28,34
2022-09-04,39
2022-09-11,45
2022-09-18,42
2022-09-25,38
2022-10-02,36
2022-10-09,43
2022-10-16,37
2022-10-23,37
2022-10-30,43
2022-11-06,39
2022-11-13,42
2022-11-20,38
2022-11-27,45
2022-12-04,44
2022-12-11,39
2022-12-18,30
2022-12-25,25
2023-01-01,35
2023-01-08,42
2023-01-15,44
2023-01-22,40
2023-01-29,45
2023-02-05,44
2023-02-12,41
2023-02-19,45
2023-02-26,46
2023-03-05,43
2023-03-12,41
2023-03-19,42
2023-03-26,42
2023-04-02,43
2023-04-09,45
2023-04-16,40
2023-04-23,44
2023-04-30,44
2023-05-07,39
2023-05-14,43
2023-05-21,39
2023-05-28,36
2023-06-04,38
2023-06-11,36
2023-06-18,36
2023-06-25,35
2023-07-02,38
2023-07-09,51
2023-07-16,46
2023-07-23,38
2023-07-30,39
2023-08-06,43
2023-08-13,43
2023-08-20,40
2023-08-27,44
2023-09-03,46
2023-09-10,45
2023-09-17,44
2023-09-24,46
2023-10-01,43
2023-10-08,45
2023-10-15,49
2023-10-22,43
2023-10-29,41
2023-11-05,44
2023-11-12,46
2023-11-19,37
2023-11-26,48
2023-12-03,60
2023-12-10,47
2023-12-17,42
2023-12-24,37
2023-12-31,44
2024-01-07,46
2024-01-14,44
2024-01-21,52
2024-01-28,53
2024-02-04,47
2024-02-11,51
2024-02-18,47
2024-02-25,62
2024-03-03,52
2024-03-10,51
2024-03-17,45
2024-03-24,49
2024-03-31,40
2024-04-07,45
2024-04-14,49
2024-04-21,51
2024-04-28,51
2024-05-05,44
2024-05-12,43
2024-05-19,41
2024-05-26,40
2024-06-02,43
2024-06-09,47
2024-06-16,40
2024-06-23,39
2024-06-30,37
2024-07-07,36
2024-07-14,34
2024-07-21,43
2024-07-28,37
2024-08-04,34
2024-08-11,35
2024-08-18,40
2024-08-25,41
2024-09-01,37
2024-09-08,46
2024-09-15,43
2024-09-22,44
2024-09-29,46
2024-10-06,42
2024-10-13,45
2024-10-20,48
2024-10-27,42
2024-11-03,43
2024-11-10,49
2024-11-17,42
2024-11-24,45
2024-12-01,50
2024-12-08,47
2024-12-15,39
2024-12-22,31
2024-12-29,36
2025-01-05,43
2025-01-12,40
2025-01-19,40
2025-01-26,45
2025-02-02,47
2025-02-09,48
2025-02-16,58
2025-02-23,55
2025-03-02,47
2025-03-09,48
2025-03-16,43
2025-03-23,49
2025-03-30,50
2025-04-06,47
2025-04-13,47
2025-04-20,44
2025-04-27,52
2025-05-04,47
2025-05-11,43
2025-05-18,38
2025-05-25,41
2025-06-01,54
2025-06-08,83
2025-06-15,66
2025-06-22,71
2025-06-29,67
2025-07-06,61
2025-07-13,74
2025-07-20,70
2025-07-27,100
