date,housing market
2020-08-02,37
2020-08-09,39
2020-08-16,37
2020-08-23,28
2020-08-30,33
2020-09-06,30
2020-09-13,30
2020-09-20,32
2020-09-27,28
2020-10-04,33
2020-10-11,29
2020-10-18,30
2020-10-25,29
2020-11-01,28
2020-11-08,29
2020-11-15,27
2020-11-22,26
2020-11-29,26
2020-12-06,27
2020-12-13,25
2020-12-20,24
2020-12-27,28
2021-01-03,32
2021-01-10,32
2021-01-17,33
2021-01-24,33
2021-01-31,31
2021-02-07,30
2021-02-14,30
2021-02-21,35
2021-02-28,34
2021-03-07,38
2021-03-14,35
2021-03-21,37
2021-03-28,42
2021-04-04,44
2021-04-11,41
2021-04-18,44
2021-04-25,41
2021-05-02,42
2021-05-09,45
2021-05-16,45
2021-05-23,46
2021-05-30,43
2021-06-06,47
2021-06-13,49
2021-06-20,44
2021-06-27,47
2021-07-04,44
2021-07-11,48
2021-07-18,43
2021-07-25,76
2021-08-01,44
2021-08-08,39
2021-08-15,39
2021-08-22,45
2021-08-29,36
2021-09-05,38
2021-09-12,38
2021-09-19,39
2021-09-26,40
2021-10-03,38
2021-10-10,38
2021-10-17,37
2021-10-24,35
2021-10-31,41
2021-11-07,35
2021-11-14,34
2021-11-21,29
2021-11-28,33
2021-12-05,35
2021-12-12,36
2021-12-19,29
2021-12-26,41
2022-01-02,37
2022-01-09,36
2022-01-16,34
2022-01-23,45
2022-01-30,41
2022-02-06,47
2022-02-13,48
2022-02-20,62
2022-02-27,48
2022-03-06,53
2022-03-13,53
2022-03-20,62
2022-03-27,65
2022-04-03,68
2022-04-10,65
2022-04-17,65
2022-04-24,58
2022-05-01,68
2022-05-08,75
2022-05-15,67
2022-05-22,69
2022-05-29,75
2022-06-05,67
2022-06-12,100
2022-06-19,75
2022-06-26,80
2022-07-03,79
2022-07-10,74
2022-07-17,71
2022-07-24,81
2022-07-31,72
2022-08-07,71
2022-08-14,70
2022-08-21,76
2022-08-28,79
2022-09-04,68
2022-09-11,73
2022-09-18,71
2022-09-25,75
2022-10-02,69
2022-10-09,66
2022-10-16,70
2022-10-23,73
2022-10-30,69
2022-11-06,58
2022-11-13,62
2022-11-20,47
2022-11-27,56
2022-12-04,56
2022-12-11,47
2022-12-18,44
2022-12-25,67
2023-01-01,62
2023-01-08,57
2023-01-15,52
2023-01-22,68
2023-01-29,65
2023-02-05,51
2023-02-12,51
2023-02-19,63
2023-02-26,64
2023-03-05,68
2023-03-12,59
2023-03-19,52
2023-03-26,40
2023-04-02,65
2023-04-09,49
2023-04-16,47
2023-04-23,41
2023-04-30,41
2023-05-07,44
2023-05-14,45
2023-05-21,48
2023-05-28,47
2023-06-04,59
2023-06-11,38
2023-06-18,43
2023-06-25,43
2023-07-02,50
2023-07-09,40
2023-07-16,36
2023-07-23,37
2023-07-30,43
2023-08-06,33
2023-08-13,43
2023-08-20,42
2023-08-27,46
2023-09-03,45
2023-09-10,51
2023-09-17,32
2023-09-24,29
2023-10-01,31
2023-10-08,29
2023-10-15,30
2023-10-22,33
2023-10-29,33
2023-11-05,30
2023-11-12,27
2023-11-19,26
2023-11-26,27
2023-12-03,30
2023-12-10,28
2023-12-17,25
2023-12-24,26
2023-12-31,27
2024-01-07,28
2024-01-14,28
2024-01-21,30
2024-01-28,28
2024-02-04,27
2024-02-11,27
2024-02-18,28
2024-02-25,28
2024-03-03,29
2024-03-10,28
2024-03-17,30
2024-03-24,29
2024-03-31,29
2024-04-07,27
2024-04-14,28
2024-04-21,29
2024-04-28,31
2024-05-05,29
2024-05-12,27
2024-05-19,26
2024-05-26,24
2024-06-02,28
2024-06-09,31
2024-06-16,28
2024-06-23,27
2024-06-30,29
2024-07-07,31
2024-07-14,27
2024-07-21,29
2024-07-28,27
2024-08-04,33
2024-08-11,26
2024-08-18,29
2024-08-25,27
2024-09-01,27
2024-09-08,38
2024-09-15,37
2024-09-22,25
2024-09-29,25
2024-10-06,24
2024-10-13,27
2024-10-20,26
2024-10-27,26
2024-11-03,33
2024-11-10,29
2024-11-17,27
2024-11-24,24
2024-12-01,27
2024-12-08,24
2024-12-15,23
2024-12-22,22
2024-12-29,26
2025-01-05,28
2025-01-12,27
2025-01-19,33
2025-01-26,31
2025-02-02,33
2025-02-09,30
2025-02-16,36
2025-02-23,34
2025-03-02,40
2025-03-09,38
2025-03-16,34
2025-03-23,33
2025-03-30,43
2025-04-06,45
2025-04-13,35
2025-04-20,35
2025-04-27,34
2025-05-04,32
2025-05-11,30
2025-05-18,32
2025-05-25,33
2025-06-01,37
2025-06-08,39
2025-06-15,40
2025-06-22,38
2025-06-29,38
2025-07-06,39
2025-07-13,44
2025-07-20,50
2025-07-27,62
