date,impact of income inequality
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,17
2020-11-29,0
2020-12-06,18
2020-12-13,18
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,17
2021-02-14,28
2021-02-21,0
2021-02-28,15
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,16
2021-06-27,0
2021-07-04,0
2021-07-11,19
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,17
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,20
2021-10-03,0
2021-10-10,0
2021-10-17,22
2021-10-24,0
2021-10-31,21
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,24
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,21
2022-01-16,0
2022-01-23,25
2022-01-30,0
2022-02-06,18
2022-02-13,17
2022-02-20,29
2022-02-27,31
2022-03-06,16
2022-03-13,14
2022-03-20,17
2022-03-27,22
2022-04-03,31
2022-04-10,20
2022-04-17,26
2022-04-24,34
2022-05-01,27
2022-05-08,19
2022-05-15,14
2022-05-22,21
2022-05-29,17
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,15
2022-08-07,0
2022-08-14,17
2022-08-21,21
2022-08-28,14
2022-09-04,0
2022-09-11,15
2022-09-18,0
2022-09-25,14
2022-10-02,0
2022-10-09,24
2022-10-16,22
2022-10-23,19
2022-10-30,20
2022-11-06,21
2022-11-13,21
2022-11-20,0
2022-11-27,24
2022-12-04,18
2022-12-11,30
2022-12-18,0
2022-12-25,0
2023-01-01,14
2023-01-08,22
2023-01-15,15
2023-01-22,20
2023-01-29,15
2023-02-05,19
2023-02-12,20
2023-02-19,18
2023-02-26,16
2023-03-05,26
2023-03-12,20
2023-03-19,26
2023-03-26,19
2023-04-02,27
2023-04-09,32
2023-04-16,30
2023-04-23,36
2023-04-30,24
2023-05-07,28
2023-05-14,25
2023-05-21,25
2023-05-28,19
2023-06-04,28
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,15
2023-07-23,18
2023-07-30,0
2023-08-06,18
2023-08-13,20
2023-08-20,0
2023-08-27,23
2023-09-03,31
2023-09-10,33
2023-09-17,22
2023-09-24,19
2023-10-01,25
2023-10-08,40
2023-10-15,40
2023-10-22,34
2023-10-29,19
2023-11-05,29
2023-11-12,34
2023-11-19,24
2023-11-26,22
2023-12-03,41
2023-12-10,27
2023-12-17,35
2023-12-24,0
2023-12-31,17
2024-01-07,24
2024-01-14,28
2024-01-21,38
2024-01-28,20
2024-02-04,18
2024-02-11,27
2024-02-18,39
2024-02-25,37
2024-03-03,30
2024-03-10,32
2024-03-17,37
2024-03-24,27
2024-03-31,37
2024-04-07,37
2024-04-14,35
2024-04-21,60
2024-04-28,36
2024-05-05,43
2024-05-12,100
2024-05-19,33
2024-05-26,0
2024-06-02,31
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,17
2024-07-07,18
2024-07-14,0
2024-07-21,18
2024-07-28,31
2024-08-04,35
2024-08-11,16
2024-08-18,16
2024-08-25,24
2024-09-01,30
2024-09-08,30
2024-09-15,41
2024-09-22,26
2024-09-29,36
2024-10-06,34
2024-10-13,36
2024-10-20,63
2024-10-27,0
2024-11-03,28
2024-11-10,38
2024-11-17,26
2024-11-24,27
2024-12-01,44
2024-12-08,29
2024-12-15,25
2024-12-22,0
2024-12-29,0
2025-01-05,21
2025-01-12,33
2025-01-19,36
2025-01-26,44
2025-02-02,32
2025-02-09,56
2025-02-16,50
2025-02-23,46
2025-03-02,52
2025-03-09,45
2025-03-16,30
2025-03-23,41
2025-03-30,43
2025-04-06,34
2025-04-13,26
2025-04-20,38
2025-04-27,42
2025-05-04,48
2025-05-11,32
2025-05-18,29
2025-05-25,33
2025-06-01,28
2025-06-08,43
2025-06-15,17
2025-06-22,29
2025-06-29,24
2025-07-06,27
2025-07-13,0
2025-07-20,20
2025-07-27,36
