date,impact of labor market
2020-08-02,0
2020-08-09,0
2020-08-16,10
2020-08-23,0
2020-08-30,13
2020-09-06,11
2020-09-13,10
2020-09-20,20
2020-09-27,10
2020-10-04,25
2020-10-11,14
2020-10-18,18
2020-10-25,20
2020-11-01,20
2020-11-08,19
2020-11-15,23
2020-11-22,11
2020-11-29,16
2020-12-06,19
2020-12-13,14
2020-12-20,0
2020-12-27,0
2021-01-03,15
2021-01-10,20
2021-01-17,14
2021-01-24,14
2021-01-31,17
2021-02-07,20
2021-02-14,21
2021-02-21,18
2021-02-28,28
2021-03-07,19
2021-03-14,19
2021-03-21,14
2021-03-28,15
2021-04-04,20
2021-04-11,21
2021-04-18,18
2021-04-25,18
2021-05-02,18
2021-05-09,26
2021-05-16,21
2021-05-23,13
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,17
2021-06-27,0
2021-07-04,10
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,13
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,23
2021-09-12,13
2021-09-19,19
2021-09-26,17
2021-10-03,13
2021-10-10,27
2021-10-17,16
2021-10-24,17
2021-10-31,13
2021-11-07,25
2021-11-14,21
2021-11-21,12
2021-11-28,19
2021-12-05,23
2021-12-12,27
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,13
2022-01-16,16
2022-01-23,17
2022-01-30,21
2022-02-06,23
2022-02-13,27
2022-02-20,20
2022-02-27,28
2022-03-06,17
2022-03-13,30
2022-03-20,30
2022-03-27,36
2022-04-03,47
2022-04-10,45
2022-04-17,41
2022-04-24,40
2022-05-01,39
2022-05-08,30
2022-05-15,28
2022-05-22,15
2022-05-29,18
2022-06-05,22
2022-06-12,14
2022-06-19,15
2022-06-26,9
2022-07-03,0
2022-07-10,9
2022-07-17,12
2022-07-24,17
2022-07-31,12
2022-08-07,9
2022-08-14,17
2022-08-21,18
2022-08-28,18
2022-09-04,20
2022-09-11,26
2022-09-18,33
2022-09-25,32
2022-10-02,31
2022-10-09,37
2022-10-16,32
2022-10-23,42
2022-10-30,37
2022-11-06,30
2022-11-13,26
2022-11-20,24
2022-11-27,28
2022-12-04,40
2022-12-11,48
2022-12-18,14
2022-12-25,0
2023-01-01,9
2023-01-08,21
2023-01-15,26
2023-01-22,28
2023-01-29,29
2023-02-05,35
2023-02-12,39
2023-02-19,42
2023-02-26,41
2023-03-05,44
2023-03-12,24
2023-03-19,50
2023-03-26,56
2023-04-02,47
2023-04-09,32
2023-04-16,38
2023-04-23,50
2023-04-30,39
2023-05-07,31
2023-05-14,36
2023-05-21,22
2023-05-28,20
2023-06-04,23
2023-06-11,28
2023-06-18,16
2023-06-25,12
2023-07-02,14
2023-07-09,21
2023-07-16,17
2023-07-23,13
2023-07-30,15
2023-08-06,13
2023-08-13,12
2023-08-20,15
2023-08-27,21
2023-09-03,36
2023-09-10,35
2023-09-17,36
2023-09-24,32
2023-10-01,40
2023-10-08,47
2023-10-15,50
2023-10-22,45
2023-10-29,46
2023-11-05,55
2023-11-12,47
2023-11-19,32
2023-11-26,51
2023-12-03,59
2023-12-10,53
2023-12-17,28
2023-12-24,15
2023-12-31,23
2024-01-07,22
2024-01-14,29
2024-01-21,40
2024-01-28,49
2024-02-04,46
2024-02-11,48
2024-02-18,52
2024-02-25,53
2024-03-03,51
2024-03-10,41
2024-03-17,56
2024-03-24,41
2024-03-31,39
2024-04-07,42
2024-04-14,58
2024-04-21,40
2024-04-28,57
2024-05-05,47
2024-05-12,46
2024-05-19,32
2024-05-26,19
2024-06-02,36
2024-06-09,38
2024-06-16,38
2024-06-23,36
2024-06-30,27
2024-07-07,32
2024-07-14,21
2024-07-21,28
2024-07-28,16
2024-08-04,27
2024-08-11,0
2024-08-18,33
2024-08-25,40
2024-09-01,50
2024-09-08,56
2024-09-15,57
2024-09-22,56
2024-09-29,49
2024-10-06,60
2024-10-13,52
2024-10-20,73
2024-10-27,69
2024-11-03,56
2024-11-10,58
2024-11-17,62
2024-11-24,50
2024-12-01,66
2024-12-08,74
2024-12-15,51
2024-12-22,16
2024-12-29,16
2025-01-05,36
2025-01-12,45
2025-01-19,48
2025-01-26,68
2025-02-02,80
2025-02-09,63
2025-02-16,82
2025-02-23,86
2025-03-02,67
2025-03-09,64
2025-03-16,60
2025-03-23,67
2025-03-30,69
2025-04-06,68
2025-04-13,69
2025-04-20,66
2025-04-27,72
2025-05-04,68
2025-05-11,53
2025-05-18,50
2025-05-25,42
2025-06-01,44
2025-06-08,67
2025-06-15,68
2025-06-22,50
2025-06-29,41
2025-07-06,33
2025-07-13,53
2025-07-20,61
2025-07-27,100
