date,impact of monetary policy
2020-08-02,22
2020-08-09,18
2020-08-16,21
2020-08-23,23
2020-08-30,36
2020-09-06,23
2020-09-13,19
2020-09-20,23
2020-09-27,16
2020-10-04,34
2020-10-11,38
2020-10-18,21
2020-10-25,26
2020-11-01,15
2020-11-08,36
2020-11-15,54
2020-11-22,50
2020-11-29,53
2020-12-06,49
2020-12-13,48
2020-12-20,0
2020-12-27,17
2021-01-03,22
2021-01-10,22
2021-01-17,28
2021-01-24,16
2021-01-31,24
2021-02-07,25
2021-02-14,24
2021-02-21,31
2021-02-28,19
2021-03-07,26
2021-03-14,29
2021-03-21,33
2021-03-28,30
2021-04-04,39
2021-04-11,40
2021-04-18,57
2021-04-25,53
2021-05-02,43
2021-05-09,40
2021-05-16,29
2021-05-23,30
2021-05-30,34
2021-06-06,30
2021-06-13,28
2021-06-20,29
2021-06-27,23
2021-07-04,20
2021-07-11,10
2021-07-18,29
2021-07-25,23
2021-08-01,33
2021-08-08,24
2021-08-15,18
2021-08-22,24
2021-08-29,26
2021-09-05,32
2021-09-12,18
2021-09-19,17
2021-09-26,23
2021-10-03,29
2021-10-10,14
2021-10-17,25
2021-10-24,25
2021-10-31,37
2021-11-07,37
2021-11-14,39
2021-11-21,34
2021-11-28,50
2021-12-05,49
2021-12-12,43
2021-12-19,23
2021-12-26,17
2022-01-02,22
2022-01-09,17
2022-01-16,27
2022-01-23,26
2022-01-30,24
2022-02-06,45
2022-02-13,47
2022-02-20,51
2022-02-27,60
2022-03-06,55
2022-03-13,48
2022-03-20,56
2022-03-27,52
2022-04-03,88
2022-04-10,62
2022-04-17,82
2022-04-24,94
2022-05-01,78
2022-05-08,72
2022-05-15,49
2022-05-22,48
2022-05-29,46
2022-06-05,41
2022-06-12,25
2022-06-19,29
2022-06-26,26
2022-07-03,29
2022-07-10,17
2022-07-17,29
2022-07-24,29
2022-07-31,32
2022-08-07,23
2022-08-14,34
2022-08-21,15
2022-08-28,22
2022-09-04,22
2022-09-11,36
2022-09-18,28
2022-09-25,33
2022-10-02,36
2022-10-09,45
2022-10-16,40
2022-10-23,31
2022-10-30,57
2022-11-06,41
2022-11-13,62
2022-11-20,49
2022-11-27,75
2022-12-04,79
2022-12-11,71
2022-12-18,30
2022-12-25,15
2023-01-01,34
2023-01-08,28
2023-01-15,26
2023-01-22,27
2023-01-29,36
2023-02-05,46
2023-02-12,32
2023-02-19,28
2023-02-26,39
2023-03-05,34
2023-03-12,46
2023-03-19,44
2023-03-26,52
2023-04-02,53
2023-04-09,60
2023-04-16,69
2023-04-23,91
2023-04-30,74
2023-05-07,60
2023-05-14,46
2023-05-21,47
2023-05-28,33
2023-06-04,36
2023-06-11,33
2023-06-18,23
2023-06-25,20
2023-07-02,18
2023-07-09,23
2023-07-16,38
2023-07-23,38
2023-07-30,25
2023-08-06,29
2023-08-13,38
2023-08-20,24
2023-08-27,21
2023-09-03,26
2023-09-10,37
2023-09-17,35
2023-09-24,34
2023-10-01,40
2023-10-08,37
2023-10-15,39
2023-10-22,41
2023-10-29,40
2023-11-05,58
2023-11-12,62
2023-11-19,50
2023-11-26,86
2023-12-03,79
2023-12-10,77
2023-12-17,33
2023-12-24,16
2023-12-31,27
2024-01-07,35
2024-01-14,28
2024-01-21,45
2024-01-28,38
2024-02-04,41
2024-02-11,45
2024-02-18,51
2024-02-25,49
2024-03-03,50
2024-03-10,59
2024-03-17,64
2024-03-24,53
2024-03-31,73
2024-04-07,68
2024-04-14,73
2024-04-21,100
2024-04-28,85
2024-05-05,71
2024-05-12,71
2024-05-19,61
2024-05-26,47
2024-06-02,28
2024-06-09,38
2024-06-16,45
2024-06-23,30
2024-06-30,28
2024-07-07,28
2024-07-14,37
2024-07-21,36
2024-07-28,23
2024-08-04,29
2024-08-11,30
2024-08-18,25
2024-08-25,28
2024-09-01,23
2024-09-08,40
2024-09-15,33
2024-09-22,34
2024-09-29,34
2024-10-06,36
2024-10-13,42
2024-10-20,33
2024-10-27,51
2024-11-03,51
2024-11-10,56
2024-11-17,72
2024-11-24,44
2024-12-01,73
2024-12-08,81
2024-12-15,42
2024-12-22,18
2024-12-29,20
2025-01-05,33
2025-01-12,28
2025-01-19,31
2025-01-26,44
2025-02-02,56
2025-02-09,42
2025-02-16,53
2025-02-23,62
2025-03-02,67
2025-03-09,48
2025-03-16,60
2025-03-23,49
2025-03-30,58
2025-04-06,67
2025-04-13,66
2025-04-20,66
2025-04-27,72
2025-05-04,72
2025-05-11,61
2025-05-18,50
2025-05-25,32
2025-06-01,41
2025-06-08,49
2025-06-15,47
2025-06-22,31
2025-06-29,40
2025-07-06,34
2025-07-13,38
2025-07-20,44
2025-07-27,61
